FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/27/26 23:47:00.713518592
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:scaledGyroX,inertial-6286.188861:scaledGyroY,inertial-6286.188861:scaledGyroZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1777333620713518592,0.007790349423885345,0.003236524760723114,-0.995851457118988,0.0004641149425879121,-0.0001174208300653845,0.000160081050125882,,,,,,
1777333620716139776,,,,,,,0.00609259121119976,1,-0.01101573556661606,1,0.04033713042736053,1
1777333620723537408,0.007763247936964035,0.003365026786923409,-0.9958933591842651,0.0003777914971578866,-0.0001973121252376586,-1.942297240020707e-05,,,,,,
1777333620726153216,,,,,,,0.005852963775396347,1,-0.009719938971102238,1,0.03992664068937302,1
1777333620733536512,0.007741451263427734,0.003498791716992855,-0.9958342313766479,0.0001643894938752055,-0.0001662852155277506,-3.634043605416082e-05,,,,,,
1777333620736146944,,,,,,,0.005645353812724352,1,-0.008348590694367886,1,0.04050688818097115,1
1777333620743516160,0.007635674905031919,0.003751028794795275,-0.9955915212631226,0.0001967407151823863,4.999502198188566e-05,-0.0001700472348602489,,,,,,
1777333620746121216,,,,,,,0.004607553593814373,1,-0.00584497582167387,1,0.04288788884878159,1
1777333620753476096,0.007823719643056393,0.003529069479554892,-0.9955796599388123,0.0001132476900238544,6.730744644301012e-05,-0.0002545924216974527,,,,,,
1777333620756075776,,,,,,,0.006436745170503855,1,-0.008004103787243366,1,0.04300433397293091,1
1777333620763416320,0.007584522943943739,0.003296599723398685,-0.9958984851837158,-3.560935147106647e-05,-1.703594352875371e-05,7.422011549351737e-05,,,,,,
1777333620766011136,,,,,,,0.004077985882759094,1,-0.01028550323098898,1,0.03987668454647064,1
1777333620773337088,0.007616177201271057,0.00362074002623558,-0.995887279510498,7.887469109846279e-05,-5.866472565685399e-05,5.550518835661933e-06,,,,,,
1777333620775926784,,,,,,,0.004398740828037262,1,-0.007100749295204878,1,0.03998637944459915,1
1777333620783238144,0.007601942867040634,0.003569141263142228,-0.9956737756729126,0.000106534527731128,0.0001337573630735278,5.488234091899358e-05,,,,,,
1777333620785822720,,,,,,,0.004262099042534828,1,-0.007595134433358908,1,0.0420808233320713,1
1777333620793120256,0.007567043416202068,0.003678687149658799,-0.9958802461624146,-0.000204175419639796,-9.356667578686029e-05,-6.390525231836364e-05,,,,,,
1777333620795831808,,,,,,,0.003913499880582094,1,-0.006528780795633793,1,0.04005652293562889,1
1777333620803246848,0.007497997023165226,0.003884576493874192,-0.9957129955291748,-0.0001651743950787932,0.0001062062074197456,0.0001180176623165607,,,,,,
1777333620805953280,,,,,,,0.003232451621443033,1,-0.00452431570738554,1,0.04169658198952675,1
1777333620813353728,0.00774103170260787,0.003393207443878055,-0.9958239793777466,-0.0002752946747932583,-2.458537710481323e-05,5.770285497419536e-06,,,,,,
1777333620816054784,,,,,,,0.005611473694443703,1,-0.009358995594084263,1,0.04060743004083633,1
1777333620823440896,0.007936014793813229,0.00314071518369019,-0.9955995082855225,-0.0002950689231511205,3.223308158339933e-05,-0.0001054621825460345,,,,,,
1777333620826136832,,,,,,,0.00752628967165947,1,-0.01187433861196041,1,0.04280886054039001,1
1777333620833508608,0.007823863998055458,0.003520323196426034,-0.9955450892448425,-0.0001918345660669729,-2.208480145782232e-05,0.000203817879082635,,,,,,
1777333620836199424,,,,,,,0.006428333930671215,1,-0.008173766545951366,1,0.04334286600351334,1
1777333620843556608,0.007795453537255526,0.003588661551475525,-0.9956068396568298,-0.0003479152219370008,-0.0001295129768550396,0.000111906134407036,,,,,,
1777333620846241792,,,,,,,0.006155919749289751,1,-0.007522395346313715,1,0.04273730888962746,1
1777333620853584896,0.007591137662529945,0.003730416530743241,-0.9957438707351685,3.654872125480324e-05,3.952481711166911e-05,-9.827048052102327e-05,,,,,,
1777333620856264704,,,,,,,0.004160693380981684,1,-0.006142660975456238,1,0.04139313846826553,1
1777333620863593216,0.007550946436822414,0.003585377708077431,-0.9956445693969727,-4.874125806964003e-05,0.0002304986555827782,-2.485684308339842e-05,,,,,,
1777333620866267648,,,,,,,0.003746634582057595,1,-0.007568883243948221,1,0.04236599430441856,1
1777333620873581824,0.007867449894547462,0.003478347323834896,-0.9957315325737,4.932002775603905e-05,-5.291921843308955e-05,-0.0001047334080794826,,,,,,
1777333620876250880,,,,,,,0.006839510519057512,1,-0.008616465143859386,1,0.0415126271545887,1
1777333620883550720,0.007615478709340096,0.003528813365846872,-0.995701789855957,-0.0001595995563548058,9.114239946939051e-05,-0.000187709229066968,,,,,,
1777333620886214400,,,,,,,0.004364965483546257,1,-0.008123872801661491,1,0.04180441796779633,1
1777333620893499904,0.007694668136537075,0.003729437012225389,-0.9955540895462036,-0.0002532696817070246,3.30282564391382e-05,-0.0002610521041788161,,,,,,
1777333620896158208,,,,,,,0.005135225597769022,1,-0.006178672425448895,1,0.04325341805815697,1
1777333620903429376,0.007789853028953075,0.003767927642911673,-0.9957541227340698,0.0001214832518598996,-9.694988693809137e-05,-4.905069727101363e-05,,,,,,
1777333620906082304,,,,,,,0.006068773102015257,1,-0.005804202985018492,1,0.04129218682646751,1
1777333620913338880,0.007635574322193861,0.003668671241030097,-0.9958041906356812,-0.0002387150598224252,-8.028215961530805e-05,-6.729824235662818e-05,,,,,,
1777333620915986944,,,,,,,0.004558788146823645,1,-0.006795622874051332,1,0.04080134257674217,1
1777333620923229184,0.007744393311440945,0.003462093183770776,-0.9957795739173889,0.0002617797290440649,-9.870982466964051e-05,3.706053394125775e-05,,,,,,
1777333620925871872,,,,,,,0.005629186052829027,1,-0.008808783255517483,1,0.041042260825634,1
1777333620933229056,0.00772095425054431,0.003521093633025885,-0.995709240436554,8.427958528045565e-05,6.535508873639628e-06,0.0002069983165711164,,,,,,
1777333620935866624,,,,,,,0.005385369993746281,1,-0.008185715414583683,1,0.04173198714852333,1
1777333620943338496,0.007650832645595074,0.003414908424019814,-0.9958065152168274,-0.0001496964250691235,-4.588388401316479e-05,-8.671559044159949e-06,,,,,,
1777333620945970944,,,,,,,0.004681420512497425,1,-0.00921619962900877,1,0.04077757149934769,1
1777333620953427968,0.007465963717550039,0.003566691651940346,-0.9958426952362061,-0.0004408135719131678,-0.0002364095562370494,-0.000112775363959372,,,,,,
1777333620956055296,,,,,,,0.002876934595406055,1,-0.007750690449029207,1,0.04042290523648262,1
1777333620963497472,0.007315734401345253,0.003700252855196595,-0.9957779049873352,-0.0001998613588511944,-0.0004237952234689146,-0.0001155296195065603,,,,,,
1777333620966119680,,,,,,,0.001436362275853753,1,-0.006467659957706928,1,0.04105916246771812,1
1777333620973547008,0.007346977479755878,0.003512192517518997,-0.9958325028419495,0.0001905811805045232,-0.000257039035204798,-0.0001735750120133162,,,,,,
1777333620976164096,,,,,,,0.001776877790689468,1,-0.008316495455801487,1,0.04052352160215378,1
1777333620983577344,0.007635983172804117,0.003595559857785702,-0.9958296418190002,4.85445671074558e-05,-7.182577974162996e-05,2.048656460829079e-05,,,,,,
1777333620986189056,,,,,,,0.004623544402420521,1,-0.007489959243685007,1,0.04055244475603104,1
1777333620993587712,0.007640550378710032,0.003775959368795156,-0.9957091212272644,0.0001879596529761329,-7.551682938355953e-05,0.0001722956076264381,,,,,,
1777333620996194304,,,,,,,0.004684256855398417,1,-0.0057087242603302,1,0.04173394665122032,1
1777333621003578368,0.007755055092275143,0.003919411916285753,-0.9956367611885071,-4.534704203251749e-06,-0.0001816435978980735,0.0002114642120432109,,,,,,
1777333621006179840,,,,,,,0.005825782660394907,1,-0.004283097106963396,1,0.04244383051991463,1
1777333621013549312,0.007846501655876637,0.003801638726145029,-0.995639979839325,-0.0001525543339084834,-2.202102041337639e-05,2.038189632003196e-05,,,,,,
1777333621016145664,,,,,,,0.006732216104865074,1,-0.005462756380438805,1,0.04241227731108665,1
1777333621023500544,0.007779495790600777,0.003511011833325028,-0.9958657026290894,0.000196843160665594,9.194622180075385e-06,0.0001074753527063876,,,,,,
