FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/16/26 21:17:24.205811968
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledGyroX,inertial-6286.188861:scaledGyroY,inertial-6286.188861:scaledGyroZ,inertial-6286.188861:scaledAccelZ
1776374244205811968,0.02557750977575779,0.03011085093021393,-0.0003710503515321761,-9.951862739399076e-05,-0.0004903635708615184,-0.9987882375717163
1776374244215832064,0.02583320811390877,0.03041046299040318,-0.0001071731385309249,-1.882757715065964e-05,0.0003392238286323845,-0.998684823513031
1776374244225842176,0.02594743669033051,0.03037098795175552,0.0001185872024507262,0.0001650958729442209,-5.829890142194927e-06,-0.999750018119812
1776374244235842304,0.02561631053686142,0.03081520088016987,0.0001397009036736563,0.0006481358432210982,0.000209164631087333,-0.9996742606163025
1776374244245832704,0.02575799636542797,0.03032771311700344,-0.0004417056625243276,0.0003404130693525076,0.0004263445152901113,-0.9993137121200562
1776374244255812864,0.02555233798921108,0.03025830537080765,-0.0008738924516364932,0.00039990185177885,9.430147474631667e-05,-0.9989567995071411
1776374244265833216,0.02549317292869091,0.03019325435161591,0.0003286441206000745,0.0001453011354897171,0.0003405090537853539,-0.9986878037452698
1776374244275843584,0.02590242587029934,0.03065809421241283,0.0002995742543134838,-0.0003413062659092247,0.0003854610549751669,-0.9991906881332397
1776374244285843456,0.02540307864546776,0.03058480098843575,0.0001117730716941878,-0.0006319275125861168,-0.0002721032069530338,-0.9997783303260803
1776374244295833344,0.02561784349381924,0.03008725307881832,-0.0002461109252180904,-0.0008842038223519921,-7.628513412782922e-05,-0.9992080926895142
1776374244305813504,0.02538587898015976,0.02984200417995453,-5.829005385749042e-05,0.001735352561809123,-3.660688525997102e-05,-0.9988436698913574
1776374244315833344,0.02509417198598385,0.02986790426075459,-0.0001025268866214901,-0.0005938241956755519,0.0003578890464268625,-0.998405933380127
1776374244325843200,0.02557475306093693,0.03036223351955414,-0.0007746892515569925,0.0002326444373466074,-0.0001377508160658181,-0.9991610646247864
1776374244335843328,0.02591825276613235,0.03017780743539333,-0.0001638908870518208,-0.0001438819017494097,4.886207170784473e-05,-0.999066948890686
1776374244345833216,0.02620617672801018,0.03082557208836079,-0.0003809029585681856,0.0003470297087915242,-0.0001012096108752303,-0.9996644258499146
1776374244355813632,0.02562785893678665,0.03019315935671329,-0.0002037665399257094,-8.314086881000549e-05,-0.0004212851927150041,-0.9993793368339539
1776374244365833728,0.02500465884804726,0.03044871427118778,-4.813569830730557e-06,0.0003540499310474843,-6.800590199418366e-05,-0.9986031651496887
1776374244375843584,0.02602044679224491,0.0310159008949995,-0.0005141171277500689,0.0007336455164477229,0.0004926886176690459,-0.9987419247627258
1776374244385843968,0.02553470060229301,0.03048263862729073,0.0005077539244666696,0.0003444851317908615,0.0005364942480809987,-1.000170707702637
1776374244395834368,0.02564358338713646,0.03101610206067562,0.0001000453339656815,-0.0001664815208641812,0.0002381989179411903,-0.9986543655395508
1776374244405814528,0.02578726597130299,0.03028386831283569,-0.0006665199180133641,5.149048229213804e-05,0.0002935355296358466,-1.000118851661682
1776374244415834624,0.02532905153930187,0.03049065358936787,0.0002820630325004458,0.0001340062881354243,0.0002267640520585701,-0.9983898401260376
1776374244425844736,0.02600049786269665,0.03032653592526913,0.0003302451223134995,-0.0001716879196465015,-0.0005815305048599839,-0.997489869594574
1776374244435844608,0.0250711590051651,0.02996843494474888,-0.0007565230480395257,2.987182233482599e-05,-0.0002692205016501248,-0.9987586140632629
1776374244445834496,0.02569655142724514,0.02970109693706036,0.0001779373124008998,0.0006780535914003849,-0.00036520732101053,-0.999399721622467
1776374244455814656,0.02568365633487701,0.03024042770266533,0.000703322933986783,-1.680123023106717e-05,-0.0001368995581287891,-1.001163482666016
1776374244465834496,0.02587726153433323,0.03043120168149471,0.0005357474437914789,-2.383466926403344e-05,0.000468229060061276,-1.000377178192139
1776374244475844352,0.0258095096796751,0.03105841763317585,-0.0004466320388019085,0.0005148064810782671,0.0001857953902799636,-0.999243438243866
1776374244485844480,0.02483611367642879,0.0303839910775423,0.0008891378529369831,0.001200356753543019,-0.0001341937750112265,-0.9992818832397461
1776374244495834368,0.02617917209863663,0.03101088292896748,-0.0005258792662061751,0.001270154374651611,0.000215681386180222,-0.9990693926811218
1776374244505814784,0.02612644992768764,0.03090564347803593,-0.0006968943052925169,0.0003375870874151587,0.000204325799131766,-0.9988666772842407
1776374244515834880,0.02498544007539749,0.03027243912220001,-0.0006148171378299594,0.0006629745475947857,0.0001556694624014199,-0.9988798499107361
1776374244525844736,0.02623600699007511,0.03048083186149597,5.279872129904106e-05,0.0003692667523864657,-0.0001104504044633359,-0.9986688494682312
1776374244535845120,0.02553216740489006,0.03039038367569447,0.0001816934091039002,0.0001094612744054757,-0.0001419823965989053,-0.9994935393333435
1776374244545835520,0.02546080015599728,0.02984601631760597,-4.403176717460155e-05,-0.000333609408698976,4.630480543710291e-05,-0.9990789890289307
1776374244555815680,0.02550214529037476,0.0304599292576313,-0.0002073387586278841,-6.228263373486698e-05,-0.0002311698335688561,-0.9991424679756165
1776374244565835776,0.02586104162037373,0.03057966195046902,-0.001033170847222209,-0.000141059688758105,0.0002567426126915962,-1.000134944915771
1776374244575845888,0.02574807219207287,0.03048801980912685,0.001008480903692544,0.0003481606254354119,0.0007805234054103494,-0.9989188313484192
1776374244585846016,0.02470201253890991,0.03027022629976273,-0.0004050700517836958,0.0006253838073462248,0.0001865282247308642,-0.9986147284507751
1776374244595836160,0.02612503618001938,0.03050564974546432,-0.0008605964831076562,0.0008333971491083503,-0.0001752783573465422,-0.9990275502204895
1776374244605816320,0.02569049037992954,0.03024670295417309,0.0004524979158304632,0.000191974570043385,0.0001809147943276912,-0.9988874197006226
1776374244615835904,0.02543095126748085,0.03029660508036613,1.068561687134206e-05,0.0001035433815559372,-0.0002040032559307292,-0.9987762570381165
1776374244625846016,0.02637303434312344,0.03048612549901009,-0.0001627659657970071,5.346469697542489e-05,-6.027743074810132e-05,-0.9987967610359192
1776374244635846144,0.02616282179951668,0.03072079084813595,0.0008078928221948445,0.0001207206514663994,0.0005272009293548763,-0.998911440372467
1776374244645836032,0.0254910234361887,0.03019912168383598,0.000501164817251265,-2.194870467064902e-05,-0.0001856318995123729,-0.9980717301368713
1776374244655816192,0.025538120418787,0.03045400977134705,0.0005137159023433924,0.0003397963300812989,0.0004906799294985831,-0.9988962411880493
1776374244665836032,0.02584328129887581,0.0300495121628046,-0.0006074655102565885,8.995884854812175e-07,0.000489052152261138,-0.9993589520454407
1776374244675845888,0.02547712810337543,0.03077778220176697,-0.0004718537093140185,-0.0003089361125603318,0.0002944840234704316,-0.9991219043731689
1776374244685846016,0.02567014656960964,0.03103061206638813,0.0007710227509960532,-0.0006088624941185117,-0.0001369659148622304,-0.9986846446990967
1776374244695835904,0.02516275458037853,0.03020833991467953,0.000332579598762095,-0.0009936214191839099,0.0004994173650629818,-0.999214231967926
1776374244705816064,0.02614717744290829,0.02996594645082951,-0.0004492172156460583,-0.0007630675099790096,0.000561584543902427,-0.9982079863548279
1776374244715835904,0.024778688326478,0.03114916570484638,0.0001473254524171352,5.414453335106373e-05,-9.788126044441015e-05,-1.001993656158447
1776374244725845760,0.0260838009417057,0.03015754371881485,0.000620383711066097,0.000872672360856086,-0.0001384318311465904,-1.000624656677246
1776374244735845888,0.0260135717689991,0.03073626384139061,2.000515087274835e-05,0.0003602354554459453,-2.482270974724088e-05,-0.9981561303138733
1776374244745835776,0.02579580806195736,0.03014643304049969,0.0004806538054253906,-0.0001539785880595446,1.815417635953054e-05,-0.9975364804267883
1776374244755815936,0.02568533644080162,0.03020264208316803,0.0002125122991856188,0.001058513182215393,-8.88099311850965e-05,-0.998723566532135
1776374244765835776,0.02595573849976063,0.03022497147321701,0.0005400099325925112,-0.0008789598941802979,-0.0002840928209479898,-0.9993255138397217
1776374244775845632,0.02566369064152241,0.03017986193299294,0.0002569685748312622,-0.0004428992106113583,-0.0005441196262836456,-0.9986805319786072
