Time,t,dt,q0,q1,q2,q3,acx,acy,acz,q0_rel,q1_rel,q2_rel,q3_rel
1778882044327970304,0.0,,0.984476,-0.008141,-0.166982,0.053449,-0.3284744322299957,0.0308077950030565,-0.9443542957305908,0.9999999975942473,-5.7259359580209834e-05,2.2119106802478885e-05,-3.230505146955393e-05
1778882044337928704,0.0099584,0.0099584,0.984475,-0.008156,-0.166987,0.053454,-0.3255505561828613,0.0331116914749145,-0.9407155513763428,0.9999999969788403,-7.146696082829807e-05,1.7791656735060776e-05,-2.4864630135105212e-05
1778882044347867392,0.019897088,0.009938688000000001,0.984475,-0.008152,-0.166986,0.053464,-0.325237900018692,0.0363656990230083,-0.9359309077262878,0.9999999975411075,-6.580555555108988e-05,1.848127147893123e-05,-1.567982093070579e-05
1778882044357786368,0.029816064,0.009918976,0.984476,-0.008139,-0.166986,0.053453,-0.3270336389541626,0.0333773158490657,-0.9373258948326112,0.9999999979209273,-5.4836328114675134e-05,1.8041866701934937e-05,-2.873349532038754e-05
1778882044367685888,0.039715584,0.009899519999999998,0.984477,-0.008143,-0.166981,0.053452,-0.3275129199028015,0.0330016277730464,-0.9420161843299866,0.9999999975841531,-5.8665663933929815e-05,2.3353270813483338e-05,-2.9063007179971206e-05
1778882044377565696,0.049595392,0.009879808000000004,0.984477,-0.008142,-0.166981,0.053449,-0.3250630795955658,0.0349245369434356,-0.9401178359985352,0.9999999975175234,-5.8182204072745186e-05,2.3324050724985812e-05,-3.218342603401067e-05
1778882044387425792,0.059455488,0.009860095999999999,0.984477,-0.008133,-0.166981,0.053451,-0.3250199854373932,0.0335032977163791,-0.9372534155845642,0.9999999980365668,-4.898796102425877e-05,2.2826457310681173e-05,-3.1717486890082405e-05
1778882044397266176,0.069295872,0.009840383999999994,0.984477,-0.008137,-0.166978,0.053453,-0.326671689748764,0.0326552912592887,-0.9390559792518616,0.9999999978659213,-5.243139191152442e-05,2.5977664600143418e-05,-2.905628674440921e-05
1778882044407087104,0.0791168,0.009820928000000007,0.984477,-0.008138,-0.166978,0.053457,-0.3258183002471924,0.0345750376582145,-0.9411125183105468,0.9999999979595775,-5.274784958157406e-05,2.5998794017196456e-05,-2.495139474170726e-05
1778882044417264640,0.089294336,0.010177536000000001,0.984476,-0.008129,-0.166981,0.05346,-0.3256372213363647,0.0345943197607994,-0.9382733702659608,0.999999998525742,-4.3555184496840364e-05,2.2372707055383262e-05,-2.3471770627063636e-05
