time(ms),VPWR(V),VSS(km/h)
1779392878002,13.44,0.0
1779392878017,13.44,0.0
1779392878034,13.44,0.0
1779392878049,13.45,0.0
1779392878066,13.46,0.0
1779392878081,13.45,0.0
1779392878098,13.44,0.0
1779392878113,13.43,0.0
1779392878130,13.42,0.0
1779392878145,13.40,0.0
1779392878162,13.38,0.0
1779392878177,13.36,0.0
1779392878195,13.34,0.0
1779392878210,13.35,0.0
1779392878225,13.36,0.0
1779392878242,13.34,0.0
1779392878257,13.32,0.0
1779392878274,13.32,0.0
1779392878289,13.32,0.0
1779392878306,13.34,0.0
1779392878321,13.36,0.0
1779392878337,13.40,0.0
1779392878354,13.44,0.0
1779392878369,13.45,0.0
1779392878387,13.46,0.0
1779392878402,13.46,0.0
1779392878417,13.46,0.0
1779392878434,13.46,0.0
1779392878450,13.46,0.0
1779392878467,13.47,0.0
1779392878482,13.48,0.0
1779392878497,13.49,0.0
1779392878514,13.50,0.0
1779392878529,13.49,0.0
1779392878547,13.48,0.0
1779392878562,13.47,0.0
1779392878577,13.46,0.0
1779392878593,13.46,0.0
1779392878610,13.46,0.0
1779392878625,13.47,0.0
1779392878643,13.48,0.0
1779392878659,13.48,0.0
1779392878674,13.48,0.0
1779392878691,13.48,0.0
1779392878705,13.48,0.0
1779392878722,13.47,0.0
1779392878739,13.46,0.0
1779392878753,13.45,0.0
1779392878769,13.44,0.0
1779392878786,13.45,0.0
1779392878803,13.46,0.0
1779392878817,13.47,0.0
1779392878836,13.48,0.0
1779392878850,13.47,0.0
1779392878867,13.46,0.0
1779392878882,13.45,0.0
1779392878897,13.44,0.0
1779392878914,13.44,0.0
1779392878929,13.44,0.0
1779392878946,13.45,0.0
1779392878962,13.46,0.0
1779392878979,13.45,0.0
1779392878993,13.44,0.0
1779392879011,13.42,0.0
1779392879026,13.40,0.0
1779392879042,13.37,0.0
1779392879058,13.34,0.0
1779392879074,13.35,0.0
1779392879089,13.36,2.0
1779392879107,13.29,3.0
1779392879155,13.22,3.0
1779392879172,13.23,3.0
1779392879186,13.24,3.0
1779392879203,13.23,3.0
1779392879219,13.22,3.0
1779392879235,13.24,3.0
1779392879250,13.26,3.0
1779392879266,13.30,3.0
1779392879283,13.34,3.0
1779392879298,13.35,3.0
1779392879315,13.36,3.0
1779392879330,13.38,3.0
1779392879347,13.40,3.0
1779392879363,13.42,3.0
1779392879379,13.44,3.0
1779392879394,13.44,3.0
1779392879411,13.44,3.0
1779392879428,13.43,3.0
1779392879442,13.42,3.0
1779392879458,13.43,3.0
1779392879473,13.44,3.0
1779392879490,13.44,3.0
1779392879508,13.44,3.0
1779392879522,13.44,3.0
1779392879539,13.44,3.0
1779392879555,13.44,3.0
1779392879570,13.44,3.0
1779392879587,13.45,3.0
1779392879603,13.46,3.0
1779392879618,13.46,3.0
1779392879633,13.46,3.0
1779392879649,13.46,3.0
1779392879667,13.46,3.0
1779392879683,13.47,3.0
1779392879699,13.48,3.0
1779392879716,13.48,3.0
1779392879731,13.48,3.0
1779392879746,13.49,3.0
1779392879763,13.50,3.0
1779392879779,13.49,3.0
1779392879794,13.48,3.0
1779392879811,13.49,3.0
1779392879827,13.50,3.0
1779392879843,13.49,3.0
1779392879858,13.48,3.0
1779392879874,13.47,3.0
1779392879890,13.46,3.0
1779392879908,13.46,3.0
1779392879923,13.46,3.0
1779392879939,13.47,3.0
1779392879953,13.48,3.0
1779392879970,13.48,3.0
1779392879986,13.48,3.0
1779392880003,13.48,3.0
1779392880018,13.48,3.0
1779392880035,13.47,3.0
1779392880050,13.46,3.0
1779392880067,13.46,3.0
1779392880083,13.46,4.0
1779392880099,13.46,5.0
1779392880116,13.46,5.0
1779392880131,13.47,5.0
1779392880147,13.48,5.0
1779392880162,13.49,5.0
1779392880178,13.50,5.0
1779392880193,13.50,5.0
1779392880210,13.50,5.0
1779392880227,13.49,5.0
1779392880242,13.48,5.0
1779392880258,13.49,5.0
1779392880275,13.50,5.0
1779392880291,13.49,5.0
1779392880307,13.48,5.0
1779392880324,13.48,5.0
1779392880340,13.48,5.0
1779392880354,13.47,5.0
1779392880371,13.46,5.0
1779392880386,13.47,5.0
1779392880403,13.48,5.0
1779392880420,13.48,5.0
1779392880435,13.48,5.0
1779392880451,13.48,5.0
1779392880466,13.48,5.0
1779392880484,13.48,5.0
1779392880500,13.48,5.0
1779392880515,13.47,5.0
1779392880531,13.46,5.0
1779392880546,13.47,5.0
1779392880564,13.48,5.0
1779392880579,13.48,5.0
1779392880596,13.48,5.0
1779392880611,13.48,5.0
1779392880628,13.48,5.0
1779392880643,13.47,5.0
1779392880658,13.46,5.0
1779392880674,13.46,5.0
1779392880691,13.46,5.0
1779392880706,13.47,5.0
1779392880723,13.48,5.0
1779392880738,13.47,5.0
1779392880756,13.46,5.0
1779392880771,13.46,5.0
1779392880786,13.46,5.0
1779392880804,13.47,5.0
1779392880819,13.48,5.0
1779392880834,13.48,5.0
1779392880852,13.48,5.0
1779392880867,13.48,5.0
1779392880882,13.48,5.0
1779392880900,13.49,5.0
1779392880915,13.50,5.0
1779392880930,13.50,5.0
1779392880948,13.50,5.0
1779392880963,13.49,5.0
1779392880978,13.48,5.0
1779392880997,13.49,5.0
1779392881012,13.50,6.0
1779392881027,13.49,7.0
1779392881042,13.48,7.0
1779392881060,13.48,7.0
1779392881075,13.48,7.0
1779392881092,13.48,7.0
1779392881107,13.48,7.0
1779392881125,13.49,7.0
1779392881140,13.50,7.0
1779392881155,13.49,7.0
1779392881173,13.48,7.0
1779392881188,13.49,7.0
1779392881202,13.50,7.0
1779392881219,13.50,7.0
1779392881236,13.50,7.0
1779392881251,13.50,7.0
1779392881268,13.50,7.0
1779392881284,13.50,7.0
1779392881298,13.50,7.0
1779392881314,13.50,7.0
1779392881332,13.50,7.0
1779392881347,13.50,7.0
1779392881363,13.50,7.0
1779392881378,13.50,7.0
1779392881395,13.50,7.0
1779392881413,13.50,7.0
1779392881429,13.50,7.0
1779392881443,13.50,7.0
1779392881460,13.50,7.0
1779392881476,13.50,7.0
1779392881491,13.50,8.0
1779392881509,13.50,9.0
1779392881524,13.50,9.0
1779392881539,13.50,9.0
1779392881555,13.50,9.0
1779392881571,13.50,9.0
1779392881586,13.50,9.0
1779392881602,13.50,9.0
1779392881620,13.50,9.0
1779392881635,13.50,9.0
1779392881651,13.50,9.0
1779392881667,13.49,9.0
1779392881683,13.48,9.0
1779392881700,13.49,9.0
1779392881715,13.50,9.0
1779392881731,13.50,9.0
1779392881747,13.50,9.0
1779392881764,13.50,9.0
1779392881779,13.50,9.0
1779392881795,13.49,9.0
1779392881812,13.48,9.0
1779392881827,13.49,9.0
1779392881843,13.50,9.0
1779392881859,13.50,9.0
1779392881876,13.50,9.0
1779392881892,13.51,9.0
1779392881908,13.52,9.0
1779392881924,13.51,9.0
1779392881939,13.50,9.0
1779392881957,13.50,9.0
1779392881972,13.50,10.0
1779392881986,13.50,11.0
1779392882003,13.50,11.0
1779392882019,13.50,11.0
1779392882035,13.50,11.0
1779392882052,13.50,11.0
1779392882068,13.50,11.0
1779392882084,13.50,11.0
1779392882101,13.50,11.0
1779392882115,13.50,11.0
1779392882132,13.50,11.0
1779392882148,13.50,11.0
1779392882164,13.50,11.0
1779392882179,13.51,11.0
1779392882196,13.52,11.0
1779392882212,13.51,11.0
1779392882227,13.50,11.0
1779392882243,13.50,11.0
1779392882260,13.50,11.0
1779392882275,13.50,11.0
1779392882291,13.50,11.0
1779392882309,13.51,11.0
1779392882324,13.52,11.0
1779392882340,13.51,11.0
1779392882356,13.50,11.0
1779392882371,13.51,11.0
1779392882388,13.52,11.0
1779392882404,13.51,11.0
1779392882421,13.50,11.0
1779392882437,13.50,11.0
1779392882452,13.50,11.0
1779392882467,13.51,11.0
1779392882483,13.52,11.0
1779392882499,13.51,11.0
1779392882516,13.50,11.0
1779392882532,13.50,11.0
1779392882547,13.50,11.0
1779392882565,13.50,11.0
1779392882579,13.50,11.0
1779392882596,13.51,11.0
1779392882612,13.52,11.0
1779392882629,13.51,11.0
1779392882644,13.50,11.0
1779392882660,13.50,11.0
1779392882677,13.50,11.0
1779392882691,13.50,11.0
1779392882707,13.50,11.0
1779392882724,13.50,11.0
1779392882741,13.50,11.0
1779392882755,13.51,11.0
1779392882773,13.52,11.0
1779392882788,13.51,11.0
1779392882803,13.50,11.0
1779392882819,13.50,11.0
1779392882836,13.50,11.0
1779392882857,13.50,11.0
1779392882869,13.50,11.0
1779392882885,13.51,11.0
1779392882899,13.52,11.0
1779392882917,13.52,11.0
1779392882933,13.52,11.0
1779392882949,13.51,11.0
1779392882963,13.50,11.0
1779392882980,13.50,11.0
1779392882996,13.50,11.0
1779392883012,13.50,11.0
1779392883027,13.50,11.0
1779392883045,13.51,11.0
1779392883060,13.52,11.0
1779392883076,13.52,11.0
1779392883093,13.52,11.0
1779392883109,13.52,11.0
1779392883125,13.52,11.0
1779392883142,13.52,11.0
1779392883156,13.52,11.0
1779392883173,13.52,11.0
1779392883188,13.52,11.0
1779392883205,13.52,11.0
1779392883221,13.52,11.0
1779392883238,13.53,11.0
1779392883253,13.54,11.0
1779392883269,13.53,11.0
1779392883284,13.52,11.0
1779392883301,13.52,11.0
1779392883316,13.52,11.0
1779392883334,13.52,11.0
1779392883349,13.52,11.0
1779392883364,13.52,11.0
1779392883379,13.52,12.0
1779392883396,13.53,13.0
1779392883413,13.54,13.0
1779392883428,13.53,13.0
1779392883444,13.52,13.0
1779392883459,13.52,13.0
1779392883477,13.52,13.0
1779392883492,13.53,13.0
1779392883508,13.54,13.0
1779392883523,13.53,13.0
1779392883540,13.52,13.0
1779392883557,13.52,13.0
1779392883571,13.52,13.0
1779392883589,13.52,13.0
1779392883604,13.52,13.0
1779392883622,13.52,13.0
1779392883637,13.52,13.0
1779392883653,13.53,13.0
1779392883670,13.54,13.0
1779392883685,13.54,13.0
1779392883702,13.54,13.0
1779392883717,13.53,13.0
1779392883732,13.52,13.0
1779392883749,13.52,13.0
1779392883765,13.52,13.0
1779392883780,13.52,13.0
1779392883797,13.52,13.0
1779392883814,13.52,13.0
1779392883828,13.52,13.0
1779392883844,13.52,13.0
1779392883861,13.52,13.0
1779392883878,13.52,13.0
1779392883893,13.52,13.0
