time(ms),VPWR(V),VSS(km/h)
1779392574723,13.13,0.0
1779392574739,13.15,0.0
1779392574753,13.16,0.0
1779392574770,13.15,0.0
1779392574785,13.14,0.0
1779392574802,13.14,0.0
1779392574818,13.14,0.0
1779392574833,13.14,0.0
1779392574850,13.14,0.0
1779392574865,13.14,0.0
1779392574882,13.13,0.0
1779392574897,13.15,0.0
1779392574915,13.16,0.0
1779392574930,13.16,0.0
1779392574946,13.16,0.0
1779392574963,13.15,0.0
1779392574979,13.14,0.0
1779392574995,13.15,0.0
1779392575010,13.16,0.0
1779392575027,13.16,0.0
1779392575042,13.16,0.0
1779392575059,13.16,0.0
1779392575075,13.16,0.0
1779392575089,13.18,0.0
1779392575107,13.20,0.0
1779392575123,13.19,0.0
1779392575137,13.18,0.0
1779392575154,13.17,0.0
1779392575170,13.16,0.0
1779392575188,13.17,0.0
1779392575204,13.18,0.0
1779392575218,13.18,0.0
1779392575234,13.18,0.0
1779392575251,13.18,0.0
1779392575265,13.18,0.0
1779392575281,13.18,0.0
1779392575299,13.18,0.0
1779392575313,13.17,0.0
1779392575329,13.16,0.0
1779392575345,13.18,0.0
1779392575363,13.20,0.0
1779392575380,13.20,0.0
1779392575396,13.20,0.0
1779392575410,13.19,0.0
1779392575425,13.18,0.0
1779392575442,13.19,0.0
1779392575460,13.20,0.0
1779392575475,13.19,0.0
1779392575490,13.18,0.0
1779392575508,13.18,0.0
1779392575521,13.18,0.0
1779392575538,13.19,0.0
1779392575554,13.20,0.0
1779392575569,13.19,0.0
1779392575588,13.18,0.0
1779392575603,13.18,0.0
1779392575617,13.18,0.0
1779392575635,13.19,0.0
1779392575652,13.20,0.0
1779392575671,13.20,0.0
1779392575683,13.20,0.0
1779392575698,13.20,0.0
1779392575714,13.20,0.0
1779392575732,13.20,0.0
1779392575747,13.20,0.0
1779392575762,13.19,0.0
1779392575777,13.18,0.0
1779392575795,13.20,0.0
1779392575810,13.22,0.0
1779392575826,13.21,0.0
1779392575843,13.20,0.0
1779392575858,13.19,0.0
1779392575874,13.18,0.0
1779392575889,13.19,0.0
1779392575908,13.20,0.0
1779392575923,13.20,0.0
1779392575940,13.20,0.0
1779392575955,13.20,0.0
1779392575970,13.20,0.0
1779392575986,13.20,0.0
1779392576002,13.20,0.0
1779392576018,13.19,0.0
1779392576035,13.18,0.0
1779392576049,13.18,0.0
1779392576067,13.18,0.0
1779392576082,13.19,0.0
1779392576099,13.20,0.0
1779392576115,13.19,0.0
1779392576130,13.18,0.0
1779392576147,13.19,0.0
1779392576162,13.20,0.0
1779392576179,13.19,0.0
1779392576196,13.18,0.0
1779392576211,13.18,0.0
1779392576226,13.18,0.0
1779392576241,13.20,0.0
1779392576260,13.22,0.0
1779392576274,13.20,0.0
1779392576290,13.18,0.0
1779392576307,13.18,0.0
1779392576323,13.18,0.0
1779392576338,13.19,0.0
1779392576356,13.20,0.0
1779392576371,13.19,0.0
1779392576387,13.18,0.0
1779392576403,13.18,0.0
1779392576418,13.18,0.0
1779392576436,13.19,0.0
1779392576450,13.20,0.0
1779392576467,13.19,0.0
1779392576484,13.18,0.0
1779392576499,13.19,0.0
1779392576514,13.20,0.0
1779392576531,13.20,0.0
1779392576549,13.20,0.0
1779392576564,13.20,0.0
1779392576580,13.20,0.0
1779392576594,13.21,0.0
1779392576611,13.22,0.0
1779392576628,13.20,0.0
1779392576642,13.18,0.0
1779392576661,13.19,0.0
1779392576676,13.20,0.0
1779392576691,13.21,0.0
1779392576708,13.22,0.0
1779392576723,13.21,0.0
1779392576740,13.20,0.0
1779392576755,13.21,0.0
1779392576770,13.22,0.0
1779392576788,13.23,0.0
1779392576803,13.24,0.0
1779392576818,13.23,0.0
1779392576835,13.22,0.0
1779392576850,13.23,0.0
1779392576867,13.24,0.0
1779392576884,13.24,0.0
1779392576899,13.24,0.0
1779392576915,13.23,0.0
1779392576932,13.22,0.0
1779392576947,13.24,0.0
1779392576963,13.26,0.0
1779392576980,13.25,0.0
1779392576995,13.24,0.0
1779392577012,13.24,0.0
1779392577026,13.24,0.0
1779392577044,13.25,0.0
1779392577059,13.26,0.0
1779392577076,13.25,0.0
1779392577090,13.24,0.0
1779392577107,13.24,0.0
1779392577123,13.24,0.0
1779392577140,13.24,0.0
1779392577156,13.24,0.0
1779392577171,13.24,0.0
1779392577187,13.24,0.0
1779392577202,13.24,0.0
1779392577219,13.24,0.0
1779392577234,13.24,0.0
1779392577251,13.24,0.0
1779392577268,13.24,0.0
1779392577282,13.24,0.0
1779392577300,13.25,0.0
1779392577315,13.26,0.0
1779392577331,13.26,0.0
1779392577347,13.26,0.0
1779392577363,13.25,0.0
1779392577378,13.24,0.0
1779392577396,13.25,0.0
1779392577410,13.26,0.0
1779392577428,13.24,0.0
1779392577444,13.22,0.0
1779392577460,13.22,0.0
1779392577476,13.22,0.0
1779392577493,13.23,0.0
1779392577506,13.24,0.0
1779392577523,13.24,0.0
1779392577541,13.24,0.0
1779392577555,13.25,0.0
1779392577570,13.26,0.0
1779392577587,13.27,0.0
1779392577604,13.28,0.0
1779392577621,13.27,0.0
1779392577634,13.26,0.0
1779392577652,13.28,0.0
1779392577666,13.30,0.0
1779392577684,13.33,0.0
1779392577699,13.36,0.0
1779392577716,13.37,0.0
1779392577732,13.38,0.0
1779392577747,13.39,0.0
1779392577764,13.40,0.0
1779392577780,13.41,0.0
1779392577795,13.42,0.0
1779392577813,13.42,0.0
1779392577827,13.42,0.0
1779392577843,13.43,0.0
1779392577859,13.44,0.0
1779392577874,13.43,0.0
1779392577892,13.42,0.0
1779392577907,13.41,0.0
1779392577925,13.40,0.0
1779392577940,13.40,0.0
1779392577954,13.40,0.0
1779392577971,13.41,0.0
1779392577989,13.42,0.0
1779392578003,13.41,0.0
1779392578018,13.40,0.0
1779392578037,13.40,0.0
1779392578052,13.40,0.0
1779392578069,13.39,0.0
1779392578083,13.38,0.0
1779392578100,13.37,0.0
1779392578115,13.36,0.0
1779392578133,13.36,0.0
1779392578149,13.36,0.0
1779392578164,13.35,0.0
1779392578179,13.34,0.0
1779392578196,13.33,0.0
1779392578212,13.32,0.0
1779392578227,13.32,0.0
1779392578244,13.32,0.0
1779392578261,13.32,0.0
1779392578275,13.32,0.0
1779392578291,13.31,0.0
1779392578309,13.30,0.0
1779392578322,13.30,0.0
1779392578340,13.30,0.0
1779392578356,13.29,0.0
1779392578372,13.28,0.0
1779392578396,13.28,0.0
1779392578403,13.28,0.0
1779392578418,13.29,0.0
1779392578436,13.30,0.0
1779392578453,13.30,0.0
1779392578467,13.30,0.0
1779392578483,13.31,0.0
1779392578501,13.32,0.0
1779392578515,13.32,0.0
1779392578532,13.32,0.0
1779392578549,13.31,0.0
1779392578564,13.30,0.0
1779392578579,13.31,0.0
1779392578595,13.32,0.0
1779392578612,13.31,0.0
1779392578628,13.30,0.0
1779392578644,13.29,0.0
1779392578660,13.28,0.0
1779392578675,13.27,0.0
1779392578693,13.26,0.0
1779392578707,13.27,0.0
1779392578723,13.28,0.0
1779392578739,13.28,0.0
1779392578757,13.28,0.0
1779392578771,13.28,0.0
1779392578787,13.28,0.0
1779392578804,13.29,0.0
1779392578819,13.30,0.0
1779392578836,13.29,0.0
1779392578852,13.28,0.0
1779392578869,13.30,0.0
1779392578884,13.32,0.0
1779392578900,13.32,0.0
1779392578917,13.32,0.0
1779392578931,13.32,0.0
1779392578947,13.32,0.0
1779392578964,13.32,0.0
1779392578979,13.32,0.0
1779392578996,13.32,0.0
1779392579013,13.32,0.0
1779392579027,13.33,0.0
1779392579044,13.34,0.0
1779392579059,13.34,0.0
1779392579075,13.34,0.0
1779392579091,13.34,0.0
1779392579107,13.34,0.0
1779392579125,13.34,0.0
1779392579141,13.34,0.0
1779392579156,13.34,0.0
1779392579171,13.34,0.0
1779392579187,13.34,0.0
1779392579205,13.34,0.0
1779392579221,13.34,0.0
1779392579237,13.34,0.0
1779392579254,13.33,0.0
1779392579268,13.32,0.0
1779392579285,13.32,0.0
1779392579300,13.32,0.0
1779392579316,13.33,0.0
1779392579333,13.34,0.0
1779392579347,13.33,0.0
1779392579364,13.32,0.0
1779392579380,13.32,0.0
1779392579395,13.32,0.0
1779392579413,13.31,0.0
1779392579429,13.30,0.0
1779392579444,13.30,0.0
1779392579460,13.30,0.0
1779392579475,13.29,0.0
1779392579492,13.28,0.0
1779392579507,13.28,0.0
1779392579525,13.28,2.0
1779392579541,13.27,3.0
1779392579557,13.26,3.0
1779392579572,13.25,3.0
1779392579589,13.24,3.0
1779392579603,13.24,3.0
1779392579620,13.24,3.0
1779392579635,13.23,3.0
1779392579652,13.22,3.0
1779392579668,13.22,3.0
1779392579685,13.22,3.0
1779392579700,13.22,3.0
1779392579716,13.22,3.0
1779392579733,13.23,3.0
1779392579751,13.24,3.0
1779392579764,13.25,3.0
1779392579780,13.26,3.0
1779392579798,13.27,3.0
1779392579812,13.28,3.0
1779392579829,13.28,3.0
1779392579844,13.28,3.0
1779392579860,13.30,3.0
1779392579878,13.32,3.0
1779392579893,13.33,3.0
1779392579909,13.34,3.0
1779392579924,13.35,3.0
1779392579940,13.36,3.0
1779392579957,13.35,3.0
1779392579972,13.34,3.0
1779392579990,13.34,3.0
1779392580004,13.34,4.0
1779392580021,13.35,5.0
1779392580036,13.36,5.0
1779392580051,13.35,5.0
1779392580070,13.34,5.0
1779392580086,13.34,5.0
1779392580102,13.34,5.0
1779392580117,13.33,5.0
1779392580133,13.32,5.0
1779392580150,13.32,5.0
1779392580166,13.32,5.0
1779392580182,13.33,5.0
1779392580196,13.34,5.0
1779392580212,13.34,5.0
1779392580228,13.34,5.0
1779392580244,13.34,5.0
1779392580260,13.34,5.0
1779392580277,13.34,5.0
