unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779393177435,417195.435000000,3,0.802643359,-0.010544897,0.035108294,0.595331788,0
1779393177445,417195.445000000,3,0.804220915,-0.010409221,0.035141312,0.593199432,0
1779393177465,417195.465000000,3,0.804345489,-0.010341787,0.035173226,0.593029857,0
1779393177475,417195.475000000,3,0.807222307,-0.010253034,0.035212133,0.589107037,0
1779393177495,417195.495000000,3,0.804624021,-0.010404214,0.035152908,0.592651844,0
1779393177505,417195.505000000,3,0.798069954,-0.010708577,0.035052471,0.601449132,0
1779393177525,417195.525000000,3,0.799278200,-0.010698800,0.035064053,0.599842072,0
1779393177535,417195.535000000,3,0.802211761,-0.010570912,0.035103150,0.595913112,0
1779393177555,417195.555000000,3,0.799410999,-0.010619105,0.035084397,0.599665344,0
1779393177565,417195.565000000,3,0.804132760,-0.010330038,0.035174914,0.593318224,0
1779393177575,417195.575000000,3,0.801862180,-0.010529148,0.035123616,0.596382916,0
1779393177595,417195.595000000,3,0.806771994,-0.010237632,0.035191819,0.589725137,0
1779393177605,417195.605000000,3,0.797512472,-0.010730052,0.035046685,0.602188110,0
1779393177625,417195.625000000,3,0.805094838,-0.010395681,0.035171874,0.592011273,0
1779393177635,417195.635000000,3,0.798526525,-0.010820333,0.035046294,0.600841224,0
1779393177655,417195.655000000,3,0.804639935,-0.010328813,0.035176303,0.592630208,0
1779393177665,417195.665000000,3,0.803704858,-0.010402956,0.035159208,0.593897462,0
1779393177685,417195.685000000,3,0.800665140,-0.010724659,0.035065025,0.597988963,0
1779393177695,417195.695000000,3,0.803480804,-0.010507701,0.035126232,0.594200552,0
1779393177705,417195.705000000,3,0.804137051,-0.010396856,0.035158213,0.593312323,0
1779393177725,417195.725000000,3,0.805595696,-0.010365244,0.035180077,0.591329515,0
1779393177735,417195.735000000,3,0.800067961,-0.010716880,0.035065733,0.598787904,0
1779393177755,417195.755000000,3,0.796779931,-0.010783818,0.035032980,0.603156865,0
1779393177765,417195.765000000,3,0.802192509,-0.010484930,0.035140343,0.595938325,0
1779393177785,417195.785000000,3,0.799756050,-0.010745822,0.035074364,0.599203348,0
