unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390687260,414705.260000000,0.051863499,0.012931718,-0.986949384,0.000519047,0.000125473,-0.009849597,-0.020061132,0.029744225,0.113241389,1,-0.008426948,-0.000571976,0.000168852,1,-0.528650582,-0.097334981,9.791906357,1,0
1779390687270,414705.270000000,0.049134128,0.011692317,-0.999399006,0.000488171,0.000120972,-0.009976937,-0.046560436,0.017113416,-0.008839072,1,-0.000342809,-0.004046611,-0.000346798,1,-0.528275430,-0.097560324,9.791924477,1,0
1779390687290,414705.290000000,0.053684633,0.007863476,-0.999212384,0.000532827,0.000070860,-0.010004340,-0.001390474,-0.019395143,-0.006968658,1,0.003576002,0.000978842,-0.000535678,1,-0.527887285,-0.096398950,9.791956902,1,0
1779390687300,414705.300000000,0.053931355,0.011387213,-0.991258562,0.000538375,0.000106339,-0.009919485,0.000864885,0.014938760,0.071020618,1,-0.007449786,0.002903673,-0.000124947,1,-0.528111577,-0.096964069,9.791939735,1,0
1779390687320,414705.320000000,0.054979071,0.012424495,-0.999739170,0.000544924,0.000130453,-0.009996966,0.011021147,0.023499485,-0.012168344,1,-0.000503419,-0.000713977,0.000791102,1,-0.528117120,-0.098357961,9.791925430,1,0
1779390687330,414705.330000000,0.057807401,0.007271254,-0.999015391,0.000578563,0.000081070,-0.010000238,0.038878448,-0.026454365,-0.005058243,1,0.009745808,-0.001017955,-0.000743031,1,-0.527986586,-0.097458534,9.791941643,1,0
1779390687350,414705.350000000,0.052448783,0.009052216,-0.983949482,0.000536376,0.000089045,-0.009840036,-0.013814418,-0.007913750,0.142690822,1,-0.005181649,0.001144371,0.000125390,1,-0.528197050,-0.096846968,9.791935921,1,0
1779390687360,414705.360000000,0.047759123,0.011396742,-0.991534173,0.000486883,0.000116515,-0.009897000,-0.059809558,0.014101617,0.068299897,1,-0.011480936,-0.001647763,0.000237686,1,-0.528115332,-0.098019697,9.791929245,1,0
1779390687370,414705.370000000,0.047342762,0.012585367,-1.003461599,0.000479401,0.000127891,-0.010026515,-0.063640945,0.024928205,-0.048662730,1,-0.004808978,-0.002889137,-0.000756574,1,-0.527824581,-0.098643258,9.791937828,1,0
1779390687390,414705.390000000,0.056580573,0.006501189,-0.998558402,0.000572703,0.000063190,-0.010003781,0.027178265,-0.033959471,-0.000558362,1,0.004916246,0.001130893,-0.000302204,1,-0.527722836,-0.097561635,9.791954994,1,0
1779390687400,414705.400000000,0.055575080,0.010232456,-0.987867713,0.000559245,0.000091694,-0.009890425,0.017033618,0.002636325,0.104265682,1,-0.005045721,0.003556609,0.000202922,1,-0.528082669,-0.097866721,9.791932106,1,0
1779390687420,414705.420000000,0.052811723,0.014085476,-0.995094299,0.000522773,0.000144206,-0.009934304,-0.010406852,0.038863696,0.033364072,1,-0.002519088,-0.001064490,0.000254505,1,-0.528279901,-0.099345736,9.791906357,1,0
1779390687430,414705.430000000,0.055924520,0.008891465,-0.997854233,0.000551541,0.000094612,-0.009984650,0.020222429,-0.011816325,0.006306442,1,0.005575527,-0.001236314,0.000013918,1,-0.528171241,-0.098838009,9.791917801,1,0
1779390687450,414705.450000000,0.052499779,0.009606157,-0.989860475,0.000523452,0.000089150,-0.009892891,-0.013339689,-0.004123376,0.084705546,1,-0.004307156,0.001272675,-0.000101658,1,-0.528226316,-0.098462030,9.791918755,1,0
1779390687460,414705.460000000,0.049835827,0.012968266,-0.995190382,0.000491898,0.000124575,-0.009939753,-0.039591059,0.028041845,0.032422286,1,-0.009900638,0.001008795,-0.000233102,1,-0.528344989,-0.099442400,9.791902542,1,0
