unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779390687260,414705.260000000,3,0.999619842,-0.004886208,0.026978124,-0.002904305,1,0
1779390687270,414705.270000000,3,0.999620318,-0.004897750,0.026959013,-0.002904496,1,0
1779390687290,414705.290000000,3,0.999621093,-0.004838315,0.026939066,-0.002913875,1,0
1779390687300,414705.300000000,3,0.999620676,-0.004867117,0.026950600,-0.002913516,1,0
1779390687320,414705.320000000,3,0.999620318,-0.004938479,0.026951052,-0.002903667,1,0
1779390687330,414705.330000000,3,0.999620736,-0.004892536,0.026944265,-0.002906825,1,0
1779390687350,414705.350000000,3,0.999620616,-0.004861220,0.026954928,-0.002910258,1,0
1779390687360,414705.360000000,3,0.999620438,-0.004921117,0.026950927,-0.002907665,1,0
1779390687370,414705.370000000,3,0.999620676,-0.004952901,0.026936196,-0.002909990,1,0
1779390687390,414705.390000000,3,0.999621034,-0.004897669,0.026930848,-0.002912868,1,0
1779390687400,414705.400000000,3,0.999620497,-0.004913216,0.026949257,-0.002911485,1,0
1779390687420,414705.420000000,3,0.999619842,-0.004988777,0.026959524,-0.002905947,1,0
1779390687430,414705.430000000,3,0.999620140,-0.004962877,0.026953904,-0.002906611,1,0
1779390687450,414705.450000000,3,0.999620140,-0.004943558,0.026956679,-0.002911553,1,0
1779390687460,414705.460000000,3,0.999619722,-0.004993560,0.026962886,-0.002911046,1,0
1779390687480,414705.480000000,3,0.999620140,-0.004992813,0.026947359,-0.002908378,1,0
1779390687490,414705.490000000,3,0.999620140,-0.004958051,0.026954908,-0.002912776,1,0
1779390687510,414705.510000000,3,0.999619186,-0.005008210,0.026980758,-0.002908421,1,0
1779390687520,414705.520000000,3,0.999619365,-0.005027869,0.026970491,-0.002907151,1,0
1779390687530,414705.530000000,3,0.999619961,-0.004994225,0.026955197,-0.002909102,1,0
1779390687550,414705.550000000,3,0.999620020,-0.004973480,0.026956487,-0.002911104,1,0
1779390687570,414705.570000000,3,0.999619544,-0.005053071,0.026958538,-0.002905715,1,0
1779390687580,414705.580000000,3,0.999619782,-0.005029019,0.026955174,-0.002906661,1,0
1779390687590,414705.590000000,3,0.999620020,-0.004991804,0.026952202,-0.002908548,1,0
1779390687610,414705.610000000,3,0.999619246,-0.005042415,0.026972277,-0.002908432,1,0
1779390687620,414705.620000000,3,0.999619424,-0.005060920,0.026961885,-0.002905485,1,0
1779390687640,414705.640000000,3,0.999619901,-0.005002391,0.026955463,-0.002908275,1,0
1779390687650,414705.650000000,3,0.999619365,-0.005020143,0.026971443,-0.002906027,1,0
1779390687660,414705.660000000,3,0.999618888,-0.005067417,0.026979918,-0.002903173,1,0
1779390687680,414705.680000000,3,0.999619842,-0.005016625,0.026954157,-0.002902295,1,0
1779390687690,414705.690000000,3,0.999619544,-0.004980055,0.026972663,-0.002905626,1,0
1779390687710,414705.710000000,3,0.999618232,-0.005060146,0.027007701,-0.002898353,1,0
1779390687720,414705.720000000,3,0.999618113,-0.005085597,0.027006889,-0.002895361,1,0
1779390687740,414705.740000000,3,0.999618232,-0.005030188,0.027013449,-0.002897516,1,0
1779390687750,414705.750000000,3,0.999617398,-0.005060342,0.027038686,-0.002895598,1,0
1779390687770,414705.770000000,3,0.999615729,-0.005162180,0.027081678,-0.002886028,1,0
1779390687780,414705.780000000,3,0.999615490,-0.005153070,0.027093356,-0.002883177,1,0
1779390687800,414705.800000000,3,0.999615252,-0.005140231,0.027104560,-0.002883485,1,0
1779390687810,414705.810000000,3,0.999615252,-0.005176848,0.027097268,-0.002883188,1,0
1779390687820,414705.820000000,3,0.999615908,-0.005195087,0.027068838,-0.002885376,1,0
1779390687840,414705.840000000,3,0.999615967,-0.005186479,0.027067302,-0.002895351,1,0
1779390687870,414705.870000000,3,0.999614894,-0.005290849,0.027086349,-0.002900016,1,0
1779390687880,414705.880000000,3,0.999615550,-0.005246200,0.027070470,-0.002905575,1,0
1779390687900,414705.900000000,3,0.999615848,-0.005214097,0.027064631,-0.002911815,1,0
1779390687910,414705.910000000,3,0.999615967,-0.005259397,0.027050834,-0.002913541,1,0
1779390687930,414705.930000000,3,0.999616802,-0.005221664,0.027026683,-0.002914428,1,0
1779390687940,414705.940000000,3,0.999616861,-0.005184745,0.027032547,-0.002916802,1,0
1779390687950,414705.950000000,3,0.999616504,-0.005184193,0.027046259,-0.002912747,1,0
1779390687970,414705.970000000,3,0.999617219,-0.005152275,0.027027227,-0.002905199,1,0
1779390687980,414705.980000000,3,0.999618292,-0.005077243,0.027001051,-0.002905745,1,0
1779390688000,414706.000000000,3,0.999618948,-0.005024585,0.026986443,-0.002913069,1,0
1779390688010,414706.010000000,3,0.999619067,-0.005054671,0.026975261,-0.002911970,1,0
1779390688030,414706.030000000,3,0.999620736,-0.004985812,0.026927015,-0.002915237,1,0
1779390688040,414706.040000000,3,0.999621451,-0.004920123,0.026912227,-0.002917636,1,0
1779390688060,414706.060000000,3,0.999620914,-0.004964425,0.026923580,-0.002918156,1,0
1779390688070,414706.070000000,3,0.999621034,-0.004976539,0.026916528,-0.002920682,1,0
