Time,GPS_ts,fGPS_ts,s_roll,s_pitch,s_yaw,f_roll,f_pitch,f_yaw,flag
1777588226974,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226984,  5766.920,  5766.910, 0.955449,-0.727112,167.511122, 0.936733,-0.766042,-0.006356,0
1777588226995,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227005,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227015,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227025,  5766.960,  5766.950, 0.955813,-0.726861,167.564957, 0.936671,-0.765920,-0.007478,0
1777588227043,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227053,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227063,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227073,  5767.000,  5767.000, 0.955451,-0.727032,167.564160, 0.936614,-0.765972,-0.007274,0
1777588227084,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227094,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227104,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227114,  5767.050,  5767.040, 0.955600,-0.726693,167.261762, 0.936625,-0.765737,-0.007421,0
1777588227124,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227134,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227144,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227154,  5767.090,  5767.080, 0.956911,-0.726247,167.216514, 0.937776,-0.765062,-0.007152,0
1777588227172,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227182,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227193,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227203,  5767.130,  5767.130, 0.957549,-0.725990,167.457966, 0.938766,-0.764814,-0.006948,0
1777588227213,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227223,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227233,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227243,  5767.170,  5767.170, 0.957962,-0.725566,167.482038, 0.939206,-0.764379,-0.007103,0
1777588227254,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227264,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227274,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227284,  5767.220,  5767.210, 0.958063,-0.725860,167.747833, 0.939462,-0.764516,-0.007293,0
1777588227294,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227305,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227315,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227325,  5767.260,  5767.250, 0.958462,-0.725831,167.446290, 0.939738,-0.764647,-0.007394,0
1777588227343,  5767.300,  5767.300, 0.958385,-0.723954,167.369627, 0.939384,-0.762408,-0.007021,0
1777588227353,  5767.300,  5767.300, 0.958385,-0.723954,167.369627, 0.939384,-0.762408,-0.007021,0
1777588227363,  5767.300,  5767.300, 0.958385,-0.723954,167.369627, 0.939384,-0.762408,-0.007021,0
1777588227373,  5767.300,  5767.300, 0.958385,-0.723954,167.369627, 0.939384,-0.762408,-0.007021,0
1777588227383,  5767.340,  5767.340, 0.958411,-0.724294,167.582151, 0.939428,-0.762719,-0.006974,0
1777588227393,  5767.340,  5767.340, 0.958411,-0.724294,167.582151, 0.939428,-0.762719,-0.006974,0
1777588227403,  5767.340,  5767.340, 0.958411,-0.724294,167.582151, 0.939428,-0.762719,-0.006974,0
1777588227414,  5767.340,  5767.340, 0.958411,-0.724294,167.582151, 0.939428,-0.762719,-0.006974,0
1777588227424,  5767.390,  5767.380, 0.958346,-0.724021,167.565462, 0.939087,-0.762529,-0.006851,0
1777588227434,  5767.390,  5767.380, 0.958346,-0.724021,167.565462, 0.939087,-0.762529,-0.006851,0
1777588227444,  5767.390,  5767.380, 0.958346,-0.724021,167.565462, 0.939087,-0.762529,-0.006851,0
1777588227454,  5767.390,  5767.380, 0.958346,-0.724021,167.565462, 0.939087,-0.762529,-0.006851,0
1777588227465,  5767.430,  5767.420, 0.958327,-0.724479,167.468613, 0.939157,-0.762589,-0.006742,0
1777588227475,  5767.430,  5767.420, 0.958327,-0.724479,167.468613, 0.939157,-0.762589,-0.006742,0
1777588227485,  5767.430,  5767.420, 0.958327,-0.724479,167.468613, 0.939157,-0.762589,-0.006742,0
1777588227495,  5767.430,  5767.420, 0.958327,-0.724479,167.468613, 0.939157,-0.762589,-0.006742,0
1777588227513,  5767.470,  5767.470, 0.958892,-0.723920,167.396127, 0.939913,-0.762318,-0.006664,0
1777588227523,  5767.470,  5767.470, 0.958892,-0.723920,167.396127, 0.939913,-0.762318,-0.006664,0
1777588227533,  5767.470,  5767.470, 0.958892,-0.723920,167.396127, 0.939913,-0.762318,-0.006664,0
1777588227543,  5767.470,  5767.470, 0.958892,-0.723920,167.396127, 0.939913,-0.762318,-0.006664,0
1777588227554,  5767.520,  5767.510, 0.958995,-0.724255,167.580694, 0.939817,-0.763066,-0.006462,0
1777588227564,  5767.520,  5767.510, 0.958995,-0.724255,167.580694, 0.939817,-0.763066,-0.006462,0
1777588227574,  5767.520,  5767.510, 0.958995,-0.724255,167.580694, 0.939817,-0.763066,-0.006462,0
1777588227584,  5767.520,  5767.510, 0.958995,-0.724255,167.580694, 0.939817,-0.763066,-0.006462,0
1777588227594,  5767.560,  5767.550, 0.959214,-0.724217,167.466670, 0.940214,-0.762901,-0.006559,0
1777588227604,  5767.560,  5767.550, 0.959214,-0.724217,167.466670, 0.940214,-0.762901,-0.006559,0
1777588227615,  5767.560,  5767.550, 0.959214,-0.724217,167.466670, 0.940214,-0.762901,-0.006559,0
1777588227625,  5767.560,  5767.550, 0.959214,-0.724217,167.466670, 0.940214,-0.762901,-0.006559,0
1777588227642,  5767.600,  5767.600, 0.958463,-0.724662,167.594002, 0.939337,-0.763283,-0.006575,0
1777588227653,  5767.600,  5767.600, 0.958463,-0.724662,167.594002, 0.939337,-0.763283,-0.006575,0
1777588227663,  5767.600,  5767.600, 0.958463,-0.724662,167.594002, 0.939337,-0.763283,-0.006575,0
1777588227673,  5767.600,  5767.600, 0.958463,-0.724662,167.594002, 0.939337,-0.763283,-0.006575,0
1777588227683,  5767.640,  5767.640, 0.958806,-0.724688,167.243247, 0.939679,-0.763310,-0.006936,0
1777588227693,  5767.640,  5767.640, 0.958806,-0.724688,167.243247, 0.939679,-0.763310,-0.006936,0
1777588227703,  5767.640,  5767.640, 0.958806,-0.724688,167.243247, 0.939679,-0.763310,-0.006936,0
1777588227714,  5767.640,  5767.640, 0.958806,-0.724688,167.243247, 0.939679,-0.763310,-0.006936,0
1777588227724,  5767.690,  5767.680, 0.958839,-0.724547,167.452488, 0.939495,-0.763448,-0.007117,0
1777588227734,  5767.690,  5767.680, 0.958839,-0.724547,167.452488, 0.939495,-0.763448,-0.007117,0
1777588227744,  5767.690,  5767.680, 0.958839,-0.724547,167.452488, 0.939495,-0.763448,-0.007117,0
1777588227754,  5767.690,  5767.680, 0.958839,-0.724547,167.452488, 0.939495,-0.763448,-0.007117,0
1777588227765,  5767.730,  5767.720, 0.958685,-0.724601,167.279422, 0.939547,-0.763147,-0.007032,0
1777588227775,  5767.730,  5767.720, 0.958685,-0.724601,167.279422, 0.939547,-0.763147,-0.007032,0
1777588227785,  5767.730,  5767.720, 0.958685,-0.724601,167.279422, 0.939547,-0.763147,-0.007032,0
1777588227795,  5767.730,  5767.720, 0.958685,-0.724601,167.279422, 0.939547,-0.763147,-0.007032,0
1777588227813,  5767.770,  5767.770, 0.958779,-0.725404,167.603968, 0.939456,-0.764111,-0.007256,0
1777588227823,  5767.770,  5767.770, 0.958779,-0.725404,167.603968, 0.939456,-0.764111,-0.007256,0
1777588227833,  5767.770,  5767.770, 0.958779,-0.725404,167.603968, 0.939456,-0.764111,-0.007256,0
1777588227843,  5767.770,  5767.770, 0.958779,-0.725404,167.603968, 0.939456,-0.764111,-0.007256,0
1777588227853,  5767.820,  5767.810, 0.959424,-0.724956,167.588873, 0.940065,-0.763933,-0.006971,0
1777588227864,  5767.820,  5767.810, 0.959424,-0.724956,167.588873, 0.940065,-0.763933,-0.006971,0
1777588227874,  5767.820,  5767.810, 0.959424,-0.724956,167.588873, 0.940065,-0.763933,-0.006971,0
1777588227884,  5767.820,  5767.810, 0.959424,-0.724956,167.588873, 0.940065,-0.763933,-0.006971,0
1777588227894,  5767.860,  5767.850, 0.959323,-0.724951,167.217544, 0.939939,-0.763686,-0.006878,0
1777588227904,  5767.860,  5767.850, 0.959323,-0.724951,167.217544, 0.939939,-0.763686,-0.006878,0
1777588227914,  5767.860,  5767.850, 0.959323,-0.724951,167.217544, 0.939939,-0.763686,-0.006878,0
1777588227924,  5767.860,  5767.850, 0.959323,-0.724951,167.217544, 0.939939,-0.763686,-0.006878,0
1777588227942,  5767.900,  5767.900, 0.960572,-0.724600,167.191782, 0.941127,-0.763344,-0.007088,0
1777588227952,  5767.900,  5767.900, 0.960572,-0.724600,167.191782, 0.941127,-0.763344,-0.007088,0
1777588227962,  5767.900,  5767.900, 0.960572,-0.724600,167.191782, 0.941127,-0.763344,-0.007088,0
1777588227973,  5767.900,  5767.900, 0.960572,-0.724600,167.191782, 0.941127,-0.763344,-0.007088,0
1777588227983,  5767.940,  5767.940, 0.959991,-0.724501,167.454761, 0.940555,-0.763239,-0.007421,0
1777588227993,  5767.940,  5767.940, 0.959991,-0.724501,167.454761, 0.940555,-0.763239,-0.007421,0
1777588228003,  5767.940,  5767.940, 0.959991,-0.724501,167.454761, 0.940555,-0.763239,-0.007421,0
1777588228013,  5767.940,  5767.940, 0.959991,-0.724501,167.454761, 0.940555,-0.763239,-0.007421,0
1777588228024,  5767.990,  5767.980, 0.959408,-0.724757,167.387365, 0.940609,-0.763968,-0.007347,0
1777588228034,  5767.990,  5767.980, 0.959408,-0.724757,167.387365, 0.940609,-0.763968,-0.007347,0
1777588228044,  5767.990,  5767.980, 0.959408,-0.724757,167.387365, 0.940609,-0.763968,-0.007347,0
1777588228054,  5767.990,  5767.980, 0.959408,-0.724757,167.387365, 0.940609,-0.763968,-0.007347,0
1777588228064,  5768.030,  5768.020, 0.959367,-0.724006,167.381089, 0.940158,-0.763197,-0.007335,0
1777588228074,  5768.030,  5768.020, 0.959367,-0.724006,167.381089, 0.940158,-0.763197,-0.007335,0
1777588228085,  5768.030,  5768.020, 0.959367,-0.724006,167.381089, 0.940158,-0.763197,-0.007335,0
1777588228095,  5768.030,  5768.020, 0.959367,-0.724006,167.381089, 0.940158,-0.763197,-0.007335,0
1777588228113,  5768.070,  5768.070, 0.959513,-0.723681,167.571893, 0.940079,-0.762419,-0.007355,0
1777588228123,  5768.070,  5768.070, 0.959513,-0.723681,167.571893, 0.940079,-0.762419,-0.007355,0
1777588228133,  5768.070,  5768.070, 0.959513,-0.723681,167.571893, 0.940079,-0.762419,-0.007355,0
1777588228143,  5768.070,  5768.070, 0.959513,-0.723681,167.571893, 0.940079,-0.762419,-0.007355,0
1777588228153,  5768.110,  5768.110, 0.959616,-0.722993,167.348275, 0.940020,-0.761835,-0.007493,0
1777588228163,  5768.110,  5768.110, 0.959616,-0.722993,167.348275, 0.940020,-0.761835,-0.007493,0
1777588228173,  5768.110,  5768.110, 0.959616,-0.722993,167.348275, 0.940020,-0.761835,-0.007493,0
1777588228183,  5768.110,  5768.110, 0.959616,-0.722993,167.348275, 0.940020,-0.761835,-0.007493,0
1777588228194,  5768.160,  5768.150, 0.959598,-0.723433,167.295722, 0.939833,-0.762372,-0.007694,0
1777588228204,  5768.160,  5768.150, 0.959598,-0.723433,167.295722, 0.939833,-0.762372,-0.007694,0
1777588228214,  5768.160,  5768.150, 0.959598,-0.723433,167.295722, 0.939833,-0.762372,-0.007694,0
1777588228224,  5768.160,  5768.150, 0.959598,-0.723433,167.295722, 0.939833,-0.762372,-0.007694,0
1777588228235,  5768.200,  5768.190, 0.959660,-0.723125,167.397156, 0.940001,-0.762010,-0.008584,0
1777588228245,  5768.200,  5768.190, 0.959660,-0.723125,167.397156, 0.940001,-0.762010,-0.008584,0
1777588228255,  5768.200,  5768.190, 0.959660,-0.723125,167.397156, 0.940001,-0.762010,-0.008584,0
1777588228265,  5768.200,  5768.190, 0.959660,-0.723125,167.397156, 0.940001,-0.762010,-0.008584,0
1777588228283,  5768.240,  5768.240, 0.958743,-0.723632,167.559634, 0.939134,-0.762478,-0.008474,0
1777588228293,  5768.240,  5768.240, 0.958743,-0.723632,167.559634, 0.939134,-0.762478,-0.008474,0
1777588228303,  5768.240,  5768.240, 0.958743,-0.723632,167.559634, 0.939134,-0.762478,-0.008474,0
1777588228313,  5768.240,  5768.240, 0.958743,-0.723632,167.559634, 0.939134,-0.762478,-0.008474,0
1777588228324,  5768.290,  5768.280, 0.958631,-0.723423,167.263880, 0.938632,-0.762159,-0.008848,0
1777588228334,  5768.290,  5768.280, 0.958631,-0.723423,167.263880, 0.938632,-0.762159,-0.008848,0
1777588228344,  5768.290,  5768.280, 0.958631,-0.723423,167.263880, 0.938632,-0.762159,-0.008848,0
1777588228354,  5768.290,  5768.280, 0.958631,-0.723423,167.263880, 0.938632,-0.762159,-0.008848,0
1777588228364,  5768.330,  5768.320, 0.958706,-0.723396,167.411028, 0.938571,-0.762052,-0.008278,0
1777588228374,  5768.330,  5768.320, 0.958706,-0.723396,167.411028, 0.938571,-0.762052,-0.008278,0
1777588228384,  5768.330,  5768.320, 0.958706,-0.723396,167.411028, 0.938571,-0.762052,-0.008278,0
1777588228394,  5768.330,  5768.320, 0.958706,-0.723396,167.411028, 0.938571,-0.762052,-0.008278,0
1777588228412,  5768.370,  5768.370, 0.958116,-0.723503,167.556350, 0.938279,-0.762367,-0.008635,0
1777588228422,  5768.370,  5768.370, 0.958116,-0.723503,167.556350, 0.938279,-0.762367,-0.008635,0
1777588228433,  5768.370,  5768.370, 0.958116,-0.723503,167.556350, 0.938279,-0.762367,-0.008635,0
