FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778106073845282560,,,,,,,0.6673057079315186,1,-0.03602276369929314,1,0.1082832515239716,1,-0.005796982906758785,1,0.0002156786213163286,1,0.002716645831242204,1,3,1,0.2076435536146164,1,0.5297589898109436,1,9.790128707885742,1
1778106073847542016,0.04680731147527695,-0.05595573782920837,-0.9946103692054749,0.0004365347849670798,-0.0005331860156729817,-0.009953634813427925,,,,,,,,,,,,,,,,,,,,
1778106073855261696,,,,,,,0.6902909874916077,1,-0.01945919543504715,1,0.09446880221366882,1,-0.0068233422935009,1,0.0008211707463487983,1,0.001462027663365006,1,3,1,0.2076001465320587,1,0.5290828943252563,1,9.790166854858398,1
1778106073857518336,0.04533955082297325,-0.05335122346878052,-0.9954454898834229,0.0004382553161121905,-0.0005074497312307358,-0.009963043034076691,,,,,,,,,,,,,,,,,,,,
1778106073865220864,,,,,,,0.7095291614532471,1,-0.01408984884619713,1,0.08279560506343842,1,-0.004756718408316374,1,5.307083483785391e-05,1,-0.0007458394975401461,1,3,1,0.207594707608223,1,0.5285558700561523,1,9.790194511413574,1
1778106073867474688,0.04485543817281723,-0.05143771693110466,-0.9960950016975403,0.0004463706573005766,-0.0004917785990983248,-0.009967907331883907,,,,,,,,,,,,,,,,,,,,
1778106073875160320,,,,,,,0.7136719822883606,1,-0.02248021028935909,1,0.07973683625459671,1,-0.004716706462204456,1,0.0005310009000822902,1,-0.002145964419469237,1,3,1,0.2076098322868347,1,0.5281447172164917,1,9.790216445922852,1
1778106073877411072,0.04455646872520447,-0.05204987153410912,-0.9964560270309448,0.0004448401159606874,-0.0005253370618447661,-0.009968284517526627,,,,,,,,,,,,,,,,,,,,
1778106073885080320,,,,,,,0.7141289710998535,1,-0.03823864087462425,1,0.08621373027563095,1,-0.007528514601290226,1,0.0007986335549503565,1,-0.001758617465384305,1,3,1,0.2075225412845612,1,0.52744060754776,1,9.790256500244141,1
1778106073887328000,0.04272452741861343,-0.05394888669252396,-0.9960951805114746,0.0004067866830155253,-0.0005601612501777709,-0.009960895404219627,,,,,,,,,,,,,,,,,,,,
1778106073894980864,,,,,,,0.7100377082824707,1,-0.05468275770545006,1,0.08119682967662811,1,-0.0117554971948266,1,-2.712692366912961e-05,1,-0.001208170666359365,1,3,1,0.2074716091156006,1,0.5264109373092651,1,9.790312767028809,1
1778106073897225216,0.04014842957258224,-0.05598250776529312,-0.9948556423187256,0.0003766987356357276,-0.0005847561405971646,-0.009934610687196255,,,,,,,,,,,,,,,,,,,,
1778106073904861696,,,,,,,0.7029584050178528,1,-0.0637672021985054,1,0.07248964160680771,1,-0.01551700290292501,1,0.002337403362616897,1,-0.0009590160334482789,1,3,1,0.2072342187166214,1,0.5249786972999573,1,9.79039478302002,1
1778106073907102720,0.03787820786237717,-0.05589819326996803,-0.9946929812431335,0.0003550616092979908,-0.0005610415828414261,-0.009940020740032196,,,,,,,,,,,,,,,,,,,,
1778106073914722816,,,,,,,0.7041656374931335,1,-0.06370919942855835,1,0.05331357568502426,1,-0.01747427508234978,1,0.0009740075329318643,1,-0.001446159323677421,1,3,1,0.2070959061384201,1,0.5232968926429749,1,9.790488243103027,1
1778106073916961024,0.03694654256105423,-0.05355910584330559,-0.9964458346366882,0.0003602222132030874,-0.0005091622588224709,-0.009981555864214897,,,,,,,,,,,,,,,,,,,,
