FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778106286722976768,-0.01399850752204657,-0.03982736170291901,-0.9955278038978577,-0.0001390400429954752,-0.0003903467440977693,-0.009952076710760593,,,,,,,,,,,,,,,,,,,,
1778106286726798848,,,,,,,0.02514222078025341,1,-0.01594230346381664,1,0.05310017988085747,1,0.006211913656443357,1,0.0006899303989484906,1,1.314235123572871e-05,1,3,1,0.1604385226964951,1,0.3866909444332123,1,9.797709465026855,1
1778106286732858368,-0.013627914711833,-0.03937159851193428,-0.9953416585922241,-0.0001321982126682997,-0.0003878687275573611,-0.009951680898666382,,,,,,,,,,,,,,,,,,,,
1778106286737031680,,,,,,,0.02581316418945789,1,-0.0216650478541851,1,0.0490536130964756,1,0.006872017402201891,1,0.001181354513391852,1,1.67843681992963e-05,1,3,1,0.1603247970342636,1,0.3873904049396515,1,9.797683715820312,1
1778106286742720256,-0.01344279106706381,-0.03959186375141144,-0.9944952726364136,-0.0001319902803516015,-0.0003974222927354276,-0.009936137124896049,,,,,,,,,,,,,,,,,,,,
1778106286747244032,,,,,,,0.02502200566232204,1,-0.02384997718036175,1,0.03917953744530678,1,0.007017414551228285,1,-0.0001705446338746697,1,-8.765500388108194e-05,1,3,1,0.1603172421455383,1,0.3880625665187836,1,9.797657012939453,1
1778106286752562944,-0.01343169249594212,-0.04030218347907066,-0.993594765663147,-0.0001337665598839521,-0.0004104279796592891,-0.009925353340804577,,,,,,,,,,,,,,,,,,,,
1778106286757436416,,,,,,,0.01950178481638432,1,-0.02174055203795433,1,0.0389183945953846,1,0.007597485557198524,1,0.0007304383907467127,1,3.366849341546185e-05,1,3,1,0.1602649241685867,1,0.3887980282306671,1,9.797629356384277,1
1778106286762564864,-0.01379979588091373,-0.04094782844185829,-0.9936778545379639,-0.0001420296321157366,-0.0004165042482782155,-0.009936985559761524,,,,,,,,,,,,,,,,,,,,
1778106286767608320,,,,,,,0.01562299393117428,1,-0.02036283537745476,1,0.04190190508961678,1,0.006216371897608042,1,0.001259413314983249,1,0.0003791199414990842,1,3,1,0.1601458787918091,1,0.3894145488739014,1,9.797606468200684,1
1778106286772725760,-0.01372671592980623,-0.04160111024975777,-0.9940878748893738,-0.0001369428646285087,-0.0004230501363053918,-0.009944816119968891,,,,,,,,,,,,,,,,,,,,
1778106286777760512,,,,,,,0.01351300720125437,1,-0.01750418730080128,1,0.03842727094888687,1,0.006107937078922987,1,0.000377454241970554,1,-0.0002188231010222808,1,3,1,0.1601067185401917,1,0.3900148272514343,1,9.79758358001709,1
1778106286782866944,-0.01380167808383703,-0.04189290851354599,-0.9950921535491943,-0.000138441362651065,-0.0004228752804920077,-0.009963462129235268,,,,,,,,,,,,,,,,,,,,
1778106286787893504,,,,,,,0.01408980693668127,1,-0.0167063232511282,1,0.03441085666418076,1,0.007089979015290737,1,-0.0002500723348930478,1,-0.0002297978498972952,1,3,1,0.1600763350725174,1,0.3906741142272949,1,9.797557830810547,1
1778106286792988160,-0.01436122599989176,-0.04174824059009552,-0.9951159358024597,-0.0001494175085099414,-0.000415294780395925,-0.009952666237950325,,,,,,,,,,,,,,,,,,,,
1778106286798006016,,,,,,,0.01054805610328913,1,-0.01931653171777725,1,0.04108333960175514,1,0.008210099302232265,1,-0.0003499494923744351,1,-0.0007150779711082578,1,3,1,0.1600994765758514,1,0.3914878666400909,1,9.797524452209473,1
