FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778105975262720512,,,,,,,-0.001693512196652591,1,0.004303120076656342,1,0.03156580030918121,1,0.004114603158086538,1,-0.0002353760646656156,1,-0.001955029089003801,1,3,1,0.1691816747188568,1,-0.06229208037257195,1,9.80499267578125,1
1778105975268706304,-0.01726421155035496,0.009027798660099506,-0.9960923194885254,-0.0001755303819663823,9.848200716078281e-05,-0.009959585033357143,,,,,,,,,,,,,,,,,,,,
1778105975272550656,,,,,,,-0.002419127617031336,1,0.003443301422521472,1,0.03518854826688766,1,0.003772538620978594,1,3.217384801246226e-06,1,-0.001894864602945745,1,3,1,0.1691587567329407,1,-0.06190856546163559,1,9.804995536804199,1
1778105975278708224,-0.01745155453681946,0.009999914094805717,-0.9954841732978821,-0.0001766245841281489,0.0001113452817662619,-0.009948804043233395,,,,,,,,,,,,,,,,,,,,
1778105975282361344,,,,,,,-0.003124625189229846,1,0.006252332124859095,1,0.03903105854988098,1,0.001817258191294968,1,-0.0003543524944689125,1,-0.002087124390527606,1,3,1,0.1691870838403702,1,-0.06170850619673729,1,9.804996490478516,1
1778105975288872448,-0.0176971722394228,0.01098811812698841,-0.9952830672264099,-0.0001797299628378823,0.0001205906592076644,-0.009948862716555595,,,,,,,,,,,,,,,,,,,,
1778105975292152832,,,,,,,-0.00303747458383441,1,0.00922955758869648,1,0.04156939685344696,1,0.0003336092049721628,1,0.0006893865065649152,1,-0.001293572713620961,1,3,1,0.16913703083992,1,-0.06164658814668655,1,9.804997444152832,1
1778105975299016192,-0.01794888637959957,0.01186227146536112,-0.9953756332397461,-0.0001820569596020505,0.0001297758863074705,-0.009955303743481636,,,,,,,,,,,,,,,,,,,,
1778105975301925376,,,,,,,0.0007904222584329545,1,0.0142000000923872,1,0.03765586018562317,1,0.0006069557275623083,1,0.0001450733107049018,1,-0.001279225340113044,1,3,1,0.1690547913312912,1,-0.06159641593694687,1,9.804999351501465,1
1778105975309140480,-0.01815930940210819,0.01241310592740774,-0.9955501556396484,-0.000184070217073895,0.0001317019632551819,-0.009957993403077126,,,,,,,,,,,,,,,,,,,,
1778105975311678720,,,,,,,0.002562426961958408,1,0.01955152302980423,1,0.03484819829463959,1,0.001422384171746671,1,-0.0001404166396241635,1,-0.00125288893468678,1,3,1,0.169086679816246,1,-0.06148747727274895,1,9.804999351501465,1
1778105975319244288,-0.01816357113420963,0.01230495795607567,-0.9957268834114075,-0.0001814407005440444,0.0001236437383340672,-0.009958893060684204,,,,,,,,,,,,,,,,,,,,
1778105975321412608,,,,,,,-0.0002118737756973132,1,0.02702359668910503,1,0.03666984662413597,1,0.003830933710560203,1,-2.313437289558351e-05,1,-0.0009701933595351875,1,3,1,0.1690917164087296,1,-0.06114682927727699,1,9.805001258850098,1
1778105975329328128,-0.0183226466178894,0.01183474715799093,-0.9960851073265076,-0.0001845248189056292,0.0001147576767834835,-0.009965562261641026,,,,,,,,,,,,,,,,,,,,
1778105975331309056,,,,,,,-0.002048789290711284,1,0.03687958419322968,1,0.04263535887002945,1,0.005998334381729364,1,-1.831292320275679e-05,1,-0.001480153179727495,1,3,1,0.1690908968448639,1,-0.06055861338973045,1,9.805005073547363,1
1778105975339391744,-0.01845419406890869,0.01087790634483099,-0.996083676815033,-0.0001861746422946453,9.911404777085409e-05,-0.009961702860891819,,,,,,,,,,,,,,,,,,,,
