unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779393655674,417673.674000000,3,0.999110460,0.012225020,0.040205140,-0.003517597,1,0
1779393655684,417673.684000000,3,0.999110281,0.012175254,0.040224891,-0.003516227,1,0
1779393655704,417673.704000000,3,0.999110222,0.012289272,0.040190827,-0.003525789,1,0
1779393655714,417673.714000000,3,0.999109447,0.012263014,0.040218301,-0.003530650,1,0
1779393655734,417673.734000000,3,0.999109268,0.012150581,0.040256619,-0.003525892,1,0
1779393655744,417673.744000000,3,0.999110460,0.012198100,0.040212665,-0.003525450,1,0
1779393655754,417673.754000000,3,0.999110639,0.012248444,0.040191967,-0.003534658,1,0
1779393655774,417673.774000000,3,0.999108613,0.012095704,0.040288661,-0.003533425,1,0
1779393655784,417673.784000000,3,0.999108672,0.012071920,0.040294815,-0.003530165,1,0
1779393655804,417673.804000000,3,0.999110222,0.012246795,0.040201873,-0.003546791,1,0
1779393655814,417673.814000000,3,0.999110043,0.012219349,0.040213931,-0.003552581,1,0
1779393655834,417673.834000000,3,0.999109685,0.012041090,0.040277615,-0.003541337,1,0
1779393655844,417673.844000000,3,0.999110103,0.012078459,0.040255584,-0.003542450,1,0
1779393655864,417673.864000000,3,0.999108970,0.012168239,0.040257137,-0.003545093,1,0
1779393655874,417673.874000000,3,0.999107957,0.012144382,0.040290687,-0.003534095,1,0
1779393655904,417673.904000000,3,0.999110162,0.012330533,0.040177360,-0.003546436,1,0
1779393655914,417673.914000000,3,0.999109626,0.012276955,0.040207941,-0.003549167,1,0
1779393655934,417673.934000000,3,0.999108374,0.012156029,0.040275753,-0.003535852,1,0
1779393655944,417673.944000000,3,0.999108791,0.012258983,0.040233981,-0.003537050,1,0
1779393655964,417673.964000000,3,0.999108374,0.012395645,0.040202681,-0.003544425,1,0
1779393655974,417673.974000000,3,0.999108016,0.012342026,0.040227752,-0.003540280,1,0
1779393655994,417673.994000000,3,0.999110222,0.012398701,0.040155504,-0.003542803,1,0
1779393656004,417674.004000000,3,0.999110520,0.012468445,0.040125586,-0.003550096,1,0
1779393656024,417674.024000000,3,0.999108791,0.012389144,0.040194139,-0.003539627,1,0
1779393656034,417674.034000000,3,0.999108791,0.012382330,0.040197413,-0.003535044,1,0
1779393656044,417674.044000000,3,0.999109447,0.012465918,0.040153805,-0.003539690,1,0
1779393656064,417674.064000000,3,0.999109149,0.012473488,0.040158398,-0.003550644,1,0
1779393656074,417674.074000000,3,0.999108553,0.012361484,0.040207595,-0.003548248,1,0
1779393656094,417674.094000000,3,0.999110043,0.012374402,0.040167302,-0.003550024,1,0
1779393656104,417674.104000000,3,0.999110222,0.012435783,0.040143602,-0.003556182,1,0
1779393656124,417674.124000000,3,0.999108672,0.012307816,0.040221769,-0.003549828,1,0
1779393656134,417674.134000000,3,0.999108791,0.012259731,0.040232874,-0.003547243,1,0
1779393656154,417674.154000000,3,0.999110162,0.012322336,0.040179268,-0.003558789,1,0
1779393656164,417674.164000000,3,0.999109447,0.012281260,0.040209807,-0.003555824,1,0
1779393656184,417674.184000000,3,0.999109387,0.012204721,0.040236253,-0.003540181,1,0
1779393656194,417674.194000000,3,0.999110043,0.012289972,0.040193409,-0.003538524,1,0
1779393656204,417674.204000000,3,0.999109924,0.012349861,0.040178612,-0.003540590,1,0
1779393656224,417674.224000000,3,0.999107897,0.012233559,0.040265147,-0.003535037,1,0
1779393656234,417674.234000000,3,0.999108613,0.012236115,0.040246446,-0.003532705,1,0
1779393656254,417674.254000000,3,0.999110222,0.012413515,0.040150575,-0.003548577,1,0
1779393656264,417674.264000000,3,0.999109864,0.012365641,0.040173620,-0.003549008,1,0
