unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779139782360.000000000,2419,163800.360000000,0.029212544,0.032906596,-0.999583900,0.000289608,0.000329094,-0.009993973,1779139782360.000000000,2419,163800.360000000,0.004141676,0.029530950,-0.004370646,1,0.000043727,0.000651206,-0.001094609,1,-0.282354832,-0.293172151,9.798199654,1,0,0
1779139782370.000000000,2419,163800.370000000,0.029900599,0.031760782,-0.999008060,0.000297803,0.000317373,-0.009986140,1779139782370.000000000,2419,163800.370000000,0.010865035,0.018327689,0.001277096,1,0.000599697,0.000208706,-0.001013888,1,-0.282365263,-0.293121427,9.798200607,1,0,0
1779139782380.000000000,2419,163800.380000000,0.030707097,0.030641459,-0.999240935,0.000306028,0.000306416,-0.009995953,1779139782380.000000000,2419,163800.380000000,0.018785594,0.007421049,-0.001003683,1,0.000941435,-0.000503896,-0.001259157,1,-0.282331288,-0.293040812,9.798203468,1,0,0
1779139782400.000000000,2419,163800.400000000,0.031696197,0.029944930,-0.999057651,0.000315648,0.000302292,-0.009995037,1779139782400.000000000,2419,163800.400000000,0.028528577,0.000671905,0.000797517,1,0.000042282,-0.000180717,-0.001258974,1,-0.282298177,-0.292987376,9.798206329,1,0,0
1779139782410.000000000,2419,163800.410000000,0.030478267,0.028374210,-0.999945164,0.000304370,0.000285998,-0.009996789,1779139782410.000000000,2419,163800.410000000,0.016601626,-0.014688454,-0.007904750,1,0.000595125,-0.000750214,-0.000977726,1,-0.282263786,-0.292926759,9.798209190,1,0,0
1779139782430.000000000,2419,163800.430000000,0.027160009,0.028558772,-0.999276817,0.000271557,0.000284624,-0.009990098,1779139782430.000000000,2419,163800.430000000,-0.015836695,-0.012874912,-0.001347207,1,-0.000020447,-0.000563378,-0.000780068,1,-0.282167137,-0.292942137,9.798212051,1,0,0
1779139782440.000000000,2419,163800.440000000,0.025894357,0.027609475,-0.999033153,0.000261298,0.000278469,-0.009991470,1779139782440.000000000,2419,163800.440000000,-0.028254641,-0.022162378,0.001042686,1,0.000362491,-0.000057291,-0.000285255,1,-0.282189488,-0.292907804,9.798212051,1,0,0
1779139782460.000000000,2419,163800.460000000,0.025323378,0.027526926,-0.999408662,0.000252957,0.000274293,-0.009993766,1779139782460.000000000,2419,163800.460000000,-0.033820353,-0.023024093,-0.002640716,1,-0.000351577,-0.000121813,0.000284966,1,-0.282154620,-0.292981625,9.798211098,1,0,0
1779139782470.000000000,2419,163800.470000000,0.025653476,0.028883008,-0.998952508,0.000252713,0.000286974,-0.009987419,1779139782470.000000000,2419,163800.470000000,-0.030540455,-0.009700924,0.001834956,1,-0.000153658,-0.000196388,0.000341821,1,-0.282109350,-0.292950988,9.798213005,1,0,0
1779139782490.000000000,2419,163800.490000000,0.029194850,0.032268174,-0.999114394,0.000288994,0.000323208,-0.009986420,1779139782490.000000000,2419,163800.490000000,0.004179293,0.023463277,0.000245766,1,0.000773136,0.000530319,0.000295593,1,-0.282141209,-0.292955041,9.798212051,1,0,0
