unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779390365472,414383.472000000,3,0.999536395,0.015902312,0.025901671,-0.001778276,1,0
1779390365482,414383.482000000,3,0.999536574,0.015881922,0.025908291,-0.001778720,1,0
1779390365502,414383.502000000,3,0.999536276,0.015904227,0.025906501,-0.001772742,1,0
1779390365512,414383.512000000,3,0.999535918,0.015914135,0.025913065,-0.001773866,1,0
1779390365532,414383.532000000,3,0.999536455,0.015886718,0.025910245,-0.001777543,1,0
1779390365542,414383.542000000,3,0.999536633,0.015896527,0.025896691,-0.001773517,1,0
1779390365552,414383.552000000,3,0.999536395,0.015916592,0.025894858,-0.001774063,1,0
1779390365562,414383.562000000,3,0.999535918,0.015919011,0.025910448,-0.001778845,1,0
1779390365572,414383.572000000,3,0.999536157,0.015895791,0.025915558,-0.001783084,1,0
1779390365582,414383.582000000,3,0.999536395,0.015885258,0.025912035,-0.001781642,1,0
1779390365602,414383.602000000,3,0.999536276,0.015927706,0.025891375,-0.001775196,1,0
1779390365612,414383.612000000,3,0.999536097,0.015925052,0.025899561,-0.001777748,1,0
1779390365632,414383.632000000,3,0.999537051,0.015876485,0.025892755,-0.001782113,1,0
1779390365642,414383.642000000,3,0.999537289,0.015879629,0.025882786,-0.001778092,1,0
1779390365662,414383.662000000,3,0.999536812,0.015893171,0.025893515,-0.001770908,1,0
1779390365672,414383.672000000,3,0.999536932,0.015869029,0.025902985,-0.001774683,1,0
1779390365692,414383.692000000,3,0.999537706,0.015857175,0.025879161,-0.001772992,1,0
1779390365702,414383.702000000,3,0.999537468,0.015883353,0.025872609,-0.001768185,1,0
1779390365712,414383.712000000,3,0.999537110,0.015897978,0.025878135,-0.001768299,1,0
1779390365732,414383.732000000,3,0.999537289,0.015875721,0.025883874,-0.001774388,1,0
1779390365742,414383.742000000,3,0.999537587,0.015869701,0.025877599,-0.001776741,1,0
1779390365762,414383.762000000,3,0.999537230,0.015872916,0.025888091,-0.001781430,1,0
1779390365772,414383.772000000,3,0.999537408,0.015851051,0.025894381,-0.001788759,1,0
1779390365792,414383.792000000,3,0.999538362,0.015834708,0.025867401,-0.001787402,1,0
1779390365802,414383.802000000,3,0.999538183,0.015861249,0.025857961,-0.001781975,1,0
1779390365822,414383.822000000,3,0.999537587,0.015862508,0.025880869,-0.001789042,1,0
1779390365832,414383.832000000,3,0.999537826,0.015845798,0.025882218,-0.001792307,1,0
1779390365852,414383.852000000,3,0.999537885,0.015869766,0.025864506,-0.001781755,1,0
1779390365862,414383.862000000,3,0.999537647,0.015883943,0.025864998,-0.001782344,1,0
1779390365872,414383.872000000,3,0.999537706,0.015873756,0.025869131,-0.001786526,1,0
1779390365892,414383.892000000,3,0.999538362,0.015840277,0.025863172,-0.001792021,1,0
1779390365902,414383.902000000,3,0.999538124,0.015854560,0.025863871,-0.001792540,1,0
1779390365912,414383.912000000,3,0.999537647,0.015865095,0.025875721,-0.001792451,1,0
1779390365922,414383.922000000,3,0.999537408,0.015855078,0.025890578,-0.001799282,1,0
1779390365932,414383.932000000,3,0.999537647,0.015837910,0.025891436,-0.001804023,1,0
1779390365952,414383.952000000,3,0.999537945,0.015866270,0.025863325,-0.001804480,1,0
1779390365962,414383.962000000,3,0.999537528,0.015894497,0.025861776,-0.001807171,1,0
1779390365982,414383.982000000,3,0.999537647,0.015885251,0.025862848,-0.001812676,1,0
1779390365992,414383.992000000,3,0.999537587,0.015907258,0.025851099,-0.001811159,1,0
1779390366002,414384.002000000,3,0.999537408,0.015949531,0.025833251,-0.001808941,1,0
1779390366022,414384.022000000,3,0.999536872,0.015952466,0.025851293,-0.001818250,1,0
1779390366032,414384.032000000,3,0.999537885,0.015834862,0.025883734,-0.001817036,1,0
1779390366052,414384.052000000,3,0.999538481,0.015815541,0.025873898,-0.001813108,1,0
1779390366062,414384.062000000,3,0.999537647,0.015870256,0.025870938,-0.001807269,1,0
1779390366082,414384.082000000,3,0.999537706,0.015829699,0.025893439,-0.001807827,1,0
1779390366092,414384.092000000,3,0.999538362,0.015806319,0.025882753,-0.001808043,1,0
