unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390365472,414383.472000000,0.060325649,-0.029923394,-0.985382795,0.000613521,-0.000321138,-0.009868054,0.083325490,0.017566197,0.125225157,1,-0.005265329,0.002192510,-0.000984545,1,-0.508336365,0.310848832,9.788531303,1,0
1779390365482,414383.482000000,0.050817620,-0.021729911,-0.987516761,0.000511640,-0.000216155,-0.009848226,-0.010094861,0.097460300,0.104303166,1,-0.003513818,0.000650730,0.000143320,1,-0.508465648,0.310448676,9.788537979,1,0
1779390365502,414383.502000000,0.050746243,-0.037272193,-1.005098343,0.000486907,-0.000356717,-0.010057976,-0.010716625,-0.054733288,-0.068116792,1,0.003370939,0.002028228,0.001155043,1,-0.508429348,0.310888976,9.788525581,1,0
1779390365512,414383.512000000,0.057048358,-0.039247092,-0.994534194,0.000570958,-0.000395756,-0.009955394,0.050940178,-0.073829524,0.035466097,1,0.000948664,0.001453281,-0.000154309,1,-0.508558571,0.311082304,9.788512230,1,0
1779390365532,414383.532000000,0.043982260,-0.022197830,-0.987908423,0.000454526,-0.000214433,-0.009856481,-0.077215716,0.092905559,0.100456730,1,-0.001558831,-0.000986938,-0.000075921,1,-0.508503675,0.310543209,9.788532257,1,0
1779390365542,414383.542000000,0.042799871,-0.029162228,-1.002098441,0.000428386,-0.000270235,-0.009989842,-0.088589095,0.024673460,-0.038689755,1,0.002542069,-0.002385891,0.001009324,1,-0.508237183,0.310738087,9.788539886,1,0
1779390365552,414383.552000000,0.053830810,-0.037146449,-1.010075927,0.000525604,-0.000359962,-0.010102997,0.019715026,-0.053281695,-0.116927065,1,0.004196054,0.000543783,-0.000100120,1,-0.508201957,0.311131120,9.788529396,1,0
1779390365562,414383.562000000,0.062650219,-0.035368443,-0.996240556,0.000630811,-0.000370358,-0.009995217,0.105973788,-0.035659835,0.018733939,1,-0.000276207,0.002977288,-0.001271746,1,-0.508508980,0.311175466,9.788512230,1,0
1779390365572,414383.572000000,0.057313308,-0.025837220,-0.984533429,0.000593173,-0.000276152,-0.009854852,0.053464308,0.057504542,0.133542076,1,-0.005172990,0.000681875,-0.001227018,1,-0.508609772,0.310717970,9.788521767,1,0
1779390365582,414383.582000000,0.044319164,-0.021419797,-0.986608505,0.000463952,-0.000205251,-0.009851060,-0.073940508,0.100487642,0.113204435,1,-0.001045840,-0.000722381,0.000546137,1,-0.508540034,0.310512424,9.788531303,1,0
1779390365602,414383.602000000,0.048162773,-0.039645545,-1.004143000,0.000458667,-0.000389488,-0.010053251,-0.035842285,-0.077590041,-0.058750603,1,0.004774148,-0.000754268,-0.000122539,1,-0.508134365,0.311348528,9.788526535,1,0
1779390365612,414383.612000000,0.059934169,-0.038698416,-0.995187044,0.000586955,-0.000402070,-0.009982529,0.079513371,-0.068175882,0.029070351,1,-0.000960709,0.001756328,-0.000698591,1,-0.508295476,0.311294883,9.788519859,1,0
1779390365632,414383.632000000,0.049699564,-0.022897990,-0.985322535,0.000504380,-0.000227749,-0.009842016,-0.020818632,0.085874826,0.125837743,1,-0.002557669,-0.001079984,0.000162404,1,-0.508162200,0.310341090,9.788557053,1,0
1779390365642,414383.642000000,0.045968555,-0.028560426,-0.999410391,0.000450025,-0.000272418,-0.009979777,-0.057240825,0.030299492,-0.012306655,1,0.000719930,-0.002281903,0.000981862,1,-0.507965744,0.310405195,9.788564682,1,0
1779390365662,414383.662000000,0.063115016,-0.041359592,-0.993821442,0.000625313,-0.000420000,-0.009951322,0.110839859,-0.094873190,0.042487584,1,-0.001669980,0.002148137,-0.000042977,1,-0.508174062,0.310673743,9.788545609,1,0
1779390365672,414383.672000000,0.057709940,-0.030741643,-0.984039187,0.000591652,-0.000326327,-0.009840800,0.057639472,0.008902608,0.138420179,1,-0.005628665,0.001843471,-0.000906599,1,-0.508360088,0.310198307,9.788551331,1,0
1779390365692,414383.692000000,0.037016891,-0.028172839,-1.003426075,0.000370949,-0.000262098,-0.010005095,-0.144974217,0.033626378,-0.051669784,1,0.001889470,-0.002971834,0.000843740,1,-0.507892549,0.309967816,9.788582802,1,0
1779390365702,414383.702000000,0.045874063,-0.037163600,-1.009527922,0.000441868,-0.000353529,-0.010095040,-0.057918966,-0.054129902,-0.111511089,1,0.005180368,-0.000817937,0.001005752,1,-0.507763386,0.310483605,9.788573265,1,0
1779390365712,414383.712000000,0.060179152,-0.039621007,-0.998717368,0.000593256,-0.000395566,-0.010008669,0.082326546,-0.077858105,-0.005509430,1,0.002529698,0.001366827,-0.000082395,1,-0.507872045,0.310769945,9.788558006,1,0
1779390365732,414383.732000000,0.049896106,-0.023829525,-0.982947469,0.000524987,-0.000239378,-0.009821489,-0.018662233,0.076708794,0.149141923,1,-0.002103490,0.000305132,-0.000401164,1,-0.507985830,0.310330421,9.788566589,1,0
