FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estRoll,Timeseries,100Hz,,,,,,
inertial-6286.188861:estRoll:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estPitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:estPitch:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estYaw,Timeseries,100Hz,,,,,,
inertial-6286.188861:estYaw:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estRoll,inertial-6286.188861:estRoll:valid,inertial-6286.188861:estPitch,inertial-6286.188861:estPitch:valid,inertial-6286.188861:estYaw,inertial-6286.188861:estYaw:valid
1777499296026840320,0.0009275880875065923,1,-0.005323260556906462,1,-0.00114594039041549,1
1777499296036972288,0.000927675690036267,1,-0.005320478230714798,1,-0.001147070550359786,1
1777499296047092480,0.0009300775127485394,1,-0.0053187170997262,1,-0.001147943781688809,1
1777499296057193472,0.0009259895887225866,1,-0.005324049387127161,1,-0.001149166491813958,1
1777499296067274752,0.0009236130281351507,1,-0.005318169482052326,1,-0.00115183019079268,1
1777499296077336320,0.000922100676689297,1,-0.005319614429026842,1,-0.00115165940951556,1
1777499296087378432,0.0009232312440872192,1,-0.005317236296832561,1,-0.001160912564955652,1
1777499296097401088,0.0009244475513696671,1,-0.005319563206285238,1,-0.001165295368991792,1
1777499296107871232,0.00092787214089185,1,-0.005324183497577906,1,-0.001171351410448551,1
1777499296118320896,0.0009276347700506449,1,-0.005329291801899672,1,-0.001172077958472073,1
1777499296128750336,0.0009295060881413519,1,-0.005325762089341879,1,-0.001174270873889327,1
1777499296139159552,0.0009238044149242342,1,-0.005326222628355026,1,-0.001169840921647847,1
1777499296149548544,0.0009224054520018399,1,-0.005333151668310165,1,-0.001165290595963597,1
1777499296159917056,0.0009226634865626693,1,-0.0053360047750175,1,-0.001166629139333963,1
1777499296170266112,0.0009245522669516504,1,-0.005334240384399891,1,-0.001164018409326673,1
1777499296180594688,0.0009196616592817008,1,-0.005325515288859606,1,-0.001163838664069772,1
1777499296190903296,0.0009180393535643816,1,-0.005326553713530302,1,-0.001166906789876521,1
1777499296201191936,0.0009148759418167174,1,-0.005317726638168097,1,-0.00116862403228879,1
1777499296211460864,0.0009134273859672248,1,-0.005312816239893436,1,-0.001168844988569617,1
1777499296221711616,0.0009119495516642928,1,-0.005306009668856859,1,-0.001174564124085009,1
1777499296231943936,0.0009160914341919124,1,-0.005306223873049021,1,-0.001174015924334526,1
1777499296242156544,0.0009161760681308806,1,-0.0053095449693501,1,-0.001172149437479675,1
1777499296252349696,0.0009273128234781325,1,-0.00531065696850419,1,-0.001165887573733926,1
1777499296262522880,0.0009244565735571086,1,-0.005315544083714485,1,-0.001162609900347888,1
1777499296272676096,0.0009173257276415825,1,-0.005315135698765516,1,-0.001155186910182238,1
1777499296282809600,0.0009153930004686117,1,-0.005311585497111082,1,-0.001150976633653045,1
1777499296292923392,0.000916397082619369,1,-0.005306553095579147,1,-0.001147548668086529,1
1777499296303017472,0.0009230762952938676,1,-0.00530959339812398,1,-0.001141826040111482,1
1777499296313092096,0.0009238538332283497,1,-0.005309438332915306,1,-0.001138337305746973,1
1777499296323147008,0.000919403915759176,1,-0.005307028535753489,1,-0.001134315622039139,1
1777499296333182208,0.0009190401178784668,1,-0.005311618559062481,1,-0.001133680925704539,1
