FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/29/26 21:38:25.022139392
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
1777498705981570560,1.000000,0.000687,0.000003,0.000246
1777498705991689216,1.000000,0.000739,-0.000006,0.000356
1777498706001788160,1.000000,0.000789,-0.000000,0.000458
1777498706011866880,1.000000,0.000806,-0.000009,0.000553
1777498706021926144,1.000000,0.000837,0.000008,0.000630
1777498706031965696,0.999999,0.000853,0.000026,0.000680
1777498706041985280,0.999999,0.000862,0.000025,0.000708
1777498706051985152,0.999999,0.000859,0.000022,0.000708
1777498706061965056,0.999999,0.000850,0.000009,0.000683
1777498706071925504,1.000000,0.000823,-0.000004,0.000631
1777498706081866240,1.000000,0.000791,-0.000019,0.000557
1777498706091787520,1.000000,0.000761,-0.000029,0.000477
1777498706101689088,1.000000,0.000732,-0.000034,0.000398
1777498706111571200,1.000000,0.000700,-0.000033,0.000321
1777498706121433600,1.000000,0.000673,-0.000037,0.000252
1777498706131276800,1.000000,0.000659,-0.000030,0.000196
1777498706141100288,1.000000,0.000648,-0.000036,0.000164
1777498706150905344,1.000000,0.000642,-0.000034,0.000153
1777498706160691968,1.000000,0.000655,-0.000037,0.000170
1777498706170461184,1.000000,0.000674,-0.000030,0.000210
1777498706180685312,1.000000,0.000697,-0.000021,0.000274
1777498706190889472,1.000000,0.000725,-0.000010,0.000357
1777498706201073152,1.000000,0.000756,0.000007,0.000453
1777498706211237376,1.000000,0.000794,0.000023,0.000557
1777498706221381632,0.999999,0.000829,0.000037,0.000662
1777498706231505920,0.999999,0.000855,0.000048,0.000763
1777498706241610752,0.999999,0.000875,0.000052,0.000851
1777498706251695104,0.999999,0.000885,0.000051,0.000913
1777498706261760000,0.999999,0.000879,0.000045,0.000941
1777498706271804672,0.999999,0.000861,0.000043,0.000937
1777498706281829888,0.999999,0.000836,0.000033,0.000905
1777498706291835136,0.999999,0.000807,0.000028,0.000848
1777498706301820672,0.999999,0.000770,0.000018,0.000774
1777498706311787008,1.000000,0.000720,0.000009,0.000691
1777498706321733376,1.000000,0.000660,0.000001,0.000603
1777498706331660288,1.000000,0.000621,-0.000004,0.000513
1777498706341567232,1.000000,0.000587,-0.000013,0.000426
1777498706351454464,1.000000,0.000543,-0.000009,0.000356
1777498706361322496,1.000000,0.000509,-0.000025,0.000306
1777498706371170816,1.000000,0.000473,-0.000013,0.000269
1777498706380999680,1.000000,0.000447,-0.000014,0.000241
1777498706390812416,1.000000,0.000424,-0.000017,0.000220
1777498706400605696,1.000000,0.000413,-0.000012,0.000211
1777498706410379776,1.000000,0.000401,0.000000,0.000216
1777498706420374272,1.000000,0.000385,0.000003,0.000238
1777498706430588672,1.000000,0.000380,0.000011,0.000270
1777498706440783104,1.000000,0.000388,0.000014,0.000313
1777498706450957056,1.000000,0.000390,0.000023,0.000366
1777498706461111296,1.000000,0.000383,0.000032,0.000430
1777498706471245312,1.000000,0.000377,0.000036,0.000482
1777498706481359360,1.000000,0.000367,0.000039,0.000513
