FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/29/26 21:38:25.023772416
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1777498705023772416,-0.005573662463575602,1,-0.01258624624460936,1,0.04145289957523346,1
1777498705033398784,-0.006126764230430126,1,-0.02458438463509083,1,0.04082994908094406,1
1777498705043006464,-0.008698239922523499,1,-0.03114032186567783,1,0.04258472844958305,1
1777498705052599808,-0.007463453803211451,1,-0.02968906611204147,1,0.04130386933684349,1
1777498705062174720,-0.005899216048419476,1,-0.02928183972835541,1,0.04187881201505661,1
1777498705071963392,-0.005411455407738686,1,-0.02301025949418545,1,0.04602635651826859,1
1777498705081965312,-0.006123249884694815,1,-0.0136137967929244,1,0.04188495874404907,1
1777498705091947520,-0.005910645704716444,1,-0.002504437696188688,1,0.04738723486661911,1
1777498705101910272,-0.002301543718203902,1,0.006750405300408602,1,0.04304227605462074,1
1777498705111853568,0.000377446471247822,1,0.009056722745299339,1,0.04045537859201431,1
1777498705121777408,0.0005749754491262138,1,0.012045718729496,1,0.03911170363426208,1
1777498705131681536,0.002478772541508079,1,0.0109691433608532,1,0.03709694370627403,1
1777498705141566464,0.002216440392658114,1,0.004335273988544941,1,0.04491949826478958,1
1777498705151431936,0.004539846442639828,1,0.002794439205899835,1,0.03958373516798019,1
1777498705161277696,0.004301278386265039,1,-0.001800610567443073,1,0.04823361709713936,1
1777498705171103744,0.006177532020956278,1,-0.002738361479714513,1,0.04311376810073853,1
1777498705180910848,0.004858371336013079,1,0.0003726087452378124,1,0.04354530945420265,1
1777498705190698752,0.004753286484628916,1,0.001174644101411104,1,0.04183578863739967,1
1777498705200466944,0.003438729560002685,1,0.002900272840633988,1,0.04132585972547531,1
1777498705210215936,0.001431059325113893,1,0.003156395629048347,1,0.04731949046254158,1
1777498705219945728,0.002101993421092629,1,0.002061084378510714,1,0.04729305580258369,1
1777498705229656320,0.0009616238530725241,1,0.002500994829460979,1,0.04567944258451462,1
1777498705239347968,0.002652983879670501,1,0.002002677414566278,1,0.04388459771871567,1
1777498705249020416,0.001618777867406607,1,2.032597694778815e-05,1,0.04036660864949226,1
1777498705258673920,0.002935060299932957,1,-0.00320173054933548,1,0.04401146993041039,1
1777498705268309248,-0.0002091478381771594,1,-0.005073289852589369,1,0.03881916776299477,1
1777498705277925376,-0.003225290682166815,1,-0.004879696760326624,1,0.04497303813695908,1
1777498705287522560,-0.004527604673057795,1,-0.00827485416084528,1,0.03966180980205536,1
1777498705297100800,-0.005850701127201319,1,-0.00779089005663991,1,0.04026039317250252,1
1777498705306660096,-0.004393987357616425,1,-0.007012566085904837,1,0.04129364714026451,1
1777498705316681728,-0.001833644695580006,1,-0.002374849747866392,1,0.04087970033288002,1
1777498705326683904,-0.00169723539147526,1,0.004231338854879141,1,0.04170997440814972,1
1777498705336666624,-0.0001051892104442231,1,0.009138076566159725,1,0.03815070912241936,1
1777498705346629376,0.0002272725105285645,1,0.01154272817075253,1,0.04465100914239883,1
1777498705356572672,0.005882443860173225,1,0.01636259071528912,1,0.04298342019319534,1
1777498705366496000,0.009354491718113422,1,0.01826603524386883,1,0.0441862978041172,1
1777498705376400128,0.00870885793119669,1,0.01857964694499969,1,0.0407942458987236,1
1777498705386284544,0.007190147414803505,1,0.01537139061838388,1,0.03964646905660629,1
1777498705396149248,0.009433753788471222,1,0.00534501951187849,1,0.04468978196382523,1
1777498705405994752,0.01012442540377378,1,-0.0007822637562640011,1,0.04392609745264053,1
1777498705415822080,0.003374031279236078,1,-0.006094872485846281,1,0.04225380718708038,1
1777498705425630208,-0.003232670482248068,1,-0.01091459114104509,1,0.03593099862337112,1
1777498705435418880,-0.006695476360619068,1,-0.01654510386288166,1,0.03867991268634796,1
1777498705445188096,-0.00435916893184185,1,-0.01879540085792542,1,0.04355708137154579,1
1777498705454938112,-0.003304586512967944,1,-0.01651750318706036,1,0.03997587040066719,1
1777498705464668928,-0.005036809016019106,1,-0.01348406448960304,1,0.04532763361930847,1
1777498705474380288,0.0001031943247653544,1,-0.003588449209928513,1,0.0434444323182106,1
1777498705484072448,0.003659657202661037,1,-0.0001797185395844281,1,0.04667957127094269,1
1777498705493745664,0.008812186308205128,1,-0.004568168427795172,1,0.04682526737451553,1
1777498705503400192,0.0103564765304327,1,-0.0005026882281526923,1,0.04549716785550117,1
1777498705513035264,0.00616032537072897,1,-0.002525431336835027,1,0.04162035137414932,1
1777498705522651392,0.005600804463028908,1,-0.01751705631613731,1,0.03884279355406761,1
1777498705532248576,0.008967063389718533,1,-0.03417045250535011,1,0.0538145937025547,1
1777498705541826816,0.007962376810610294,1,-0.05015301704406738,1,0.05094818025827408,1
1777498705551622912,-0.00252852332778275,1,-0.05443111807107925,1,0.04011384770274162,1
1777498705561636352,-0.02150361239910126,1,-0.05691166594624519,1,0.03853611648082733,1
1777498705571630336,-0.032020203769207,1,-0.05384514108300209,1,0.04116330668330193,1
1777498705581604608,-0.03505206480622292,1,-0.04287952929735184,1,0.03971632942557335,1
1777498705591559168,-0.03648566827178001,1,-0.03678657859563828,1,0.0412210114300251,1
1777498705601494528,-0.03674240410327911,1,-0.01809448003768921,1,0.03274334967136383,1
1777498705611411968,-0.03571755811572075,1,0.003014979418367147,1,0.02781598083674908,1
1777498705621309696,-0.02597020193934441,1,0.01287209242582321,1,0.03532340750098228,1
1777498705631187968,-0.006737683899700642,1,0.0263116080313921,1,0.04410575330257416,1
1777498705641046784,0.005597160197794437,1,0.04995174333453178,1,0.04397480562329292,1
