FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/29/26 21:33:22.061428736
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:roll,Timeseries,100Hz,,,,,,
inertial-6286.188861:pitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:yaw,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:roll,inertial-6286.188861:pitch,inertial-6286.188861:yaw
1777498402061428736,0.0008859829395078123,4.525623080553487e-05,-0.0004529983270913363
1777498402071553792,0.0008820571238175035,3.867334817186929e-05,-0.0004634979122783989
1777498402081658880,0.0008805813849903643,3.502435720292851e-05,-0.0004692533984780312
1777498402091744512,0.0008724287035875022,3.379110057721846e-05,-0.0004732792149297893
1777498402101810944,0.0008672167314216495,3.798718535108492e-05,-0.0004748544306494296
1777498402111857152,0.0008690558606758714,2.653712544997688e-05,-0.0004773090477101505
1777498402121883136,0.0008611879893578589,3.448510324233212e-05,-0.000473086052807048
1777498402131889664,0.0008640647283755243,3.38561694661621e-05,-0.0004733949317596853
1777498402141876736,0.0008596383268013597,3.472225944278762e-05,-0.0004752731474582106
1777498402151844352,0.0008603293099440634,3.197203113813885e-05,-0.0004681718128267676
1777498402161792000,0.00086009077494964,3.608802217058837e-05,-0.000465540011646226
1777498402171720448,0.0008620949229225516,3.877376366290264e-05,-0.000464496755739674
1777498402181628928,0.0008667640504427254,3.900203591911122e-05,-0.0004597078950610012
1777498402191517440,0.0008671763935126364,4.055132740177214e-05,-0.000461607938632369
1777498402201387008,0.0008687325171194971,3.791892595472746e-05,-0.0004651703929994255
1777498402211237120,0.0008728519314900041,3.574199945433065e-05,-0.0004625297733582556
1777498402221073920,0.0008766800747253001,4.371098839328624e-05,-0.0004596755316015333
1777498402230891264,0.0008763952064327896,4.540107693173923e-05,-0.000460511539131403
1777498402240689408,0.000872753735166043,4.786620775121264e-05,-0.0004593768680933863
1777498402250468352,0.000872539181727916,4.608251038007438e-05,-0.000455054163467139
1777498402260465152,0.000878426362760365,4.452903522178531e-05,-0.0004560309462249279
