FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estRoll,Timeseries,100Hz,,,,,,
inertial-6286.188861:estRoll:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estPitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:estPitch:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estYaw,Timeseries,100Hz,,,,,,
inertial-6286.188861:estYaw:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estRoll,inertial-6286.188861:estRoll:valid,inertial-6286.188861:estPitch,inertial-6286.188861:estPitch:valid,inertial-6286.188861:estYaw,inertial-6286.188861:estYaw:valid
1777498705023772416,-0.0001099349901778623,1,-0.006299498025327921,1,3.130736827850342,1
1777498705033398784,-0.0001069643767550588,1,-0.00629504257813096,1,3.13074254989624,1
1777498705043006464,-0.000100376179034356,1,-0.00629748497158289,1,3.130742788314819,1
1777498705052599808,-0.0001163452761829831,1,-0.00629084650427103,1,3.130732297897339,1
1777498705062174720,-0.0001196331577375531,1,-0.006285902112722397,1,3.130722284317017,1
1777498705071963392,-0.0001195794247905724,1,-0.006291728001087904,1,3.130709171295166,1
1777498705081965312,-0.000128113737446256,1,-0.00628367206081748,1,3.130696773529053,1
1777498705091947520,-0.0001326601341133937,1,-0.006283129565417767,1,3.130685091018677,1
1777498705101910272,-0.0001308941573370248,1,-0.006291072349995375,1,3.130676746368408,1
1777498705111853568,-0.000135559996124357,1,-0.006282775662839413,1,3.130672931671143,1
1777498705121777408,-0.0001403264468535781,1,-0.006279062014073133,1,3.130670070648193,1
1777498705131681536,-0.000136129921884276,1,-0.00627838121727109,1,3.130670309066772,1
1777498705141566464,-0.0001373842096654698,1,-0.00627964036539197,1,3.130671501159668,1
1777498705151431936,-0.0001358263107249513,1,-0.006277341861277819,1,3.13067102432251,1
1777498705161277696,-0.0001354764099232852,1,-0.006279350258409977,1,3.130673408508301,1
1777498705171103744,-0.0001361456379527226,1,-0.006278383545577526,1,3.130668163299561,1
1777498705180910848,-0.0001402335037710145,1,-0.00628131115809083,1,3.130666255950928,1
1777498705190698752,-0.0001478520425735041,1,-0.006293028593063354,1,3.130662202835083,1
1777498705200466944,-0.000150594802107662,1,-0.006290850695222616,1,3.130662202835083,1
1777498705210215936,-0.0001567228027852252,1,-0.006291940808296204,1,3.130659103393555,1
1777498705219945728,-0.0001652466598898172,1,-0.006292323116213083,1,3.130661010742188,1
1777498705229656320,-0.0001690218632575125,1,-0.006294743157923222,1,3.130659580230713,1
1777498705239347968,-0.000170200175489299,1,-0.006290040910243988,1,3.130660057067871,1
1777498705249020416,-0.0001615694345673546,1,-0.006286123767495155,1,3.130666017532349,1
1777498705258673920,-0.0001615894725546241,1,-0.006296188104897738,1,3.130670785903931,1
1777498705268309248,-0.0001613540080143139,1,-0.00629202788695693,1,3.130671501159668,1
1777498705277925376,-0.0001631609484320506,1,-0.006285886280238628,1,3.130674362182617,1
1777498705287522560,-0.0001618552050786093,1,-0.006288731936365366,1,3.130677223205566,1
1777498705297100800,-0.0001622476702323183,1,-0.006287526804953814,1,3.130675792694092,1
1777498705306660096,-0.0001593141496414319,1,-0.006293430924415588,1,3.130670070648193,1
1777498705316681728,-0.0001633984793443233,1,-0.006291048601269722,1,3.13066554069519,1
1777498705326683904,-0.0001726834307191893,1,-0.006295293103903532,1,3.130661010742188,1
1777498705336666624,-0.0001703623274806887,1,-0.006291286088526249,1,3.130655288696289,1
1777498705346629376,-0.0001700863795122132,1,-0.006294220220297575,1,3.130654096603394,1
1777498705356572672,-0.0001713258388917893,1,-0.006290223449468613,1,3.130657911300659,1
1777498705366496000,-0.000174440021510236,1,-0.006291766185313463,1,3.130659580230713,1
1777498705376400128,-0.0001676792744547129,1,-0.006298761814832687,1,3.130661725997925,1
1777498705386284544,-0.0001623385905986652,1,-0.006297040730714798,1,3.130676031112671,1
1777498705396149248,-0.000160595853230916,1,-0.006283601745963097,1,3.130684614181519,1
1777498705405994752,-0.000161276213475503,1,-0.00627262145280838,1,3.130698680877686,1
1777498705415822080,-0.0001605048018973321,1,-0.006260793190449476,1,3.130708456039429,1
