time,"Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Instant engine power (based on fuel consumption) (hp)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
11:37:00.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:37:08.516,,,,,,,,,,0.49650545149566677,,,,,,,,1,,,,,,,,,1.9424275856682147,1.48,14.5695816,3.2541059999999997,1.776,,17.647058823529413,,0,-12.100222292914866,-77.02361203859493,
11:37:08.670,,,21.40595122480863,21.40595122480863,21.40595122480863,,0,,,0.5009498788205629,0,1.326248,1.326248,1.326248,,,,1,2.1333590692196606E-05,0.283896,0.283896,0.283896,2.1546926599118574E-05,0.28673496,0.28673496,0.28673496,1.9598150649242227,1.48,14.60769135,3.268746,1.776,,17.647058823529413,,0,-12.100222184465778,-77.02361210097038,
11:37:08.825,,,21.407534639072026,21.407534639072026,21.407534639072026,,0,,,0.49964295945959336,0,1.326248,1.326248,1.326248,,,,1,4.2755324572980505E-05,0.283917,0.283917,0.283917,4.3182877818710314E-05,0.28675617,0.28675617,0.28675617,1.954702137742167,1.48,14.627418749999999,3.278506,1.776,,17.647058823529413,,0,-12.100222075840161,-77.02361216344735,
11:37:08.972,,,21.40904265265621,21.40904265265621,21.40904265265621,,0,,,0.4989691114836172,0,1.326248,1.326248,1.326248,,,,1,6.306762250806444E-05,0.283937,0.283937,0.283937,6.369829873314509E-05,0.28677637,0.28677637,0.28677637,1.9520659111042924,1.48,14.6511813,3.283386,1.776,,17.647058823529413,,0,-12.100221963567343,-77.02361222802203,
11:37:09.115,,,21.4105506662404,21.4105506662404,21.4105506662404,,0,,,0.49815984032538746,0,1.326248,1.326248,1.326248,,,,1,8.292942139511774E-05,0.283957,0.283957,0.283957,8.375871560906892E-05,0.28679657,0.28679657,0.28679657,1.9488998821769243,1.48,14.677633949999999,3.293146,1.776,,17.647058823529413,0,0,-12.10022175435077,-77.02361234744957,
11:37:09.274,,,21.412209481183005,21.412209481183005,21.412209481183005,,0,,,0.4972620356829585,0,1.326248,1.326248,1.326248,,,,1,0.00010491229859158402,0.283979,0.283979,0.283979,0.00010596142157749986,0.28681879,0.28681879,0.28681879,1.9453874927384165,1.48,14.6915328,3.298026,1.776,,17.647058823529413,0,0,-12.100221661563864,-77.02361240081433,
11:37:09.422,,,21.41371749476719,21.41371749476719,21.41371749476719,,0,,,0.4967916034592594,0,1.326248,1.326248,1.326248,,,,1,0.00012527112209621325,0.283999,0.283999,0.283999,0.00012652383331717538,0.28683899,0.28683899,0.28683899,1.9435470687798324,1.48,14.677633949999999,3.293146,1.776,,17.647058823529413,0,0,-12.100221578672384,-77.02361244848787,
11:37:09.566,,,21.415225508351377,21.415225508351377,21.415225508351377,,0,,,0.4972620356829585,0,1.326248,1.326248,1.326248,,,,1,0.0001451294472452241,0.28401899999999997,0.28401899999999997,0.28401899999999997,0.00014658074171767634,0.28685919,0.28685919,0.28685919,1.9453874927384165,1.48,14.664631799999999,3.288266,1.776,,17.647058823529413,0,0,-12.100221495721332,-77.0236124961957,
11:37:09.720,,,21.41688432329398,21.41688432329398,21.41688432329398,,0,,,0.5044286399316622,0,1.326248,1.326248,1.326248,,,,1,0.0001666576348950142,0.284041,0.284041,0.284041,0.00016832421124396435,0.28688141,0.28688141,0.28688141,1.9734246668445923,1.5,14.6511813,3.283386,1.7999999999999998,,17.647058823529413,0,0,-12.100221415935513,-77.02361254208311,
11:37:09.881,,,21.418618538915794,21.418618538915794,21.418618538915794,,0,,,0.5048917300595143,0,1.326248,1.326248,1.326248,,,,1,0.00018929737276445065,0.284064,0.284064,0.284064,0.00019119034649209515,0.28690464,0.28690464,0.28690464,1.9752363670712072,1.5,14.63817915,3.278506,1.7999999999999998,,17.647058823529413,0,0,-12.100221293915897,-77.02361261226052,
11:37:10.014,,,,,,,0,,,,0,1.326248,1.326248,1.326248,,,,,,,,,,,,,,,,,,,,0,0,-12.100221238977491,-77.02361264385736,
11:37:10.200,,,21.42201156948022,21.42201156948022,21.42201156948022,,0,,,0.5053401928048273,0,1.326248,1.326248,1.326248,,,,1,0.00023402395236308242,0.284109,0.284109,0.284109,0.00023636419188671325,0.28695009,0.28695009,0.28695009,1.976990842082542,1.5,14.59872435,3.2638659999999997,1.7999999999999998,,17.647058823529413,0,0,-12.100221192116408,-77.02361267080869,
11:37:10.349,,,21.423594983743612,21.423594983743612,21.423594983743612,,0,,,0.5067059351643011,0,1.326248,1.326248,1.326248,,,,1,0.00025504423990359233,0.28413,0.28413,0.28413,0.0002575946823026283,0.2869713,0.2869713,0.2869713,1.9823338964759352,1.5,14.57630685,3.2541059999999997,1.7999999999999998,,17.647058823529413,0,0,-12.100221145776981,-77.02361269745998,
