Time,reference_time,gps_timestamp,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,scaledMagX,scaledMagY,scaledMagZ,estGyroBiasX,estGyroBiasY,estGyroBiasZ,estGyroBias:valid,flagStop
1777416742977415888,1557514000000,  1557.514, 0.000048, 0.000009,-0.009956,-0.000010, 0.000036, 0.000186,-0.084541,-0.025084, 0.042796,1,-0.001341, 0.002894, 0.018569,1, 0.004764, 0.000999,-0.995571,-0.001211, 0.003210, 0.018586, 0.020232,-0.113828,-0.151792,-0.000000, 0.000000,-0.000000,1,0
1777416742987628904,1557704000000,  1582.159, 0.000047, 0.000013,-0.009957,-0.000015, 0.000033, 0.000187,-0.524305,-0.050960, 0.022096,1,-0.001202, 0.003837, 0.018948,1, 0.004656, 0.001117,-0.995922,-0.001328, 0.003225, 0.018542, 0.021645,-0.113890,-0.149897,-0.000000, 0.000000,-0.000000,1,0
1777416742997720073,1557704000000,  1582.159, 0.000047, 0.000013,-0.009957,-0.000015, 0.000033, 0.000187,-0.524305,-0.050960, 0.022096,1,-0.001202, 0.003837, 0.018948,1, 0.004656, 0.001117,-0.995922,-0.001328, 0.003225, 0.018542, 0.021645,-0.113890,-0.149897,-0.000000, 0.000000,-0.000000,1,0
1777416743007370244,1582174000000,  1582.179, 0.000057, 0.000025,-0.009959,-0.000011, 0.000040, 0.000175,-0.521201,-0.026400, 0.022379,1,-0.001121, 0.003945, 0.018014,1, 0.005846, 0.000960,-0.995969,-0.001121, 0.003945, 0.018014, 0.021000,-0.113245,-0.149619,-0.000000, 0.000000,-0.000000,1,0
1777416743017455747,1582174000000,  1582.179, 0.000057, 0.000025,-0.009959,-0.000011, 0.000040, 0.000175,-0.521201,-0.026400, 0.022379,1,-0.001121, 0.003945, 0.018014,1, 0.005846, 0.000960,-0.995969,-0.001121, 0.003945, 0.018014, 0.021000,-0.113245,-0.149619,-0.000000, 0.000000,-0.000000,1,0
1777416743027067586,1582194000000,  1582.199, 0.000048, 0.000036,-0.009954,-0.000015, 0.000031, 0.000184,-0.528272,-0.007802, 0.025471,1,-0.001338, 0.003271, 0.018241,1, 0.005195, 0.002859,-0.995650,-0.001339, 0.003271, 0.018241, 0.021252,-0.112710,-0.149521,-0.000000, 0.000000,-0.000000,1,0
1777416743037153255,1582194000000,  1582.199, 0.000048, 0.000036,-0.009954,-0.000015, 0.000031, 0.000184,-0.528272,-0.007802, 0.025471,1,-0.001338, 0.003271, 0.018241,1, 0.005195, 0.002859,-0.995650,-0.001339, 0.003271, 0.018241, 0.021252,-0.112710,-0.149521,-0.000000, 0.000000,-0.000000,1,0
1777416743056886318,1582214000000,  1582.219, 0.000031, 0.000011,-0.009955,-0.000009, 0.000036, 0.000198,-0.542092,-0.016094, 0.024431,1,-0.001117, 0.003430, 0.019093,1, 0.003853, 0.002016,-0.995752,-0.001117, 0.003430, 0.019093, 0.020276,-0.112789,-0.150924,-0.000000, 0.000000,-0.000000,1,0
1777416743066629595,1582234000000,  1582.239, 0.000034,-0.000001,-0.009955,-0.000013, 0.000037, 0.000190,-0.547796,-0.029763, 0.024504,1,-0.001437, 0.003399, 0.019187,1, 0.003338, 0.000628,-0.995741,-0.001438, 0.003399, 0.019187, 0.019987,-0.112860,-0.151652,-0.000000, 0.000000,-0.000000,1,0
1777416743076714654,1582234000000,  1582.239, 0.000034,-0.000001,-0.009955,-0.000013, 0.000037, 0.000190,-0.547796,-0.029763, 0.024504,1,-0.001437, 0.003399, 0.019187,1, 0.003338, 0.000628,-0.995741,-0.001438, 0.003399, 0.019187, 0.019987,-0.112860,-0.151652,-0.000000, 0.000000,-0.000000,1,0
1777416743086303900,1582254000000,  1582.259, 0.000036,-0.000001,-0.009960,-0.000010, 0.000028, 0.000193,-0.546862,-0.035504, 0.022688,1,-0.001324, 0.003195, 0.019121,1, 0.003502, 0.000049,-0.995922,-0.001324, 0.003195, 0.019121, 0.020490,-0.113107,-0.151106,-0.000000, 0.000000,-0.000000,1,0
1777416743096389274,1582254000000,  1582.259, 0.000036,-0.000001,-0.009960,-0.000010, 0.000028, 0.000193,-0.546862,-0.035504, 0.022688,1,-0.001324, 0.003195, 0.019121,1, 0.003502, 0.000049,-0.995922,-0.001324, 0.003195, 0.019121, 0.020490,-0.113107,-0.151106,-0.000000, 0.000000,-0.000000,1,0
1777416743111947000,1582274000000,  1582.279, 0.000048, 0.000019,-0.009960,-0.000013, 0.000025, 0.000186,-0.540696,-0.024879, 0.021938,1,-0.001455, 0.002967, 0.018909,1, 0.004199, 0.001139,-0.995994,-0.001455, 0.002967, 0.018909, 0.021340,-0.113074,-0.149444,-0.000000, 0.000000,-0.000000,1,0
1777416743121655798,1582294000000,  1582.299, 0.000057, 0.000022,-0.009952,-0.000016, 0.000038, 0.000195,-0.525815,-0.017038, 0.026213,1,-0.001619, 0.003375, 0.019162,1, 0.005079, 0.001917,-0.995596,-0.001619, 0.003375, 0.019162, 0.020744,-0.113176,-0.149436,-0.000000, 0.000000,-0.000000,1,0
1777416743131742375,1582294000000,  1582.299, 0.000057, 0.000022,-0.009952,-0.000016, 0.000038, 0.000195,-0.525815,-0.017038, 0.026213,1,-0.001619, 0.003375, 0.019162,1, 0.005079, 0.001917,-0.995596,-0.001619, 0.003375, 0.019162, 0.020744,-0.113176,-0.149436,-0.000000, 0.000000,-0.000000,1,0
1777416743141376231,1582314000000,  1582.314, 0.000048,-0.000002,-0.009959,-0.000009, 0.000028, 0.000197,-0.519993,-0.029245, 0.023691,1,-0.001128, 0.002863, 0.019477,1, 0.005217, 0.000651,-0.995880,-0.001128, 0.002863, 0.019477, 0.020834,-0.112714,-0.150807,-0.000000, 0.000000,-0.000000,1,0
1777416743151461716,1582314000000,  1582.314, 0.000048,-0.000002,-0.009959,-0.000009, 0.000028, 0.000197,-0.519993,-0.029245, 0.023691,1,-0.001128, 0.002863, 0.019477,1, 0.005217, 0.000651,-0.995880,-0.001128, 0.002863, 0.019477, 0.020834,-0.112714,-0.150807,-0.000000, 0.000000,-0.000000,1,0
1777416743161082998,1582334000000,  1582.334, 0.000031,-0.000016,-0.009956,-0.000005, 0.000035, 0.000189,-0.530373,-0.044015, 0.025191,1,-0.000963, 0.002935, 0.019066,1, 0.004060,-0.000863,-0.995733,-0.000963, 0.002935, 0.019066, 0.020139,-0.113089,-0.150704,-0.000000, 0.000000,-0.000000,1,0
1777416743171166816,1582334000000,  1582.334, 0.000031,-0.000016,-0.009956,-0.000005, 0.000035, 0.000189,-0.530373,-0.044015, 0.025191,1,-0.000963, 0.002935, 0.019066,1, 0.004060,-0.000863,-0.995733,-0.000963, 0.002935, 0.019066, 0.020139,-0.113089,-0.150704,-0.000000, 0.000000,-0.000000,1,0
1777416743190569115,1582354000000,  1582.354, 0.000035, 0.000005,-0.009949,-0.000017, 0.000040, 0.000180,-0.532753,-0.044098, 0.022532,1,-0.001335, 0.003080, 0.018879,1, 0.003671,-0.000191,-0.995524,-0.001527, 0.003449, 0.018500, 0.020394,-0.113391,-0.150970,-0.000000, 0.000000,-0.000000,1,0
1777416743200255728,1582374000000,  1582.374, 0.000036, 0.000030,-0.009953,-0.000009, 0.000026, 0.000191,-0.533870,-0.026108, 0.025675,1,-0.001452, 0.003442, 0.018289,1, 0.003720, 0.001868,-0.995554,-0.001186, 0.003019, 0.018662, 0.021434,-0.113316,-0.150544,-0.000000, 0.000000,-0.000000,1,0
1777416743210339472,1582374000000,  1582.374, 0.000036, 0.000030,-0.009953,-0.000009, 0.000026, 0.000191,-0.533870,-0.026108, 0.025675,1,-0.001452, 0.003442, 0.018289,1, 0.003720, 0.001868,-0.995554,-0.001186, 0.003019, 0.018662, 0.021434,-0.113316,-0.150544,-0.000000, 0.000000,-0.000000,1,0
1777416743220017697,1582394000000,  1582.394, 0.000044, 0.000014,-0.009957,-0.000005, 0.000032, 0.000198,-0.533390,-0.012176, 0.027926,1,-0.001171, 0.002927, 0.018739,1, 0.004126, 0.001905,-0.995602,-0.000834, 0.003032, 0.019219, 0.021840,-0.113121,-0.150149,-0.000000, 0.000000,-0.000000,1,0
1777416743230101459,1582394000000,  1582.394, 0.000044, 0.000014,-0.009957,-0.000005, 0.000032, 0.000198,-0.533390,-0.012176, 0.027926,1,-0.001171, 0.002927, 0.018739,1, 0.004126, 0.001905,-0.995602,-0.000834, 0.003032, 0.019219, 0.021840,-0.113121,-0.150149,-0.000000, 0.000000,-0.000000,1,0
1777416743249781172,1582414000000,  1582.414, 0.000044,-0.000012,-0.009960,-0.000015, 0.000027, 0.000192,-0.530663,-0.024105, 0.023657,1,-0.000954, 0.003028, 0.019024,1, 0.004340, 0.000106,-0.995898,-0.001181, 0.002905, 0.019094, 0.020603,-0.112712,-0.151106,-0.000000, 0.000000,-0.000000,1,0
