Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777416007065223024,821241000000,   821.236, 0.998943, 0.003352, 0.005024, 0.045560,1,0
1777416007084515927,846231000000,   846.231, 0.960887,-0.004675, 0.027378, 0.275544,1,0
1777416007094225671,846251000000,   846.251, 0.960834,-0.004688, 0.027410, 0.275725,1,0
1777416007104317707,846251000000,   846.251, 0.960834,-0.004688, 0.027410, 0.275725,1,0
1777416007124017304,846271000000,   846.271, 0.960779,-0.004700, 0.027441, 0.275916,1,0
1777416007143449215,846291000000,   846.286, 0.960750,-0.004706, 0.027457, 0.276013,1,0
1777416007153069940,846311000000,   846.306, 0.960695,-0.004713, 0.027484, 0.276201,1,0
1777416007163153811,846311000000,   846.306, 0.960695,-0.004713, 0.027484, 0.276201,1,0
1777416007182885828,846331000000,   846.326, 0.960642,-0.004725, 0.027509, 0.276385,1,0
1777416007192557209,846351000000,   846.346, 0.960588,-0.004740, 0.027537, 0.276567,1,0
1777416007202640173,846351000000,   846.346, 0.960588,-0.004740, 0.027537, 0.276567,1,0
1777416007212321830,846371000000,   846.366, 0.960537,-0.004754, 0.027567, 0.276743,1,0
1777416007222405275,846371000000,   846.366, 0.960537,-0.004754, 0.027567, 0.276743,1,0
1777416007232015762,846391000000,   846.386, 0.960485,-0.004777, 0.027597, 0.276919,1,0
1777416007242098966,846391000000,   846.386, 0.960485,-0.004777, 0.027597, 0.276919,1,0
1777416007261881213,846411000000,   846.406, 0.960434,-0.004794, 0.027624, 0.277093,1,0
1777416007271490959,846431000000,   846.426, 0.960401,-0.004584, 0.026984, 0.277274,1,0
1777416007281573330,846431000000,   846.426, 0.960401,-0.004584, 0.026984, 0.277274,1,0
1777416007291250377,846441000000,   846.446, 0.960347,-0.004597, 0.027016, 0.277456,1,0
1777416007301346153,846441000000,   846.446, 0.960347,-0.004597, 0.027016, 0.277456,1,0
1777416007311003056,846461000000,   846.466, 0.960293,-0.004603, 0.027050, 0.277642,1,0
1777416007321086056,846461000000,   846.466, 0.960293,-0.004603, 0.027050, 0.277642,1,0
1777416007340874265,846481000000,   846.486, 0.960239,-0.004617, 0.027088, 0.277825,1,0
1777416007350425708,846501000000,   846.506, 0.960183,-0.004630, 0.027119, 0.278015,1,0
1777416007360509301,846501000000,   846.506, 0.960183,-0.004630, 0.027119, 0.278015,1,0
