Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777416250822222963,1089979000000,  1089.984, 0.875777,-0.012006, 0.014643, 0.482345,1,0
1777416250837756014,1089999000000,  1089.999, 0.875718,-0.012059, 0.014658, 0.482450,1,0
1777416250847543189,1090019000000,  1090.019, 0.875620,-0.012090, 0.014670, 0.482625,1,0
1777416250857649555,1090019000000,  1090.019, 0.875620,-0.012090, 0.014670, 0.482625,1,0
1777416250867239770,1090039000000,  1090.039, 0.875499,-0.012108, 0.014685, 0.482846,1,0
1777416250877348173,1090039000000,  1090.039, 0.875499,-0.012108, 0.014685, 0.482846,1,0
1777416250896718099,1090059000000,  1090.059, 0.875393,-0.012068, 0.014704, 0.483037,1,0
1777416250906354280,1090079000000,  1090.074, 0.875338,-0.012041, 0.014723, 0.483137,1,0
1777416250916440330,1090079000000,  1090.074, 0.875338,-0.012041, 0.014723, 0.483137,1,0
1777416250926107477,1090099000000,  1090.094, 0.875238,-0.012057, 0.014727, 0.483317,1,0
1777416250936192101,1090099000000,  1090.094, 0.875238,-0.012057, 0.014727, 0.483317,1,0
1777416250955991597,1090119000000,  1090.114, 0.875155,-0.012105, 0.014751, 0.483467,1,0
1777416250965605147,1090139000000,  1090.134, 0.875075,-0.012150, 0.014778, 0.483609,1,0
1777416250975752721,1090139000000,  1090.134, 0.875075,-0.012150, 0.014778, 0.483609,1,0
1777416250985370586,1090159000000,  1090.154, 0.874996,-0.012198, 0.014769, 0.483751,1,0
1777416250995455654,1090159000000,  1090.154, 0.874996,-0.012198, 0.014769, 0.483751,1,0
1777416251005064704,1090179000000,  1090.174, 0.874939,-0.012098, 0.014643, 0.483860,1,0
1777416251015150484,1090179000000,  1090.174, 0.874939,-0.012098, 0.014643, 0.483860,1,0
1777416251034931553,1090199000000,  1090.194, 0.874899,-0.012160, 0.014647, 0.483932,1,0
1777416251044562669,1090219000000,  1090.214, 0.874846,-0.012202, 0.014671, 0.484025,1,0
1777416251054647764,1090219000000,  1090.214, 0.874846,-0.012202, 0.014671, 0.484025,1,0
1777416251064313494,1090229000000,  1090.234, 0.874742,-0.012226, 0.014722, 0.484212,1,0
1777416251074398516,1090229000000,  1090.234, 0.874742,-0.012226, 0.014722, 0.484212,1,0
1777416251084072005,1090249000000,  1090.254, 0.874606,-0.012238, 0.014762, 0.484456,1,0
1777416251094156971,1090249000000,  1090.254, 0.874606,-0.012238, 0.014762, 0.484456,1,0
1777416251113818586,1090269000000,  1090.274, 0.874472,-0.012255, 0.014751, 0.484697,1,0
1777416251123525263,1090289000000,  1090.294, 0.874380,-0.012259, 0.014647, 0.484866,1,0
1777416251133627101,1090289000000,  1090.294, 0.874380,-0.012259, 0.014647, 0.484866,1,0
1777416251143289571,1090309000000,  1090.314, 0.874319,-0.012236, 0.014420, 0.484982,1,0
1777416251153375204,1090309000000,  1090.314, 0.874319,-0.012236, 0.014420, 0.484982,1,0
1777416251163036044,1090329000000,  1090.334, 0.874241,-0.012204, 0.014252, 0.485129,1,0
1777416251173119769,1090329000000,  1090.334, 0.874241,-0.012204, 0.014252, 0.485129,1,0
1777416251192778940,1090349000000,  1090.354, 0.874170,-0.012115, 0.014085, 0.485265,1,0
1777416251202468727,1090369000000,  1090.374, 0.874147,-0.012095, 0.014025, 0.485308,1,0
1777416251212553174,1090369000000,  1090.374, 0.874147,-0.012095, 0.014025, 0.485308,1,0
1777416251222226386,1090389000000,  1090.394, 0.874141,-0.012160, 0.014032, 0.485318,1,0
1777416251232310481,1090389000000,  1090.394, 0.874141,-0.012160, 0.014032, 0.485318,1,0
1777416251247852018,1090409000000,  1090.409, 0.874121,-0.012176, 0.014110, 0.485350,1,0
1777416251257544861,1090429000000,  1090.429, 0.874005,-0.012289, 0.014228, 0.485554,1,0
1777416251267630790,1090429000000,  1090.429, 0.874005,-0.012289, 0.014228, 0.485554,1,0
1777416251277311132,1090449000000,  1090.449, 0.873834,-0.012292, 0.014201, 0.485862,1,0
1777416251287409543,1090449000000,  1090.449, 0.873834,-0.012292, 0.014201, 0.485862,1,0
1777416251297008916,1090469000000,  1090.469, 0.873693,-0.012308, 0.014171, 0.486115,1,0
1777416251307093512,1090469000000,  1090.469, 0.873693,-0.012308, 0.014171, 0.486115,1,0
1777416251326506829,1090489000000,  1090.484, 0.873647,-0.012342, 0.014178, 0.486197,1,0
1777416251336200061,1090509000000,  1090.504, 0.873586,-0.012341, 0.014215, 0.486306,1,0
1777416251346283898,1090509000000,  1090.504, 0.873586,-0.012341, 0.014215, 0.486306,1,0
1777416251356016114,1090529000000,  1090.524, 0.873498,-0.012335, 0.014194, 0.486464,1,0
1777416251366100672,1090529000000,  1090.524, 0.873498,-0.012335, 0.014194, 0.486464,1,0
1777416251385758065,1090549000000,  1090.544, 0.873358,-0.012297, 0.014170, 0.486718,1,0
1777416251395393866,1090569000000,  1090.564, 0.873243,-0.012145, 0.014049, 0.486932,1,0
1777416251405477906,1090569000000,  1090.564, 0.873243,-0.012145, 0.014049, 0.486932,1,0
1777416251415152488,1090589000000,  1090.584, 0.873136,-0.012136, 0.013953, 0.487125,1,0
1777416251425237010,1090589000000,  1090.584, 0.873136,-0.012136, 0.013953, 0.487125,1,0
1777416251444958815,1090609000000,  1090.604, 0.873059,-0.012307, 0.013714, 0.487266,1,0
1777416251454654269,1090629000000,  1090.624, 0.873007,-0.012588, 0.013584, 0.487356,1,0
1777416251464738679,1090629000000,  1090.624, 0.873007,-0.012588, 0.013584, 0.487356,1,0
1777416251474349664,1090639000000,  1090.644, 0.872848,-0.012658, 0.013494, 0.487641,1,0
1777416251484434889,1090639000000,  1090.644, 0.872848,-0.012658, 0.013494, 0.487641,1,0
1777416251494112657,1090659000000,  1090.664, 0.872665,-0.012777, 0.013395, 0.487969,1,0
1777416251504196845,1090659000000,  1090.664, 0.872665,-0.012777, 0.013395, 0.487969,1,0
1777416251523913557,1090679000000,  1090.684, 0.872422,-0.012871, 0.013302, 0.488402,1,0
1777416251533619901,1090699000000,  1090.704, 0.872213,-0.012873, 0.013369, 0.488774,1,0
1777416251543705515,1090699000000,  1090.704, 0.872213,-0.012873, 0.013369, 0.488774,1,0
1777416251553309388,1090719000000,  1090.724, 0.872054,-0.012751, 0.013523, 0.489057,1,0
1777416251563394706,1090719000000,  1090.724, 0.872054,-0.012751, 0.013523, 0.489057,1,0
1777416251573064158,1090739000000,  1090.744, 0.871853,-0.012696, 0.013769, 0.489410,1,0
1777416251583148068,1090739000000,  1090.744, 0.871853,-0.012696, 0.013769, 0.489410,1,0
1777416251602445433,1090759000000,  1090.764, 0.871701,-0.012381, 0.013918, 0.489685,1,0
1777416251612141850,1090779000000,  1090.784, 0.871607,-0.012158, 0.014149, 0.489850,1,0
1777416251622227964,1090779000000,  1090.784, 0.871607,-0.012158, 0.014149, 0.489850,1,0
1777416251637754722,1090799000000,  1090.799, 0.871479,-0.011847, 0.014261, 0.490083,1,0
1777416251647453602,1090819000000,  1090.819, 0.871354,-0.011647, 0.014433, 0.490305,1,0
1777416251657538587,1090819000000,  1090.819, 0.871354,-0.011647, 0.014433, 0.490305,1,0
1777416251667206743,1090839000000,  1090.839, 0.871274,-0.011523, 0.014539, 0.490447,1,0
1777416251677291505,1090839000000,  1090.839, 0.871274,-0.011523, 0.014539, 0.490447,1,0
1777416251696648726,1090859000000,  1090.854, 0.871253,-0.011439, 0.014596, 0.490483,1,0
1777416251706340865,1090879000000,  1090.874, 0.871269,-0.011124, 0.014783, 0.490457,1,0
1777416251716425812,1090879000000,  1090.874, 0.871269,-0.011124, 0.014783, 0.490457,1,0
1777416251726098209,1090899000000,  1090.894, 0.871387,-0.011002, 0.014959, 0.490245,1,0
1777416251736182527,1090899000000,  1090.894, 0.871387,-0.011002, 0.014959, 0.490245,1,0
1777416251755907554,1090919000000,  1090.914, 0.871570,-0.010900, 0.015129, 0.489916,1,0
1777416251765598249,1090939000000,  1090.934, 0.871775,-0.010778, 0.015285, 0.489549,1,0
1777416251775695160,1090939000000,  1090.934, 0.871775,-0.010778, 0.015285, 0.489549,1,0
1777416251785303793,1090959000000,  1090.954, 0.872000,-0.010783, 0.015397, 0.489144,1,0
1777416251795387814,1090959000000,  1090.954, 0.872000,-0.010783, 0.015397, 0.489144,1,0
1777416251805122049,1090979000000,  1090.974, 0.872217,-0.010098, 0.015191, 0.488779,1,0
1777416251815207423,1090979000000,  1090.974, 0.872217,-0.010098, 0.015191, 0.488779,1,0
1777416251834873260,1090999000000,  1090.994, 0.872447,-0.010072, 0.015301, 0.488366,1,0
1777416251845364868,1091009000000,  1091.014, 0.872731,-0.010032, 0.015410, 0.487854,1,0
1777416251855472651,1091009000000,  1091.014, 0.872731,-0.010032, 0.015410, 0.487854,1,0
1777416251874360650,1091029000000,  1091.034, 0.873100,-0.010078, 0.015480, 0.487192,1,0
1777416251884000952,1091049000000,  1091.054, 0.873518,-0.010114, 0.015479, 0.486441,1,0
1777416251894085714,1091049000000,  1091.054, 0.873518,-0.010114, 0.015479, 0.486441,1,0
1777416251913821038,1091069000000,  1091.074, 0.873964,-0.010040, 0.015540, 0.485638,1,0
1777416251923516604,1091089000000,  1091.094, 0.874410,-0.010044, 0.015532, 0.484835,1,0
1777416251933602588,1091089000000,  1091.094, 0.874410,-0.010044, 0.015532, 0.484835,1,0
1777416251943291024,1091109000000,  1091.114, 0.874738,-0.010016, 0.015523, 0.484244,1,0
1777416251953376749,1091109000000,  1091.114, 0.874738,-0.010016, 0.015523, 0.484244,1,0
1777416251963007680,1091129000000,  1091.134, 0.874957,-0.010161, 0.015568, 0.483844,1,0
1777416251973093757,1091129000000,  1091.134, 0.874957,-0.010161, 0.015568, 0.483844,1,0
1777416251992771243,1091149000000,  1091.154, 0.875048,-0.010171, 0.015535, 0.483681,1,0
