Time,reference_time,gps_timestamp,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,scaledMagX,scaledMagY,scaledMagZ,estGyroBiasX,estGyroBiasY,estGyroBiasZ,estGyroBias:valid,flagStop
1777416176285068246,999983000000,   999.983, 0.000024,-0.000039,-0.009958,-0.000014, 0.000037, 0.000199,-0.084897,-0.029663, 0.041947,1,-0.000536, 0.003737, 0.019562,1, 0.001946,-0.002960,-0.995681,-0.000941, 0.003698, 0.019753, 0.117320, 0.245775,-0.113023,-0.000000, 0.000000, 0.000000,1,0
1777416176295296400,1000173000000,  1015.468, 0.000003, 0.000001,-0.009964,-0.000013, 0.000030, 0.000177,-0.545740,-0.053886, 0.024529,1,-0.001109, 0.003625, 0.020428,1, 0.000027,-0.000804,-0.996010,-0.001347, 0.003222, 0.017835, 0.116772, 0.245863,-0.111625,-0.000000, 0.000000,-0.000000,1,0
1777416176305388100,1000173000000,  1015.468, 0.000003, 0.000001,-0.009964,-0.000013, 0.000030, 0.000177,-0.545740,-0.053886, 0.024529,1,-0.001109, 0.003625, 0.020428,1, 0.000027,-0.000804,-0.996010,-0.001347, 0.003222, 0.017835, 0.116772, 0.245863,-0.111625,-0.000000, 0.000000,-0.000000,1,0
1777416176315010393,1015483000000,  1015.488,-0.000019,-0.000081,-0.009965,-0.000009, 0.000037, 0.000202,-0.550607,-0.097100, 0.022540,1,-0.000909, 0.003619, 0.020336,1,-0.001659,-0.005423,-0.996206,-0.000909, 0.003620, 0.020336, 0.116737, 0.246396,-0.112044,-0.000000, 0.000000,-0.000000,1,0
1777416176325098816,1015483000000,  1015.488,-0.000019,-0.000081,-0.009965,-0.000009, 0.000037, 0.000202,-0.550607,-0.097100, 0.022540,1,-0.000909, 0.003619, 0.020336,1,-0.001659,-0.005423,-0.996206,-0.000909, 0.003620, 0.020336, 0.116737, 0.246396,-0.112044,-0.000000, 0.000000,-0.000000,1,0
1777416176344779701,1015503000000,  1015.508,-0.000007,-0.000076,-0.009951,-0.000011, 0.000024, 0.000174,-0.546969,-0.115305, 0.027579,1,-0.000968, 0.003166, 0.018569,1,-0.001215,-0.007280,-0.995688,-0.000968, 0.003166, 0.018569, 0.116260, 0.246659,-0.111858,-0.000000, 0.000000,-0.000000,1,0
1777416176354470007,1015523000000,  1015.528,-0.000000,-0.000011,-0.009948,-0.000018, 0.000030, 0.000171,-0.539960,-0.079904, 0.028913,1,-0.001295, 0.003057, 0.017411,1,-0.000439,-0.003669,-0.995549,-0.001295, 0.003057, 0.017411, 0.116145, 0.246731,-0.111861,-0.000000, 0.000000,-0.000000,1,0
1777416176364554394,1015523000000,  1015.528,-0.000000,-0.000011,-0.009948,-0.000018, 0.000030, 0.000171,-0.539960,-0.079904, 0.028913,1,-0.001295, 0.003057, 0.017411,1,-0.000439,-0.003669,-0.995549,-0.001295, 0.003057, 0.017411, 0.116145, 0.246731,-0.111861,-0.000000, 0.000000,-0.000000,1,0
1777416176374274883,1015543000000,  1015.548, 0.000014, 0.000012,-0.009961,-0.000008, 0.000034, 0.000172,-0.528273,-0.047732, 0.023878,1,-0.001033, 0.003259, 0.017144,1, 0.000817,-0.000382,-0.996059,-0.001033, 0.003259, 0.017144, 0.116199, 0.246636,-0.111623,-0.000000, 0.000000,-0.000000,1,0
1777416176384360140,1015543000000,  1015.548, 0.000014, 0.000012,-0.009961,-0.000008, 0.000034, 0.000172,-0.528273,-0.047732, 0.023878,1,-0.001033, 0.003259, 0.017144,1, 0.000817,-0.000382,-0.996059,-0.001033, 0.003259, 0.017144, 0.116199, 0.246636,-0.111623,-0.000000, 0.000000,-0.000000,1,0
