Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777415867344442167,706487000000,   706.482, 0.848863,-0.005824, 0.010845, 0.528469,1,1
1777415867354633554,706487000000,   706.482, 0.848863,-0.005824, 0.010845, 0.528469,1,1
1777415867364181402,706507000000,   706.502, 0.848755,-0.005848, 0.010872, 0.528641,1,1
1777415867374331494,706507000000,   706.502, 0.848755,-0.005848, 0.010872, 0.528641,1,1
1777415867394082229,706527000000,   706.522, 0.848649,-0.005867, 0.010901, 0.528811,1,1
1777415867413757243,706547000000,   706.542, 0.848547,-0.005886, 0.010946, 0.528975,1,1
1777415867423380200,706557000000,   706.562, 0.848446,-0.005904, 0.010987, 0.529135,1,1
1777415867433530459,706557000000,   706.562, 0.848446,-0.005904, 0.010987, 0.529135,1,1
1777415867443141749,706577000000,   706.582, 0.848343,-0.005930, 0.011013, 0.529300,1,1
1777415867453294674,706577000000,   706.582, 0.848343,-0.005930, 0.011013, 0.529300,1,1
1777415867472956726,706597000000,   706.602, 0.848234,-0.005946, 0.011033, 0.529473,1,1
1777415867482617756,706617000000,   706.622, 0.848124,-0.005958, 0.011037, 0.529649,1,1
1777415867492766848,706617000000,   706.622, 0.848124,-0.005958, 0.011037, 0.529649,1,1
1777415867502355158,706637000000,   706.642, 0.848011,-0.005970, 0.011041, 0.529830,1,1
1777415867512509268,706637000000,   706.642, 0.848011,-0.005970, 0.011041, 0.529830,1,1
1777415867522107948,706657000000,   706.662, 0.847897,-0.005972, 0.011059, 0.530012,1,1
1777415867532264151,706657000000,   706.662, 0.847897,-0.005972, 0.011059, 0.530012,1,1
1777415867551943665,706677000000,   706.682, 0.847789,-0.005950, 0.011002, 0.530187,1,1
1777415867561580807,706697000000,   706.702, 0.847689,-0.005974, 0.011024, 0.530346,1,1
1777415867571736047,706697000000,   706.702, 0.847689,-0.005974, 0.011024, 0.530346,1,1
1777415867581304080,706717000000,   706.722, 0.847590,-0.006002, 0.011051, 0.530503,1,1
1777415867591457875,706717000000,   706.722, 0.847590,-0.006002, 0.011051, 0.530503,1,1
1777415867601044185,706737000000,   706.742, 0.847491,-0.006030, 0.011076, 0.530660,1,1
1777415867611196499,706737000000,   706.742, 0.847491,-0.006030, 0.011076, 0.530660,1,1
1777415867626697954,706757000000,   706.757, 0.847390,-0.006062, 0.011110, 0.530820,1,1
1777415867636372576,706777000000,   706.777, 0.847292,-0.006084, 0.011130, 0.530975,1,1
1777415867646522316,706777000000,   706.777, 0.847292,-0.006084, 0.011130, 0.530975,1,1
1777415867656121570,706797000000,   706.797, 0.847198,-0.006097, 0.011153, 0.531125,1,1
1777415867666272051,706797000000,   706.797, 0.847198,-0.006097, 0.011153, 0.531125,1,1
1777415867685621851,706817000000,   706.812, 0.847150,-0.006109, 0.011163, 0.531202,1,1
1777415867695306677,706837000000,   706.832, 0.847046,-0.006130, 0.011196, 0.531366,1,1
1777415867705459380,706837000000,   706.832, 0.847046,-0.006130, 0.011196, 0.531366,1,1
1777415867715027765,706857000000,   706.852, 0.846944,-0.006165, 0.011228, 0.531528,1,1
1777415867725179060,706857000000,   706.852, 0.846944,-0.006165, 0.011228, 0.531528,1,1
1777415867744826131,706877000000,   706.872, 0.846847,-0.006141, 0.011192, 0.531683,1,1
1777415867754477865,706897000000,   706.892, 0.846752,-0.006172, 0.011211, 0.531834,1,1
1777415867764630920,706897000000,   706.892, 0.846752,-0.006172, 0.011211, 0.531834,1,1
1777415867774267080,706917000000,   706.912, 0.846655,-0.006196, 0.011237, 0.531987,1,1
1777415867784431153,706917000000,   706.912, 0.846655,-0.006196, 0.011237, 0.531987,1,1
1777415867804041539,706937000000,   706.932, 0.846556,-0.006218, 0.011262, 0.532144,1,1
1777415867823793126,706957000000,   706.952, 0.846455,-0.006240, 0.011288, 0.532305,1,1
1777415867833429472,706967000000,   706.972, 0.846355,-0.006263, 0.011309, 0.532462,1,1
1777415867843584989,706967000000,   706.972, 0.846355,-0.006263, 0.011309, 0.532462,1,1
1777415867853246038,706987000000,   706.992, 0.846258,-0.006286, 0.011331, 0.532616,1,1
1777415867863429259,706987000000,   706.992, 0.846258,-0.006286, 0.011331, 0.532616,1,1
1777415867883038682,707007000000,   707.012, 0.846159,-0.006316, 0.011355, 0.532772,1,1
1777415867902739733,707027000000,   707.032, 0.846062,-0.006347, 0.011383, 0.532925,1,1
1777415867912389745,707047000000,   707.052, 0.845965,-0.006369, 0.011405, 0.533078,1,1
1777415867922622112,707047000000,   707.052, 0.845965,-0.006369, 0.011405, 0.533078,1,1
1777415867941770918,707067000000,   707.072, 0.845865,-0.006350, 0.011353, 0.533238,1,1
1777415867951411763,707087000000,   707.092, 0.845762,-0.006376, 0.011370, 0.533402,1,1
1777415867961548300,707087000000,   707.092, 0.845762,-0.006376, 0.011370, 0.533402,1,1
1777415867971161035,707107000000,   707.112, 0.845660,-0.006389, 0.011392, 0.533562,1,1
1777415867981299146,707107000000,   707.112, 0.845660,-0.006389, 0.011392, 0.533562,1,1
1777415867996813841,707127000000,   707.127, 0.845560,-0.006414, 0.011409, 0.533720,1,1
1777415868006466927,707147000000,   707.147, 0.845461,-0.006438, 0.011423, 0.533876,1,1
1777415868016613630,707147000000,   707.147, 0.845461,-0.006438, 0.011423, 0.533876,1,1
1777415868026255697,707167000000,   707.167, 0.845358,-0.006470, 0.011444, 0.534038,1,1
1777415868036421807,707167000000,   707.167, 0.845358,-0.006470, 0.011444, 0.534038,1,1
1777415868056081284,707187000000,   707.187, 0.845258,-0.006501, 0.011467, 0.534196,1,1
1777415868075488971,707207000000,   707.202, 0.845208,-0.006515, 0.011481, 0.534275,1,1
1777415868085125187,707227000000,   707.222, 0.845113,-0.006540, 0.011506, 0.534423,1,1
1777415868095280408,707227000000,   707.222, 0.845113,-0.006540, 0.011506, 0.534423,1,1
1777415868114950218,707247000000,   707.242, 0.845021,-0.006563, 0.011531, 0.534569,1,1
1777415868124615804,707267000000,   707.262, 0.844926,-0.006591, 0.011550, 0.534718,1,1
1777415868134767210,707267000000,   707.262, 0.844926,-0.006591, 0.011550, 0.534718,1,1
1777415868144340668,707287000000,   707.282, 0.844830,-0.006576, 0.011503, 0.534871,1,1
1777415868154491426,707287000000,   707.282, 0.844830,-0.006576, 0.011503, 0.534871,1,1
1777415868164089625,707307000000,   707.302, 0.844733,-0.006606, 0.011528, 0.535024,1,1
1777415868174240364,707307000000,   707.302, 0.844733,-0.006606, 0.011528, 0.535024,1,1
1777415868193899712,707327000000,   707.322, 0.844638,-0.006631, 0.011547, 0.535173,1,1
1777415868203563390,707347000000,   707.342, 0.844545,-0.006657, 0.011557, 0.535319,1,1
1777415868213716093,707347000000,   707.342, 0.844545,-0.006657, 0.011557, 0.535319,1,1
1777415868223321531,707357000000,   707.362, 0.844450,-0.006690, 0.011567, 0.535468,1,1
