Time,reference_time,gps_timestamp,deltaVelX,deltaVelY,deltaVelZ,deltaThetaX,deltaThetaY,deltaThetaZ,estLinearAccelX,estLinearAccelY,estLinearAccelZ,estLinearAccel:valid,estAngularRateX,estAngularRateY,estAngularRateZ,estAngularRate:valid,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,scaledMagX,scaledMagY,scaledMagZ,estGyroBiasX,estGyroBiasY,estGyroBiasZ,estGyroBias:valid,flagStop
1777415925181850257,740403000000,   740.403,-0.000006,-0.000034,-0.009960,-0.000012, 0.000032, 0.000189,-0.088746,-0.028401, 0.040616,1,-0.001074, 0.003072, 0.018376,1,-0.000539,-0.003601,-0.995921,-0.001112, 0.003125, 0.018658, 0.117927, 0.246103,-0.112604,-0.000000, 0.000000, 0.000000,1,0
1777415925201720431,764333000000,   764.338,-0.000000,-0.000028,-0.009961,-0.000029, 0.000027, 0.000170,-0.554480,-0.039150, 0.026243,1,-0.002381, 0.002979, 0.017112,1,-0.000616,-0.003935,-0.995759,-0.002381, 0.002979, 0.017112, 0.117370, 0.246407,-0.111196,-0.000000, 0.000000,-0.000000,1,0
1777415925211391229,764353000000,   764.353, 0.000021,-0.000021,-0.009974,-0.000022, 0.000035, 0.000170,-0.538609,-0.030868, 0.018346,1,-0.002129, 0.003301, 0.016995,1, 0.001067,-0.003065,-0.996560,-0.002129, 0.003301, 0.016995, 0.117388, 0.246361,-0.110940,-0.000000, 0.000000,-0.000000,1,0
1777415925221477275,764353000000,   764.353, 0.000021,-0.000021,-0.009974,-0.000022, 0.000035, 0.000170,-0.538609,-0.030868, 0.018346,1,-0.002129, 0.003301, 0.016995,1, 0.001067,-0.003065,-0.996560,-0.002129, 0.003301, 0.016995, 0.117388, 0.246361,-0.110940,-0.000000, 0.000000,-0.000000,1,0
1777415925240891312,764373000000,   764.373,-0.000011,-0.000003,-0.009979,-0.000018, 0.000034, 0.000177,-0.554117,-0.009894, 0.021499,1,-0.001797, 0.003225, 0.017526,1,-0.000449,-0.000906,-0.996235,-0.001797, 0.003225, 0.017526, 0.117042, 0.245968,-0.110763,-0.000000, 0.000000,-0.000000,1,0
1777415925250153639,764393000000,   764.393,-0.000010,-0.000025,-0.009951,-0.000011, 0.000035, 0.000183,-0.554874,-0.009867, 0.024550,1,-0.001605, 0.002935, 0.018030,1,-0.001018,-0.001705,-0.995650,-0.001343, 0.003190, 0.018167, 0.117224, 0.245806,-0.111249,-0.000000, 0.000000,-0.000000,1,0
1777415925260239444,764393000000,   764.393,-0.000010,-0.000025,-0.009951,-0.000011, 0.000035, 0.000183,-0.554874,-0.009867, 0.024550,1,-0.001605, 0.002935, 0.018030,1,-0.001018,-0.001705,-0.995650,-0.001343, 0.003190, 0.018167, 0.117224, 0.245806,-0.111249,-0.000000, 0.000000,-0.000000,1,0
1777415925280026528,764413000000,   764.413, 0.000003,-0.000023,-0.009958,-0.000005, 0.000031, 0.000193,-0.547106,-0.023137, 0.025506,1,-0.000793, 0.003227, 0.018404,1,-0.000240,-0.002331,-0.995892,-0.000667, 0.003101, 0.018821, 0.117458, 0.246292,-0.111225,-0.000000, 0.000000,-0.000000,1,0
1777415925299716206,764433000000,   764.433,-0.000000,-0.000037,-0.009952,-0.000007, 0.000036, 0.000190,-0.539819,-0.026582, 0.022442,1,-0.000571, 0.003259, 0.019093,1,-0.000095,-0.003107,-0.995704,-0.000647, 0.003427, 0.019062, 0.116965, 0.246707,-0.111105,-0.000000, 0.000000,-0.000000,1,0
1777415925309344709,764453000000,   764.453,-0.000006,-0.000028,-0.009953,-0.000014, 0.000030, 0.000194,-0.538799,-0.029627, 0.024287,1,-0.000861, 0.003318, 0.018831,1,-0.000289,-0.002918,-0.995737,-0.001106, 0.003191, 0.019119, 0.117595, 0.246384,-0.110852,-0.000000, 0.000000,-0.000000,1,0
1777415925319429421,764453000000,   764.453,-0.000006,-0.000028,-0.009953,-0.000014, 0.000030, 0.000194,-0.538799,-0.029627, 0.024287,1,-0.000861, 0.003318, 0.018831,1,-0.000289,-0.002918,-0.995737,-0.001106, 0.003191, 0.019119, 0.117595, 0.246384,-0.110852,-0.000000, 0.000000,-0.000000,1,0
1777415925329094848,764473000000,   764.473,-0.000002,-0.000035,-0.009952,-0.000006, 0.000030, 0.000197,-0.540381,-0.030982, 0.020733,1,-0.000603, 0.003201, 0.019276,1,-0.000172,-0.003342,-0.995811,-0.000564, 0.003077, 0.019460, 0.117029, 0.246339,-0.110638,-0.000000, 0.000000,-0.000000,1,0
1777415925339178950,764473000000,   764.473,-0.000002,-0.000035,-0.009952,-0.000006, 0.000030, 0.000197,-0.540381,-0.030982, 0.020733,1,-0.000603, 0.003201, 0.019276,1,-0.000172,-0.003342,-0.995811,-0.000564, 0.003077, 0.019460, 0.117029, 0.246339,-0.110638,-0.000000, 0.000000,-0.000000,1,0
1777415925358896961,764493000000,   764.493,-0.000008,-0.000044,-0.009962,-0.000004, 0.000034, 0.000193,-0.540434,-0.036067, 0.024065,1,-0.000821, 0.003359, 0.019638,1,-0.000439,-0.004021,-0.996164,-0.000595, 0.003432, 0.019495, 0.117461, 0.246475,-0.110787,-0.000000, 0.000000,-0.000000,1,0
