FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/15/26 21:54:04.325243904
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188876:scaledAccelX,inertial-6286.188876:scaledAccelY,inertial-6286.188876:scaledAccelZ,inertial-6286.188876:scaledGyroX,inertial-6286.188876:scaledGyroY,inertial-6286.188876:scaledGyroZ
1778882044325243904,-0.3284744322299957,0.03080779500305653,-0.9443542957305908,0.0005750893615186214,-0.0001325921912211925,-0.0003908121725544333
1778882044335207936,-0.3255505561828613,0.03311169147491455,-0.9407155513763428,-0.001036221161484718,-0.0005070763872936368,0.0003690025478135794
1778882044345152256,-0.325237900018692,0.03636569902300835,-0.9359309077262878,9.089577361010015e-05,-0.0001635176740819588,0.001004105317406356
1778882044355076608,-0.3270336389541626,0.03337731584906578,-0.9373258948326111,0.0009618225740268826,-7.717314292676747e-05,-0.0007208001334220171
1778882044364980992,-0.3275129199028015,0.03300162777304649,-0.9420161843299866,0.0001938011555466801,0.0004486760299187154,-0.0003487647918518633
1778882044374866176,-0.3250630795955658,0.03492453694343567,-0.9401178359985352,0.0002152264642063528,0.0002008034207392484,-0.0004866717790719122
1778882044384731648,-0.3250199854373932,0.03350329771637917,-0.9372534155845642,0.0008970003109425306,6.880600994918495e-05,-0.0002787511912174523
1778882044394577408,-0.326671689748764,0.03265529125928879,-0.9390559792518616,0.0001125687558669597,0.0002112331567332149,0.0001480374776292592
1778882044404403456,-0.3258183002471924,0.03457503765821457,-0.9411125183105469,0.0002007355797104537,0.0001743370376061648,0.000392262649256736
1778882044414398720,-0.3256372213363647,0.03459431976079941,-0.9382733702659607,0.0009287461289204657,-0.0001923610689118505,0.0003805354936048388
1778882044424562176,-0.3271822035312653,0.03301376849412918,-0.9373906850814819,0.0006776364170946181,-0.0005565561586990952,1.298037022934295e-05
1778882044434705408,-0.327028751373291,0.03395760059356689,-0.9408117532730103,0.000484548305394128,-0.0004090351576451212,0.0001173254422610626
1778882044444828416,-0.3260964453220367,0.03450722619891167,-0.9409542679786682,0.0008519828552380204,1.539271761430427e-05,-0.0002798261702992022
1778882044454931456,-0.3264140188694,0.03300215303897858,-0.9389822483062744,0.0006805426673963666,-8.498532406520098e-05,-0.0002993552770931274
1778882044465014528,-0.3262512385845184,0.03323386609554291,-0.9395556449890137,-0.0003125174844171852,1.028056431096047e-06,0.000228411314310506
1778882044475077632,-0.3261641263961792,0.03454527258872986,-0.9405807256698608,-0.0003192352305632085,0.0001706711773294955,0.0002207367651863024
1778882044485121024,-0.3265630304813385,0.03395076096057892,-0.9390506148338318,0.0004793257394339889,3.482899774098769e-05,0.0002224980271421373
1778882044495144448,-0.3267902731895447,0.03292306512594223,-0.9389312267303467,0.0003729495219886303,-0.0004124379775021225,0.0003808965557254851
1778882044505148160,-0.3264632821083069,0.03374498710036278,-0.9396187663078308,-0.0001321688905591145,-0.0003818150144070387,0.0005252687260508537
1778882044515131904,-0.3264318704605103,0.0341988205909729,-0.9396785497665405,-5.625349149340764e-05,-0.0004200189432594925,-4.007558163721114e-05
1778882044525096192,-0.3262110650539398,0.03360741585493088,-0.9386021494865417,0.0002684605133254081,7.732481026323512e-05,-0.0002431749599054456
1778882044535040512,-0.3264079988002777,0.03337015211582184,-0.9391138553619385,-0.000184922871994786,-7.119675865396857e-05,-0.0002539498673286289
1778882044544965376,-0.3257808089256287,0.03453559428453445,-0.9391177296638489,0.000334827636834234,-0.0002336779871257022,-4.578453808790073e-05
1778882044554870784,-0.3259519338607788,0.03446871042251587,-0.9383707046508789,0.0008590288343839347,-0.0003003195160999894,-0.0004055066383443773
1778882044564756992,-0.3261950016021729,0.03386864811182022,-0.9381682276725769,0.0005700117326341569,-0.0005061090341769159,-0.0004123363178223372
1778882044574623488,-0.3260490000247955,0.03419245779514313,-0.9388481974601746,0.0002187434292864054,-0.0001756301498971879,-0.0004328831855673343
1778882044584470528,-0.3263198137283325,0.03429366648197174,-0.9393105506896973,0.0003516779688652605,9.522992331767455e-05,-0.0003732253971975297
1778882044594297600,-0.3265129029750824,0.03390076011419296,-0.9387983679771423,0.0005882936529815197,-0.0001526275300420821,-0.0003888960345648229
1778882044604297728,-0.3265417814254761,0.03352570906281471,-0.9390276074409485,0.0002882902044802904,7.445181108778343e-05,-0.0002402546379016712
1778882044614470144,-0.3262766003608704,0.03387286514043808,-0.9395071268081665,0.000408854364650324,-0.0001347176730632782,-0.0003307900042273104
1778882044624622080,-0.3260875344276428,0.03391055762767792,-0.9397637844085693,0.0004952842718921602,-6.959712482057512e-05,-0.0004018044273834676
1778882044634754560,-0.3261502087116241,0.03357681259512901,-0.9396839737892151,0.0005355553585104644,-0.0003324240678921342,8.671316754771397e-05
1778882044644866560,-0.326064795255661,0.03382743895053864,-0.9397249817848206,0.0005459446110762656,-0.0001138960797106847,-7.94663283159025e-05
1778882044654958848,-0.3262922763824463,0.03402313590049744,-0.9397277235984802,0.0003994449507445097,2.405116174486466e-05,0.0002058343088719994
1778882044665030912,-0.3267036080360413,0.03375563398003578,-0.9396969079971313,0.0003611730353441089,0.0003551793633960187,-5.450953176477924e-05
1778882044675083008,-0.3267366588115692,0.03359584882855415,-0.9396645426750183,0.000187231635209173,0.0004060949140693992,0.0003489028895273805
1778882044685114880,-0.3264168798923492,0.03387293592095375,-0.9393135905265808,0.0003852582594845444,0.0003992305428255349,0.0001961751549970359
1778882044695127296,-0.3263767659664154,0.03377789258956909,-0.9393656253814697,0.0002704857906792313,2.102925645885989e-05,0.0001706175389699638
1778882044705119744,-0.3265927135944366,0.03379673510789871,-0.9395095705986023,-0.000142122502438724,-5.239297024672851e-06,0.0002206852805102244
