FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,05/15/26 16:43:24.420288256
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188876:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188876:scaledGyroZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188876:scaledAccelX,inertial-6286.188876:scaledAccelY,inertial-6286.188876:scaledAccelZ,inertial-6286.188876:scaledGyroX,inertial-6286.188876:scaledGyroY,inertial-6286.188876:scaledGyroZ
1778863404420288256,0.3378698229789734,-0.02441029623150826,-0.9387192130088806,-1.393356069456786e-05,9.040406439453363e-06,-8.014115883270279e-05
1778863404430288640,0.3380065858364105,-0.02418857626616955,-0.9388306140899658,-1.51426975207869e-05,0.0002031472104135901,-0.0001871917047537863
1778863404440460544,0.3377963900566101,-0.02419657073915005,-0.9385586977005005,2.295233571203426e-06,0.0004391714464873075,-3.966669828514569e-05
1778863404450612224,0.3379293382167816,-0.02427180297672749,-0.9385679960250854,-0.0001994192425627261,-0.0001410723634762689,2.594231409602799e-05
1778863404460743936,0.3380856812000275,-0.02430502511560917,-0.9381467700004578,-0.0002494754735380411,-0.0001841004414018244,7.656707020942122e-05
1778863404470856448,0.3379504382610321,-0.02461311407387257,-0.9382922649383545,-5.71994241909124e-05,-0.0007089786231517792,-0.0001003824945655651
1778863404480948992,0.3380187153816223,-0.02437787875533104,-0.938554584980011,0.0001335424312856048,-0.0001113169564632699,-0.0001547313731862232
1778863404491021824,0.3385114967823029,-0.02435521967709064,-0.9386032223701477,0.0001172599513665773,8.312833233503625e-05,-0.0001838106254581362
1778863404501074944,0.3381290435791016,-0.02456396445631981,-0.9383615851402283,0.0001500927173765376,-0.0001505296095274389,-0.0002034867211477831
1778863404511108352,0.3376558721065521,-0.02447491884231567,-0.9381046891212463,0.0002836154599208385,-0.0002367089036852121,-0.0001389771059621125
1778863404521122048,0.3378804326057434,-0.02439570613205433,-0.9383307099342346,0.0001229324843734503,1.273750240216032e-05,-0.0001023309305310249
1778863404531116032,0.3382469117641449,-0.02450987882912159,-0.9382750391960144,0.0002375726471655071,-0.0002223320625489578,-3.038181603187695e-05
1778863404541090560,0.338279515504837,-0.02466785348951817,-0.9385420083999634,0.0001389483804814517,-4.717043339041993e-05,-0.0001445810921723023
