Time,inertial-6286.188876:scaledAccelX,inertial-6286.188876:scaledAccelY,inertial-6286.188876:scaledAccelZ
1778697853070396160,0.01696074940264225,0.004678055644035339,-0.9957583546638489
1778697853080322560,0.01652863062918186,0.004944784566760063,-0.9957742094993591
1778697853090229248,0.01655231416225433,0.005148322321474552,-0.9957311153411865
1778697853100117504,0.01684623956680298,0.004886749666184187,-0.9958106875419617
1778697853109986048,0.01715320721268654,0.005060689989477396,-0.9959821701049805
1778697853119835392,0.01693925261497498,0.004813503008335829,-0.9959571957588196
1778697853129665024,0.01685363613069057,0.005297109484672546,-0.9958028197288513
1778697853139475200,0.01670129597187042,0.00536091485992074,-0.995800793170929
1778697853149265920,0.01661520078778267,0.005213416647166014,-0.9953212738037109
1778697853159037184,0.01701618172228336,0.005243483930826187,-0.9955444931983948
1778697853168788992,0.01736941933631897,0.005239079706370831,-0.9957501292228699
1778697853178869760,0.01710354536771774,0.005151597317308187,-0.9961205124855042
1778697853188931072,0.01675298064947128,0.005052374675869942,-0.9957500696182251
1778697853198972416,0.0160639863461256,0.00503427954390645,-0.9956744909286499
1778697853208993792,0.01629292778670788,0.005077900364995003,-0.9955253005027771
1778697853218995200,0.0169039499014616,0.005029454827308655,-0.9956197738647461
1778697853228977152,0.01736632362008095,0.005359569564461708,-0.9957500696182251
1778697853238939648,0.0172396395355463,0.004957866854965687,-0.9960758090019226
1778697853248882432,0.01674195937812328,0.005026885308325291,-0.9956096410751343
1778697853258805760,0.01687297970056534,0.004864180460572243,-0.9958423972129822
1778697853268709632,0.01645869947969913,0.005288449116051197,-0.9956833124160767
1778697853278593792,0.01688754744827747,0.00503244437277317,-0.9959486126899719
1778697853288458752,0.01681035757064819,0.00540626747533679,-0.99582439661026
1778697853298303744,0.01703481376171112,0.005018138792365789,-0.9959306120872498
1778697853308129792,0.01694965548813343,0.00510473782196641,-0.9959719181060791
1778697853317936896,0.01706826314330101,0.00520345801487565,-0.9962531328201294
1778697853327724544,0.01653931476175785,0.004803625401109457,-0.9955406785011292
1778697853337492736,0.017044423148036,0.005257935728877783,-0.9958478212356567
1778697853347410944,0.01716070063412189,0.004863292444497347,-0.995585024356842
1778697853357478400,0.01782575622200966,0.005026612430810928,-0.9964104890823364
1778697853367525888,0.01679916307330132,0.005029702559113503,-0.9958894848823547
1778697853377553664,0.01646001823246479,0.00501412246376276,-0.9954811334609985
1778697853387561472,0.01676376163959503,0.005151763092726469,-0.9957020878791809
1778697853397549312,0.01741965115070343,0.004593085963279009,-0.9963822364807129
1778697853407517440,0.01674633286893368,0.005284079816192389,-0.9956241250038147
1778697853417465856,0.01698221266269684,0.004790440201759338,-0.9957541227340698
1778697853427394304,0.01756136305630207,0.004977928474545479,-0.9961060285568237
1778697853437303040,0.01711047627031803,0.004994259681552649,-0.9959238767623901
1778697853447192064,0.01693339645862579,0.005010106135159731,-0.9954701066017151
1778697853457061632,0.01749657467007637,0.005378861911594868,-0.9958683848381042
1778697853466911744,0.01735644601285458,0.004671213217079639,-0.995739221572876
1778697853476741888,0.01740467175841331,0.005310394335538149,-0.9961357712745667
1778697853486553088,0.01639384962618351,0.005076204892247915,-0.9954926371574402
1778697853496344576,0.01637389697134495,0.005125005263835192,-0.995822548866272
1778697853506116352,0.01648920215666294,0.005508870352059603,-0.9957067370414734
1778697853515869440,0.01708053424954414,0.004814612213522196,-0.99595707654953
1778697853525953792,0.01775101199746132,0.00537768891081214,-0.9960039258003235
1778697853536018688,0.01741268485784531,0.005110073368996382,-0.9961107969284058
1778697853546063360,0.01728026382625103,0.005223977845162153,-0.996073842048645
1778697853556088064,0.01655606180429459,0.005148342810571194,-0.9955201745033264
1778697853566093056,0.0168212503194809,0.005075247958302498,-0.9957327842712402
1778697853576078080,0.01696224138140678,0.005296460352838039,-0.9957931041717529
1778697853586043648,0.017666295170784,0.005090794991701841,-0.9960834980010986
1778697853595989504,0.01709009520709515,0.00533760292455554,-0.9958696365356445
1778697853605915392,0.01709827594459057,0.005089680198580027,-0.9958453178405762
1778697853615821312,0.01682622730731964,0.00518360547721386,-0.995404064655304
1778697853625708032,0.01662184856832027,0.005106718279421329,-0.9955832362174988
1778697853635575040,0.01688378490507603,0.004837751388549805,-0.9957897663116455
1778697853645422080,0.01710011810064316,0.004737116862088442,-0.9959176778793335
1778697853655250176,0.01691902428865433,0.005047079175710678,-0.9959086179733276
1778697853665058560,0.01638785190880299,0.004666073713451624,-0.9955846667289734
1778697853674847232,0.01495535112917423,0.004887012299150229,-0.9943997263908386
1778697853684616448,0.01727078855037689,0.005332068540155888,-0.9990042448043823
1778697853694536960,0.01568400114774704,0.004919389262795448,-0.9959614276885986
1778697853704608000,0.01655274257063866,0.005449347663670778,-0.9957810044288635
1778697853714659584,0.01631779968738556,0.005457939114421606,-0.995186984539032
1778697853724691200,0.01743499003350735,0.004703819286078215,-0.9964350461959839
1778697853734703104,0.01651060208678246,0.005665178410708904,-0.9952903985977173
1778697853744695040,0.01704149134457111,0.004890733864158392,-0.9953269362449646
1778697853754667008,0.01772106811404228,0.005313514266163111,-0.9959399700164795
1778697853764619264,0.01779117435216904,0.004722373560070992,-0.9964185357093811
1778697853774551808,0.01643188297748566,0.0051965550519526,-0.9953975081443787
1778697853784464640,0.01663079485297203,0.005203905515372753,-0.9955435395240784
1778697853794357760,0.01697373203933239,0.004878714215010405,-0.9961674213409424
1778697853804231424,0.01668404601514339,0.00480269268155098,-0.9955078959465027
1778697853814085376,0.0174047015607357,0.005168550182133913,-0.995822012424469
1778697853823919872,0.01752091944217682,0.005185006652027369,-0.9958133697509766
1778697853833735168,0.01747957430779934,0.004940878599882126,-0.9962262511253357
1778697853843530496,0.01664146967232227,0.004982240963727236,-0.9955172538757324
1778697853853307136,0.01644584164023399,0.005204991437494755,-0.9954829812049866
1778697853863065088,0.01674720458686352,0.00515429163351655,-0.9959715008735657
1778697853873145344,0.01695116981863976,0.005040474236011505,-0.9959331750869751
1778697853883205376,0.0169649962335825,0.005255268421024084,-0.9957858920097351
1778697853893245440,0.01732360944151878,0.005144320894032717,-0.9959525465965271
1778697853903265280,0.01719600148499012,0.005143633112311363,-0.9960717558860779
1778697853913265664,0.01666791923344135,0.004939193837344646,-0.9955409169197083
1778697853923246592,0.01649421453475952,0.005140116438269615,-0.9956403970718384
1778697853933207552,0.01678919419646263,0.005237630102783442,-0.9958592057228088
1778697853943148544,0.01706192456185818,0.005438750144094229,-0.9959748387336731
1778697853953069824,0.01672630570828915,0.005206837318837643,-0.9960079193115234
1778697853962971648,0.01678393222391605,0.005421055015176535,-0.9959909319877625
1778697853972853760,0.01674286462366581,0.005021021235734224,-0.9959188103675842
1778697853982716160,0.01685262657701969,0.005349415820091963,-0.9955688714981079
1778697853992558592,0.01708941720426083,0.005240683909505606,-0.99573814868927
1778697854002382080,0.01744760572910309,0.005254298914223909,-0.9958114624023438
1778697854012185856,0.01735537685453892,0.005045388359576464,-0.9959260225296021
1778697854021969920,0.0168695617467165,0.005159885156899691,-0.9957715272903442
1778697854031734528,0.01702490635216236,0.005326133221387863,-0.99560546875
1778697854041829632,0.01715822704136372,0.005110778380185366,-0.9955860376358032
1778697854051905024,0.01723948679864407,0.005558476783335209,-0.9959630966186523
1778697854061960448,0.01706592738628387,0.005077840760350227,-0.9960715770721436
1778697854071995648,0.0170089453458786,0.004878835752606392,-0.9961637258529663
1778697854082011136,0.01649961434304714,0.005303481128066778,-0.9957906007766724
1778697854092006912,0.01625694520771503,0.005068095400929451,-0.9954712986946106
1778697854101982720,0.01680214889347553,0.005380428861826658,-0.9959290623664856
1778697854111938560,0.01708329096436501,0.004968261811882257,-0.9959656000137329
1778697854121874944,0.01733083836734295,0.004956740885972977,-0.996096670627594
1778697854131791872,0.0168137438595295,0.005105329677462578,-0.9957888722419739
1778697854141690880,0.01683124899864197,0.00485722441226244,-0.9956402778625488
1778697854151570176,0.01636807434260845,0.005174519494175911,-0.9956405758857727
1778697854161430016,0.01679258048534393,0.004713483620434999,-0.9958024621009827
1778697854171270400,0.01711043156683445,0.005246042273938656,-0.9960759878158569
1778697854181091328,0.01746517233550549,0.004649024456739426,-0.9962401986122131
1778697854190892544,0.01697090826928616,0.005222392734140158,-0.9959221482276917
1778697854200674304,0.01643004640936852,0.004929797258228064,-0.9956750273704529
1778697854210606080,0.01648393087089062,0.005371053237468004,-0.99554443359375
1778697854220687616,0.01660989597439766,0.004746977705508471,-0.9955044984817505
1778697854230748928,0.01737132668495178,0.00485407467931509,-0.9961933493614197
1778697854240790528,0.01729445718228817,0.004993912763893604,-0.9961563348770142
1778697854250812160,0.0172735508531332,0.004912517499178648,-0.9960086345672607
1778697854260814336,0.01644620485603809,0.005244815722107887,-0.9954763054847717
1778697854270796544,0.01654571294784546,0.005319405347108841,-0.99577796459198
1778697854280758784,0.0163319893181324,0.005136046558618546,-0.9956651329994202
