unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779391854990,415872.990000000,3,0.999850094,-0.008898745,0.014854001,-0.000059364,1,0
1779391855000,415873.000000000,3,0.999849975,-0.008890675,0.014865567,-0.000061051,1,0
1779391855020,415873.020000000,3,0.999848366,-0.008897089,0.014969325,-0.000041178,1,0
1779391855030,415873.030000000,3,0.999848962,-0.008890041,0.014935560,-0.000045680,1,0
1779391855050,415873.050000000,3,0.999849617,-0.008896707,0.014886897,-0.000056743,1,0
1779391855060,415873.060000000,3,0.999848664,-0.008908553,0.014940980,-0.000045117,1,0
1779391855070,415873.070000000,3,0.999848187,-0.008913420,0.014973569,-0.000038520,1,0
1779391855090,415873.090000000,3,0.999849856,-0.008897493,0.014869063,-0.000051485,1,0
1779391855100,415873.100000000,3,0.999849617,-0.008905701,0.014879677,-0.000052924,1,0
1779391855120,415873.120000000,3,0.999847710,-0.008933370,0.014990623,-0.000040043,1,0
1779391855130,415873.130000000,3,0.999848485,-0.008910612,0.014951538,-0.000047046,1,0
1779391855150,415873.150000000,3,0.999849617,-0.008868365,0.014902709,-0.000061169,1,0
1779391855160,415873.160000000,3,0.999848604,-0.008877693,0.014963642,-0.000056116,1,0
1779391855180,415873.180000000,3,0.999848843,-0.008876554,0.014949899,-0.000062322,1,0
1779391855190,415873.190000000,3,0.999849737,-0.008864445,0.014898928,-0.000073981,1,0
1779391855200,415873.200000000,3,0.999849379,-0.008867187,0.014920417,-0.000072809,1,0
1779391855220,415873.220000000,3,0.999847889,-0.008880121,0.015009968,-0.000056263,1,0
1779391855230,415873.230000000,3,0.999848962,-0.008865282,0.014948999,-0.000064703,1,0
1779391855250,415873.250000000,3,0.999849916,-0.008867367,0.014883607,-0.000076582,1,0
1779391855260,415873.260000000,3,0.999849021,-0.008880699,0.014936539,-0.000064939,1,0
1779391855280,415873.280000000,3,0.999849021,-0.008888150,0.014931921,-0.000063971,1,0
1779391855290,415873.290000000,3,0.999849558,-0.008886855,0.014894744,-0.000071010,1,0
1779391855310,415873.310000000,3,0.999848485,-0.008899841,0.014959808,-0.000063457,1,0
1779391855320,415873.320000000,3,0.999848425,-0.008900995,0.014964579,-0.000058467,1,0
1779391855340,415873.340000000,3,0.999850571,-0.008872715,0.014836590,-0.000070872,1,0
