unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779391854120,415872.120000000,3,0.549134672,0.007436095,0.015801268,-0.835551441,0
1779391854130,415872.130000000,3,0.549483418,0.007444979,0.015812768,-0.835321844,0
1779391854150,415872.150000000,3,0.549577892,0.007393298,0.015728433,-0.835261762,0
1779391854160,415872.160000000,3,0.553208232,0.007344248,0.015772613,-0.832861364,0
1779391854180,415872.180000000,3,0.548046708,0.007443081,0.015745543,-0.836266458,0
1779391854190,415872.190000000,3,0.547649622,0.007397760,0.015699217,-0.836527824,0
1779391854200,415872.200000000,3,0.545417547,0.007422498,0.015667943,-0.837985158,0
1779391854220,415872.220000000,3,0.554268003,0.007349815,0.015836831,-0.832155168,0
1779391854230,415872.230000000,3,0.556782007,0.007300957,0.015852312,-0.830475330,0
1779391854250,415872.250000000,3,0.546495140,0.007422573,0.015677556,-0.837282658,0
1779391854260,415872.260000000,3,0.547100484,0.007431722,0.015706766,-0.836886585,0
1779391854280,415872.280000000,3,0.543569446,0.007529590,0.015721988,-0.839183211,0
1779391854290,415872.290000000,3,0.551685452,0.007338041,0.015760535,-0.833871067,0
1779391854310,415872.310000000,3,0.544609189,0.007490270,0.015715586,-0.838509321,0
1779391854320,415872.320000000,3,0.552653551,0.007368991,0.015825825,-0.833228230,0
1779391854330,415872.330000000,3,0.546830356,0.007460179,0.015757989,-0.837061942,0
1779391854350,415872.350000000,3,0.548525989,0.007359406,0.015703155,-0.835953653,0
1779391854360,415872.360000000,3,0.554084480,0.007282189,0.015790647,-0.832278788,0
1779391854380,415872.380000000,3,0.547590315,0.007426125,0.015777903,-0.836564898,0
1779391854390,415872.390000000,3,0.552758694,0.007281463,0.015772620,-0.833160281,0
1779391854410,415872.410000000,3,0.541357577,0.007520758,0.015690420,-0.840612471,0
1779391854420,415872.420000000,3,0.547514200,0.007444603,0.015791237,-0.836614370,0
1779391854440,415872.440000000,3,0.543862522,0.007455750,0.015700608,-0.838994324,0
1779391854450,415872.450000000,3,0.547290802,0.007375832,0.015707845,-0.836762667,0
1779391854470,415872.470000000,3,0.547146320,0.007448714,0.015758753,-0.836855531,0
1779391854480,415872.480000000,3,0.547037542,0.007435193,0.015735082,-0.836927235,0
1779391854490,415872.490000000,3,0.546283484,0.007402254,0.015680002,-0.837420881,0
1779391854510,415872.510000000,3,0.551457345,0.007324945,0.015763484,-0.834021986,0
1779391854520,415872.520000000,3,0.540062964,0.007569314,0.015700171,-0.841444194,0
1779391854540,415872.540000000,3,0.540123343,0.007508280,0.015635014,-0.841407120,0
1779391854550,415872.550000000,3,0.550990105,0.007292528,0.015723310,-0.834331870,0
1779391854570,415872.570000000,3,0.547299802,0.007417627,0.015770409,-0.836755216,0
1779391854580,415872.580000000,3,0.549372494,0.007359779,0.015771873,-0.835396349,0
1779391854600,415872.600000000,3,0.547909975,0.007346417,0.015718047,-0.836357415,0
1779391854610,415872.610000000,3,0.546713114,0.007413362,0.015745690,-0.837139130,0
1779391854620,415872.620000000,3,0.551546276,0.007354941,0.015835848,-0.833961546,0
1779391854640,415872.640000000,3,0.544234157,0.007431583,0.015700327,-0.838753581,0
1779391854650,415872.650000000,3,0.552691400,0.007265219,0.015757566,-0.833205342,0
1779391854670,415872.670000000,3,0.548468411,0.007418488,0.015797121,-0.835989177,0
1779391854680,415872.680000000,3,0.552664816,0.007326601,0.015830316,-0.833221138,0
1779391854700,415872.700000000,3,0.548961163,0.007360378,0.015778957,-0.835666478,0
1779391854710,415872.710000000,3,0.545270681,0.007469276,0.015784297,-0.838078201,0
1779391854730,415872.730000000,3,0.547343135,0.007440006,0.015808791,-0.836725891,0
1779391854740,415872.740000000,3,0.546511889,0.007400849,0.015749082,-0.837270498,0
1779391854760,415872.760000000,3,0.547674537,0.007403903,0.015809590,-0.836509407,0
1779391854770,415872.770000000,3,0.548525989,0.007409090,0.015858391,-0.835950315,0
1779391854780,415872.780000000,3,0.549397051,0.007362840,0.015843993,-0.835378766,0
1779391854800,415872.800000000,3,0.544797421,0.007402239,0.015734192,-0.838387489,0
1779391854810,415872.810000000,3,0.545817435,0.007435283,0.015790470,-0.837722421,0
1779391854830,415872.830000000,3,0.555645466,0.007256734,0.015915627,-0.831235349,0
1779391854840,415872.840000000,3,0.549533606,0.007328479,0.015826402,-0.835289538,0
1779391854860,415872.860000000,3,0.548990250,0.007372659,0.015848594,-0.835645974,0
1779391854870,415872.870000000,3,0.550187230,0.007372218,0.015885530,-0.834857702,0
