unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779140814624.000000000,2419,164832.624000000,0.013496737,-0.025743535,-0.995297134,0.000137025,-0.000256351,-0.009948667,1779140814624.000000000,2419,164832.624000000,-0.008030404,-0.011929452,0.042163081,1,-0.000166834,-0.000669244,0.000107184,1,-0.140368968,0.240522444,9.802695274,1,0,0
1779140814634.000000000,2419,164832.634000000,0.013878087,-0.024483284,-0.995709717,0.000137658,-0.000245985,-0.009961028,1779140814634.000000000,2419,164832.634000000,-0.004224327,0.000442915,0.038117815,1,-0.000482619,-0.000091705,0.000430725,1,-0.140318796,0.240527019,9.802695274,1,0,0
1779140814654.000000000,2419,164832.654000000,0.014276190,-0.023086935,-0.995138347,0.000143875,-0.000234327,-0.009959414,1779140814654.000000000,2419,164832.654000000,-0.000291540,0.014068589,0.043723088,1,-0.000377033,-0.000771286,-0.000095967,1,-0.140269145,0.240462303,9.802698135,1,0,0
1779140814664.000000000,2419,164832.664000000,0.014802581,-0.023832209,-0.997201085,0.000145601,-0.000233666,-0.009966183,1779140814664.000000000,2419,164832.664000000,0.004857054,0.006742259,0.023494553,1,0.000077439,0.000747779,0.000349297,1,-0.140329748,0.240458980,9.802697182,1,0,0
1779140814674.000000000,2419,164832.674000000,0.014190588,-0.023401588,-0.994682372,0.000142888,-0.000236262,-0.009949124,1779140814674.000000000,2419,164832.674000000,-0.001123752,0.010894928,0.048196796,1,-0.000766527,0.000049700,-0.000521381,1,-0.140287846,0.240361974,9.802700043,1,0,0
1779140814694.000000000,2419,164832.694000000,0.013668504,-0.024624100,-0.995715559,0.000136779,-0.000244386,-0.009951252,1779140814694.000000000,2419,164832.694000000,-0.006227774,-0.001072327,0.038064402,1,0.000491253,0.000012709,0.000491991,1,-0.140270025,0.240423158,9.802699089,1,0,0
1779140814704.000000000,2419,164832.704000000,0.013254200,-0.025017498,-0.995134354,0.000134567,-0.000250131,-0.009958429,1779140814704.000000000,2419,164832.704000000,-0.010234373,-0.004901597,0.043764442,1,-0.000083588,-0.000795754,0.000298936,1,-0.140188619,0.240433797,9.802700043,1,0,0
1779140814724.000000000,2419,164832.724000000,0.013417060,-0.023890929,-0.993976831,0.000135523,-0.000238873,-0.009946344,1779140814724.000000000,2419,164832.724000000,-0.008596455,0.006098544,0.055116989,1,-0.000350286,0.000312211,0.000096174,1,-0.140182540,0.240377650,9.802700996,1,0,0
1779140814734.000000000,2419,164832.734000000,0.014553902,-0.024768386,-0.997141540,0.000143915,-0.000246729,-0.009967768,1779140814734.000000000,2419,164832.734000000,0.002513131,-0.002494881,0.024081055,1,0.000436210,-0.000278229,-0.000042539,1,-0.140203252,0.240413621,9.802700043,1,0,0
1779140814754.000000000,2419,164832.754000000,0.015233371,-0.024481514,-0.996120334,0.000151060,-0.000247382,-0.009967962,1779140814754.000000000,2419,164832.754000000,0.009231926,0.000317972,0.034096397,1,0.000282608,-0.000088118,0.000376873,1,-0.140153378,0.240408629,9.802700996,1,0,0
1779140814764.000000000,2419,164832.764000000,0.014712473,-0.024218651,-0.996671855,0.000146812,-0.000238657,-0.009958903,1779140814764.000000000,2419,164832.764000000,0.004142650,0.002913204,0.028688569,1,0.000199748,-0.000317723,0.000039589,1,-0.140127495,0.240423292,9.802700996,1,0,0
1779140814784.000000000,2419,164832.784000000,0.014291236,-0.025126351,-0.996081412,0.000142994,-0.000248815,-0.009958345,1779140814784.000000000,2419,164832.784000000,0.000083842,-0.005991048,0.034479719,1,0.000378147,0.000107049,-0.000521584,1,-0.140069053,0.240425870,9.802701950,1,0,0
