unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779140814624.000000000,2419,164832.624000000,3,0.999899030,0.012268578,0.007150501,-0.000574339,1,0,0
1779140814634.000000000,2419,164832.634000000,3,0.999899030,0.012268794,0.007147969,-0.000572239,1,0,0
1779140814654.000000000,2419,164832.654000000,3,0.999899089,0.012265491,0.007145440,-0.000572121,1,0,0
1779140814664.000000000,2419,164832.664000000,3,0.999899089,0.012265320,0.007148536,-0.000571633,1,0,0
1779140814674.000000000,2419,164832.674000000,3,0.999899149,0.012260374,0.007146399,-0.000571868,1,0,0
1779140814694.000000000,2419,164832.694000000,3,0.999899089,0.012263502,0.007145474,-0.000573097,1,0,0
1779140814704.000000000,2419,164832.704000000,3,0.999899149,0.012264044,0.007141318,-0.000573447,1,0,0
1779140814724.000000000,2419,164832.724000000,3,0.999899149,0.012261174,0.007141022,-0.000572481,1,0,0
1779140814734.000000000,2419,164832.734000000,3,0.999899149,0.012263010,0.007142074,-0.000572721,1,0,0
1779140814754.000000000,2419,164832.754000000,3,0.999899149,0.012262736,0.007139564,-0.000570019,1,0,0
1779140814764.000000000,2419,164832.764000000,3,0.999899149,0.012263482,0.007138244,-0.000569931,1,0,0
1779140814784.000000000,2419,164832.784000000,3,0.999899149,0.012263612,0.007135262,-0.000570108,1,0,0
1779140814794.000000000,2419,164832.794000000,3,0.999899268,0.012260622,0.007131148,-0.000570548,1,0,0
1779140814804.000000000,2419,164832.804000000,3,0.999899209,0.012263172,0.007130249,-0.000571650,1,0,0
1779140814824.000000000,2419,164832.824000000,3,0.999899268,0.012263226,0.007123773,-0.000569818,1,0,0
1779140814834.000000000,2419,164832.834000000,3,0.999899209,0.012264117,0.007128482,-0.000569146,1,0,0
1779140814854.000000000,2419,164832.854000000,3,0.999899209,0.012262027,0.007129435,-0.000572630,1,0,0
1779140814864.000000000,2419,164832.864000000,3,0.999899268,0.012261929,0.007129371,-0.000572074,1,0,0
1779140814884.000000000,2419,164832.884000000,3,0.999899209,0.012264679,0.007127157,-0.000568278,1,0,0
1779140814894.000000000,2419,164832.894000000,3,0.999899209,0.012267169,0.007126558,-0.000567950,1,0,0
1779140814914.000000000,2419,164832.914000000,3,0.999899209,0.012264486,0.007128519,-0.000566229,1,0,0
1779140814924.000000000,2419,164832.924000000,3,0.999899268,0.012261618,0.007129963,-0.000566778,1,0,0
1779140814944.000000000,2419,164832.944000000,3,0.999899328,0.012255730,0.007128195,-0.000566768,1,0,0
1779140814954.000000000,2419,164832.954000000,3,0.999899328,0.012254769,0.007129961,-0.000565309,1,0,0
1779140814964.000000000,2419,164832.964000000,3,0.999899387,0.012250641,0.007127642,-0.000566160,1,0,0
1779140814984.000000000,2419,164832.984000000,3,0.999899387,0.012252368,0.007122010,-0.000564655,1,0,0
1779140814994.000000000,2419,164832.994000000,3,0.999899447,0.012251404,0.007118853,-0.000562616,1,0,0
1779140815014.000000000,2419,164833.014000000,3,0.999899566,0.012244685,0.007116293,-0.000558751,1,0,0
1779140815024.000000000,2419,164833.024000000,3,0.999899566,0.012243803,0.007113543,-0.000556846,1,0,0
1779140815044.000000000,2419,164833.044000000,3,0.999899626,0.012239348,0.007117650,-0.000557273,1,0,0
1779140815054.000000000,2419,164833.054000000,3,0.999899566,0.012238822,0.007122305,-0.000556472,1,0,0
1779140815074.000000000,2419,164833.074000000,3,0.999899626,0.012232877,0.007127163,-0.000560204,1,0,0
1779140815084.000000000,2419,164833.084000000,3,0.999899566,0.012232377,0.007135029,-0.000562815,1,0,0
1779140815094.000000000,2419,164833.094000000,3,0.999899566,0.012231580,0.007136209,-0.000567014,1,0,0
1779140815114.000000000,2419,164833.114000000,3,0.999899566,0.012232997,0.007135476,-0.000569445,1,0,0
1779140815124.000000000,2419,164833.124000000,3,0.999899566,0.012233116,0.007131456,-0.000568934,1,0,0
1779140815144.000000000,2419,164833.144000000,3,0.999899566,0.012233739,0.007132266,-0.000564261,1,0,0
1779140815154.000000000,2419,164833.154000000,3,0.999899566,0.012232857,0.007133319,-0.000562304,1,0,0
1779140815174.000000000,2419,164833.174000000,3,0.999899507,0.012237166,0.007132632,-0.000561782,1,0,0
1779140815184.000000000,2419,164833.184000000,3,0.999899507,0.012236593,0.007133796,-0.000560622,1,0,0
1779140815204.000000000,2419,164833.204000000,3,0.999899507,0.012234204,0.007136674,-0.000563404,1,0,0
1779140815214.000000000,2419,164833.214000000,3,0.999899566,0.012236645,0.007130059,-0.000566662,1,0,0
1779140815234.000000000,2419,164833.234000000,3,0.999899566,0.012238581,0.007128253,-0.000567442,1,0,0
1779140815244.000000000,2419,164833.244000000,3,0.999899507,0.012239398,0.007133257,-0.000565513,1,0,0
1779140815254.000000000,2419,164833.254000000,3,0.999899507,0.012239782,0.007126369,-0.000568482,1,0,0
1779140815274.000000000,2419,164833.274000000,3,0.999899507,0.012237684,0.007131747,-0.000575293,1,0,0
1779140815284.000000000,2419,164833.284000000,3,0.999899566,0.012233666,0.007133802,-0.000576072,1,0,0
1779140815304.000000000,2419,164833.304000000,3,0.999899566,0.012228363,0.007139515,-0.000579411,1,0,0
1779140815314.000000000,2419,164833.314000000,3,0.999899566,0.012231297,0.007139002,-0.000581992,1,0,0
1779140815334.000000000,2419,164833.334000000,3,0.999899447,0.012236142,0.007141873,-0.000581251,1,0,0
1779140815344.000000000,2419,164833.344000000,3,0.999899387,0.012239954,0.007143999,-0.000579707,1,0,0
1779140815364.000000000,2419,164833.364000000,3,0.999899328,0.012242715,0.007150419,-0.000581629,1,0,0
1779140815374.000000000,2419,164833.374000000,3,0.999899328,0.012243245,0.007150666,-0.000587254,1,0,0
1779140815384.000000000,2419,164833.384000000,3,0.999899268,0.012244007,0.007156870,-0.000588392,1,0,0
1779140815404.000000000,2419,164833.404000000,3,0.999899209,0.012246098,0.007159491,-0.000588144,1,0,0
1779140815414.000000000,2419,164833.414000000,3,0.999899089,0.012245806,0.007173717,-0.000589462,1,0,0
1779140815434.000000000,2419,164833.434000000,3,0.999899089,0.012245947,0.007173637,-0.000594994,1,0,0
1779140815444.000000000,2419,164833.444000000,3,0.999899149,0.012244426,0.007170607,-0.000595519,1,0,0
1779140815464.000000000,2419,164833.464000000,3,0.999899149,0.012241567,0.007171153,-0.000597748,1,0,0
1779140815474.000000000,2419,164833.474000000,3,0.999899149,0.012243023,0.007173439,-0.000597435,1,0,0
1779140815494.000000000,2419,164833.494000000,3,0.999899089,0.012245513,0.007175121,-0.000597713,1,0,0
1779140815504.000000000,2419,164833.504000000,3,0.999899030,0.012249886,0.007175076,-0.000596631,1,0,0
1779140815524.000000000,2419,164833.524000000,3,0.999899030,0.012248117,0.007176164,-0.000598173,1,0,0
1779140815534.000000000,2419,164833.534000000,3,0.999899030,0.012249558,0.007178280,-0.000598288,1,0,0
1779140815544.000000000,2419,164833.544000000,3,0.999898970,0.012253036,0.007178214,-0.000599854,1,0,0
1779140815564.000000000,2419,164833.564000000,3,0.999898970,0.012253867,0.007178732,-0.000603922,1,0,0
1779140815574.000000000,2419,164833.574000000,3,0.999899030,0.012249167,0.007179114,-0.000603943,1,0,0
1779140815594.000000000,2419,164833.594000000,3,0.999898970,0.012249117,0.007183753,-0.000609482,1,0,0
1779140815604.000000000,2419,164833.604000000,3,0.999899030,0.012245036,0.007187533,-0.000608700,1,0,0
1779140815624.000000000,2419,164833.624000000,3,0.999898970,0.012253338,0.007182915,-0.000606937,1,0,0
1779140815634.000000000,2419,164833.634000000,3,0.999898911,0.012255487,0.007180243,-0.000606193,1,0,0
1779140815654.000000000,2419,164833.654000000,3,0.999898970,0.012254472,0.007176818,-0.000603907,1,0,0
1779140815664.000000000,2419,164833.664000000,3,0.999898970,0.012256379,0.007174270,-0.000603682,1,0,0
